retriever,llm,entity_type,llm_answer,qid_gold_true,linked_qid,sample_precision,sample_recall,sample_f1,TP,FP,FN,approach,approach_display
bge-large,microsoft_phi-3-medium-128k-instruct_20250505_linked_evaluated,NIL,journalist; editor; correspondent,Q1930187,Q1930187;Q1607826;Q1155838,0.3333333333333333,1.0,0.5,1,2,0,RAG,RAG
bge-large,microsoft_phi-3-medium-128k-instruct_20250505_linked_evaluated,NIL,composer; music teacher,Q36834,Q36834;Q2675537,0.5,1.0,0.6666666666666666,1,1,0,RAG,RAG
bge-large,microsoft_phi-3-medium-128k-instruct_20250505_linked_evaluated,NIL,composer,Q36834;Q158852;Q14915627;Q16145150;Q18931911;Q19723482,Q36834,1.0,0.16666666666666666,0.2857142857142857,1,0,5,RAG,RAG
bge-large,microsoft_phi-3-medium-128k-instruct_20250505_linked_evaluated,NIL,musician; composer; conductor,Q36834;Q37226;Q177220;Q486748;Q16145150,Q639669;Q36834;Q158852,0.3333333333333333,0.2,0.25,1,2,4,RAG,RAG
bge-large,microsoft_phi-3-medium-128k-instruct_20250505_linked_evaluated,NIL,composer; pianist,Q36834;Q1259917,Q36834;Q486748,0.5,0.5,0.5,1,1,1,RAG,RAG
bge-large,microsoft_phi-3-medium-128k-instruct_20250505_linked_evaluated,NIL,composer,Q36834;Q639669,Q36834,1.0,0.5,0.6666666666666666,1,0,1,RAG,RAG
bge-large,microsoft_phi-3-medium-128k-instruct_20250505_linked_evaluated,NIL,composer,Q36834;Q158852;Q14915627;Q16031530;Q16145150,Q36834,1.0,0.2,0.33333333333333337,1,0,4,RAG,RAG
bge-large,microsoft_phi-3-medium-128k-instruct_20250505_linked_evaluated,NIL,poet; librettist,Q36180;Q49757;Q214917;Q250867;Q753110;Q8178443,Q49757;Q8178443,1.0,0.3333333333333333,0.5,2,0,4,RAG,RAG
bge-large,microsoft_phi-3-medium-128k-instruct_20250505_linked_evaluated,NIL,psalmist; poet; translator,Q36180;Q49757;Q333634,Q49757;Q333634,1.0,0.6666666666666666,0.8,2,0,1,RAG,RAG
bge-large,microsoft_phi-3-medium-128k-instruct_20250505_linked_evaluated,NIL,playwright; librettist; poet,Q36180;Q49757;Q214917;Q250867;Q753110;Q8178443,Q214917;Q8178443;Q49757,1.0,0.5,0.6666666666666666,3,0,3,RAG,RAG
bge-large,microsoft_phi-3-medium-128k-instruct_20250505_linked_evaluated,NIL,musicologist; music historian; music theorist; music compiler; instructor,Q36834;Q201788;Q250867;Q486748;Q14915627;Q16031530;Q16145150,Q14915627;Q20198542;Q16031530;Q777952,0.5,0.2857142857142857,0.36363636363636365,2,2,5,RAG,RAG
bge-large,microsoft_phi-3-medium-128k-instruct_20250505_linked_evaluated,NIL,composer,Q36834;Q158852;Q1198887,Q36834,1.0,0.3333333333333333,0.5,1,0,2,RAG,RAG
bge-large,microsoft_phi-3-medium-128k-instruct_20250505_linked_evaluated,NIL,composer,Q36834,Q36834,1.0,1.0,1.0,1,0,0,RAG,RAG
bge-large,microsoft_phi-3-medium-128k-instruct_20250505_linked_evaluated,NIL,composer,Q36834,Q36834,1.0,1.0,1.0,1,0,0,RAG,RAG
bge-large,microsoft_phi-3-medium-128k-instruct_20250505_linked_evaluated,NIL,historian,Q201788,Q201788,1.0,1.0,1.0,1,0,0,RAG,RAG
bge-large,microsoft_phi-3-medium-128k-instruct_20250505_linked_evaluated,NIL,reigning prince; royal consort; patron of music; arts patron,Q158852;Q177220;Q639669;Q765778;Q1028181,Q3273157;Q15472169,0.0,0.0,0.0,0,2,5,RAG,RAG
bge-large,microsoft_phi-3-medium-128k-instruct_20250505_linked_evaluated,NIL,opera singer; stage actress,Q177220;Q2865819,Q2865819;Q2259451,0.5,0.5,0.5,1,1,1,RAG,RAG
bge-large,microsoft_phi-3-medium-128k-instruct_20250505_linked_evaluated,NIL,composer; conductor,Q36180;Q36834;Q158852;Q486748;Q765778;Q1028181;Q1622272;Q14915627;Q16145150,Q36834;Q158852,1.0,0.2222222222222222,0.3636363636363636,2,0,7,RAG,RAG
bge-large,microsoft_phi-3-medium-128k-instruct_20250505_linked_evaluated,NIL,composer; Chapel Master,Q36834,Q36834,1.0,1.0,1.0,1,0,0,RAG,RAG
bge-large,microsoft_phi-3-medium-128k-instruct_20250505_linked_evaluated,NIL,politician,Q82955,Q82955,1.0,1.0,1.0,1,0,0,RAG,RAG
bge-large,microsoft_phi-3-medium-128k-instruct_20250505_linked_evaluated,NIL,playwright; poet; librettist,Q36180;Q49757;Q214917;Q250867;Q753110;Q8178443,Q214917;Q49757;Q8178443,1.0,0.5,0.6666666666666666,3,0,3,RAG,RAG
bge-large,microsoft_phi-3-medium-128k-instruct_20250505_linked_evaluated,NIL,composer,Q36834;Q482980;Q5697103,Q36834,1.0,0.3333333333333333,0.5,1,0,2,RAG,RAG
bge-large,microsoft_phi-3-medium-128k-instruct_20250505_linked_evaluated,NIL,music educator; musicologist,Q36834;Q1076502;Q1278335,Q16145150;Q14915627,0.0,0.0,0.0,0,2,3,RAG,RAG
bge-large,microsoft_phi-3-medium-128k-instruct_20250505_linked_evaluated,NIL,violinist; conductor; composer,Q36834;Q1259917;Q2675537;Q3153559,Q1259917;Q158852;Q36834,0.6666666666666666,0.5,0.5714285714285715,2,1,2,RAG,RAG
bge-large,microsoft_phi-3-medium-128k-instruct_20250505_linked_evaluated,NIL,messenger; courier; royal officer; secretary; government representative,Q82955,Q5927349;Q848466;Q80687,0.0,0.0,0.0,0,3,1,RAG,RAG
bge-large,microsoft_phi-3-medium-128k-instruct_20250505_linked_evaluated,NIL,composer; conductor; pianist,Q36834;Q158852;Q486748;Q855091;Q1350157;Q24067349,Q36834;Q158852;Q486748,1.0,0.5,0.6666666666666666,3,0,3,RAG,RAG
bge-large,microsoft_phi-3-medium-128k-instruct_20250505_linked_evaluated,NIL,composer; conductor,Q36834;Q158852;Q765778;Q16145150,Q36834;Q158852,1.0,0.5,0.6666666666666666,2,0,2,RAG,RAG
bge-large,microsoft_phi-3-medium-128k-instruct_20250505_linked_evaluated,NIL,composer; music director,Q36834;Q16145150,Q36834;Q1198887,0.5,0.5,0.5,1,1,1,RAG,RAG
bge-large,microsoft_phi-3-medium-128k-instruct_20250505_linked_evaluated,NIL,composer,Q36834;Q158852;Q177220,Q36834,1.0,0.3333333333333333,0.5,1,0,2,RAG,RAG
bge-large,microsoft_phi-3-medium-128k-instruct_20250505_linked_evaluated,NIL,organist,Q36834;Q1259917,Q765778,0.0,0.0,0.0,0,1,2,RAG,RAG
bge-large,microsoft_phi-3-medium-128k-instruct_20250505_linked_evaluated,NIL,composer; pianist,Q36834;Q486748;Q1622272;Q14915627;Q16145150;Q21680663,Q36834;Q486748,1.0,0.3333333333333333,0.5,2,0,4,RAG,RAG
bge-large,microsoft_phi-3-medium-128k-instruct_20250505_linked_evaluated,NIL,composer,Q36834;Q158852;Q16145150,Q36834,1.0,0.3333333333333333,0.5,1,0,2,RAG,RAG
bge-large,microsoft_phi-3-medium-128k-instruct_20250505_linked_evaluated,NIL,nobleman; patron; museum benefactor; art collector; philanthropist,Q82955;Q10732476;Q14915627,Q16744001;Q516590;Q10732476;Q12362622,0.25,0.3333333333333333,0.28571428571428575,1,3,2,RAG,RAG
bge-large,microsoft_phi-3-medium-128k-instruct_20250505_linked_evaluated,NIL,opera singer,Q2865819,Q2865819,1.0,1.0,1.0,1,0,0,RAG,RAG
bge-large,microsoft_phi-3-medium-128k-instruct_20250505_linked_evaluated,NIL,musician; conductor; teacher; music educator,Q36834;Q158852;Q486748;Q1622272;Q16145150,Q639669;Q158852;Q37226;Q16145150,0.5,0.4,0.4444444444444445,2,2,3,RAG,RAG
bge-large,microsoft_phi-3-medium-128k-instruct_20250505_linked_evaluated,NIL,composer; conductor; opera composer; symphony composer,Q36834,Q36834;Q158852;Q21680731;Q105754940,0.25,1.0,0.4,1,3,0,RAG,RAG
bge-large,microsoft_phi-3-medium-128k-instruct_20250505_linked_evaluated,NIL,Singer,Q158852;Q1836630,Q177220,0.0,0.0,0.0,0,1,2,RAG,RAG
bge-large,microsoft_phi-3-medium-128k-instruct_20250505_linked_evaluated,NIL,vocal teacher; opera singer; voice instructor,Q37226;Q39631;Q177220;Q205375;Q1836630;Q2350126;Q2865819,Q2865819,1.0,0.14285714285714285,0.25,1,0,6,RAG,RAG
bge-large,microsoft_phi-3-medium-128k-instruct_20250505_linked_evaluated,NIL,composer; conductor; singer; choir director,Q36834;Q37226;Q158852;Q16145150,Q36834;Q158852;Q177220;Q1076502,0.5,0.5,0.5,2,2,2,RAG,RAG
bge-large,microsoft_phi-3-medium-128k-instruct_20250505_linked_evaluated,NIL,artist; portraitist; pencil drawer; teacher,Q82955;Q483501;Q984276;Q1028181,Q483501;Q21178131;Q37226,0.3333333333333333,0.25,0.28571428571428575,1,2,3,RAG,RAG
bge-large,microsoft_phi-3-medium-128k-instruct_20250505_linked_evaluated,NIL,composer; conductor; pianist; music teacher,Q36834;Q158852;Q486748;Q1622272;Q16145150,Q36834;Q158852;Q486748;Q2675537,0.75,0.6,0.6666666666666665,3,1,2,RAG,RAG
bge-large,microsoft_phi-3-medium-128k-instruct_20250505_linked_evaluated,NIL,"Musician; pianoforte

Explanation: In the sentence mentioned, Theodore Distin is listed among the artists engaged at an event. This implies his occupation is a musician. The sentence also mentions that Mr. C. P. Mann conducted while Miss Adelaide Pulham, Miss Fanny Henman, and Mr. George, Smith, R.A.M. were presiding at the pianoforte which means they were playing the piano. As Theodore Distin is also present in the list, we can infer that he might have been playing the pianoforte as well.",Q36834,,0.0,0.0,0.0,0,0,1,RAG,RAG
bge-large,microsoft_phi-3-medium-128k-instruct_20250505_linked_evaluated,NIL,singer,Q2865819,Q177220,0.0,0.0,0.0,0,1,1,RAG,RAG
bge-large,microsoft_phi-3-medium-128k-instruct_20250505_linked_evaluated,NIL,composer,Q36834;Q765778;Q5371902;Q81759238,Q36834,1.0,0.25,0.4,1,0,3,RAG,RAG
bge-large,microsoft_phi-3-medium-128k-instruct_20250505_linked_evaluated,NIL,music critic; professor; music publisher; music writer; teacher; librarian,Q36834;Q14915627;Q16031530,Q1350157;Q19788990;Q222836;Q28077818;Q37226;Q182436,0.0,0.0,0.0,0,6,3,RAG,RAG
bge-large,microsoft_phi-3-medium-128k-instruct_20250505_linked_evaluated,NIL,composer,Q36180;Q36834;Q158852;Q486748;Q765778;Q1028181;Q1622272;Q14915627;Q16145150,Q36834,1.0,0.1111111111111111,0.19999999999999998,1,0,8,RAG,RAG
bge-large,microsoft_phi-3-medium-128k-instruct_20250505_linked_evaluated,NIL,composer; music educator; piano maker,Q36834;Q486748;Q885122,Q36834;Q16145150;Q885122,0.6666666666666666,0.6666666666666666,0.6666666666666666,2,1,1,RAG,RAG
bge-large,microsoft_phi-3-medium-128k-instruct_20250505_linked_evaluated,NIL,Dean; Organist,Q36180,Q723682;Q765778,0.0,0.0,0.0,0,2,1,RAG,RAG
bge-large,microsoft_phi-3-medium-128k-instruct_20250505_linked_evaluated,NIL,violinist; composer,Q36834;Q177220;Q899758;Q1259917,Q1259917;Q36834,1.0,0.5,0.6666666666666666,2,0,2,RAG,RAG
bge-large,microsoft_phi-3-medium-128k-instruct_20250505_linked_evaluated,NIL,composer,Q36834,Q36834,1.0,1.0,1.0,1,0,0,RAG,RAG
bge-large,microsoft_phi-3-medium-128k-instruct_20250505_linked_evaluated,NIL,composer; conductor,Q36834;Q158852;Q177220;Q486748;Q14915627,Q36834;Q158852,1.0,0.4,0.5714285714285715,2,0,3,RAG,RAG
bge-large,microsoft_phi-3-medium-128k-instruct_20250505_linked_evaluated,NIL,director of schools; conductor,Q36834;Q158852;Q1198887;Q14915627;Q16031530,Q158852,1.0,0.2,0.33333333333333337,1,0,4,RAG,RAG
bge-large,microsoft_phi-3-medium-128k-instruct_20250505_linked_evaluated,NIL,director,Q36834;Q177220;Q765778,Q705996,0.0,0.0,0.0,0,1,3,RAG,RAG
bge-large,microsoft_phi-3-medium-128k-instruct_20250505_linked_evaluated,NIL,composer; conductor; organist,Q36834;Q765778;Q943995;Q1259917;Q1622272;Q5371902;Q21680731,Q36834;Q158852;Q765778,0.6666666666666666,0.2857142857142857,0.4,2,1,5,RAG,RAG
bge-large,microsoft_phi-3-medium-128k-instruct_20250505_linked_evaluated,NIL,composer; opera librettist,Q36834;Q765778;Q14915627;Q16145150;Q21680663,Q36834;Q8178443,0.5,0.2,0.28571428571428575,1,1,4,RAG,RAG
bge-large,microsoft_phi-3-medium-128k-instruct_20250505_linked_evaluated,NIL,composer,Q36834,Q36834,1.0,1.0,1.0,1,0,0,RAG,RAG
bge-large,microsoft_phi-3-medium-128k-instruct_20250505_linked_evaluated,NIL,musicologist; author; royal music advisor,Q36180;Q36834;Q201788;Q765778;Q5371902;Q14915627;Q20198542,Q14915627;Q482980,0.5,0.14285714285714285,0.22222222222222224,1,1,6,RAG,RAG
bge-large,microsoft_phi-3-medium-128k-instruct_20250505_linked_evaluated,NIL,composer; operatic composer; opera creator,Q36834,Q36834,1.0,1.0,1.0,1,0,0,RAG,RAG
bge-large,microsoft_phi-3-medium-128k-instruct_20250505_linked_evaluated,NIL,composer,Q36834;Q486748;Q1622272;Q14915627;Q16145150;Q21680663,Q36834,1.0,0.16666666666666666,0.2857142857142857,1,0,5,RAG,RAG
bge-large,microsoft_phi-3-medium-128k-instruct_20250505_linked_evaluated,NIL,violinist; concertmaster,Q36834,Q1259917;Q691031,0.0,0.0,0.0,0,2,1,RAG,RAG
bge-large,microsoft_phi-3-medium-128k-instruct_20250505_linked_evaluated,NIL,violinist; music teacher,Q36834,Q1259917;Q2675537,0.0,0.0,0.0,0,2,1,RAG,RAG
bge-large,microsoft_phi-3-medium-128k-instruct_20250505_linked_evaluated,NIL,violinist; composer; music educator,Q36834;Q691031;Q1259917,Q1259917;Q36834;Q16145150,0.6666666666666666,0.6666666666666666,0.6666666666666666,2,1,1,RAG,RAG
bge-large,microsoft_phi-3-medium-128k-instruct_20250505_linked_evaluated,NIL,composer,Q36834;Q1259917,Q36834,1.0,0.5,0.6666666666666666,1,0,1,RAG,RAG
bge-large,microsoft_phi-3-medium-128k-instruct_20250505_linked_evaluated,NIL,violinist,Q36834;Q1259917,Q1259917,1.0,0.5,0.6666666666666666,1,0,1,RAG,RAG
bge-large,microsoft_phi-3-medium-128k-instruct_20250505_linked_evaluated,NIL,composer,Q36834,Q36834,1.0,1.0,1.0,1,0,0,RAG,RAG
bge-large,microsoft_phi-3-medium-128k-instruct_20250505_linked_evaluated,NIL,composer,Q36834;Q158852;Q486748;Q855091;Q1350157;Q24067349,Q36834,1.0,0.16666666666666666,0.2857142857142857,1,0,5,RAG,RAG
bge-large,microsoft_phi-3-medium-128k-instruct_20250505_linked_evaluated,NIL,composer,Q36834;Q765778;Q2490358;Q5371902;Q14915627;Q16031530;Q18931911,Q36834,1.0,0.14285714285714285,0.25,1,0,6,RAG,RAG
bge-large,microsoft_phi-3-medium-128k-instruct_20250505_linked_evaluated,NIL,military leader,Q36180;Q47064;Q82955;Q178197;Q1397808;Q18814623,Q1402561,0.0,0.0,0.0,0,1,6,RAG,RAG
bge-large,microsoft_phi-3-medium-128k-instruct_20250505_linked_evaluated,NIL,singer,Q33999;Q2865819,Q177220,0.0,0.0,0.0,0,1,2,RAG,RAG
bge-large,microsoft_phi-3-medium-128k-instruct_20250505_linked_evaluated,NIL,statistician; postal worker,Q36834;Q765778;Q16145150,Q2732142;Q7234072,0.0,0.0,0.0,0,2,3,RAG,RAG
bge-large,microsoft_phi-3-medium-128k-instruct_20250505_linked_evaluated,NIL,songwriter,Q36834,Q753110,0.0,0.0,0.0,0,1,1,RAG,RAG
bge-large,microsoft_phi-3-medium-128k-instruct_20250505_linked_evaluated,NIL,theatre director; impresario; manager,Q943995,Q3387717;Q3029406;Q721834,0.0,0.0,0.0,0,3,1,RAG,RAG
bge-large,microsoft_phi-3-medium-128k-instruct_20250505_linked_evaluated,NIL,composer,Q36834;Q158852;Q2490358;Q3127709;Q14915627;Q16145150,Q36834,1.0,0.16666666666666666,0.2857142857142857,1,0,5,RAG,RAG
bge-large,microsoft_phi-3-medium-128k-instruct_20250505_linked_evaluated,NIL,first clarinetist; performer,Q36834;Q118865,Q713200,0.0,0.0,0.0,0,1,2,RAG,RAG
bge-large,microsoft_phi-3-medium-128k-instruct_20250505_linked_evaluated,NIL,composer; conductor; virtuoso; concertmaster; organist; choir director; violinist; organist,Q36834;Q158852;Q639669;Q1259917;Q14915627;Q16145150,Q36834;Q158852;Q214970;Q691031;Q765778;Q1076502;Q1259917;Q765778,0.42857142857142855,0.5,0.4615384615384615,3,4,3,RAG,RAG
bge-large,microsoft_phi-3-medium-128k-instruct_20250505_linked_evaluated,NIL,"composer
Your answer MUST consist solely of a semicolon-separated list of occupation(s). In this case, based on the provided context and the sentence that mentions Haydn's symphony piece, we can conclude that Haydn's occupation was a composer. Therefore, the answer is: composer",Q36834;Q158852;Q486748;Q14915627,,0.0,0.0,0.0,0,0,4,RAG,RAG
bge-large,microsoft_phi-3-medium-128k-instruct_20250505_linked_evaluated,NIL,composer,Q36834;Q486748;Q639669;Q765778;Q1259917;Q16145150,Q36834,1.0,0.16666666666666666,0.2857142857142857,1,0,5,RAG,RAG
bge-large,microsoft_phi-3-medium-128k-instruct_20250505_linked_evaluated,NIL,composer; opera director; playwright,Q36834;Q158852;Q639669;Q1259917;Q14915627;Q16145150,Q36834;Q3029406;Q214917,0.3333333333333333,0.16666666666666666,0.2222222222222222,1,2,5,RAG,RAG
bge-large,microsoft_phi-3-medium-128k-instruct_20250505_linked_evaluated,NIL,composer; organist,Q36834;Q158852;Q486748;Q14915627,Q36834;Q765778,0.5,0.25,0.3333333333333333,1,1,3,RAG,RAG
bge-large,microsoft_phi-3-medium-128k-instruct_20250505_linked_evaluated,NIL,composer; pianist; conductor; music teacher,Q36834,Q36834;Q486748;Q158852;Q2675537,0.25,1.0,0.4,1,3,0,RAG,RAG
bge-large,microsoft_phi-3-medium-128k-instruct_20250505_linked_evaluated,NIL,soprano; pianist; singer,Q36834;Q2865819,Q486748;Q177220,0.0,0.0,0.0,0,2,2,RAG,RAG
bge-large,microsoft_phi-3-medium-128k-instruct_20250505_linked_evaluated,NIL,poet,Q36180;Q49757;Q609016;Q26237228,Q49757,1.0,0.25,0.4,1,0,3,RAG,RAG
bge-large,microsoft_phi-3-medium-128k-instruct_20250505_linked_evaluated,NIL,composer,Q36834;Q765778,Q36834,1.0,0.5,0.6666666666666666,1,0,1,RAG,RAG
bge-large,microsoft_phi-3-medium-128k-instruct_20250505_linked_evaluated,NIL,conductor; music educator,Q36834;Q158852;Q2490358;Q3127709;Q14915627;Q16145150,Q158852;Q16145150,1.0,0.3333333333333333,0.5,2,0,4,RAG,RAG
bge-large,microsoft_phi-3-medium-128k-instruct_20250505_linked_evaluated,NIL,arranger,Q36834;Q158852;Q486748;Q1231865;Q1259917;Q1622272;Q14915627;Q16145150;Q18939491,Q1643514,0.0,0.0,0.0,0,1,9,RAG,RAG
bge-large,microsoft_phi-3-medium-128k-instruct_20250505_linked_evaluated,NIL,comedy artist,Q639669,,0.0,0.0,0.0,0,0,1,RAG,RAG
bge-large,microsoft_phi-3-medium-128k-instruct_20250505_linked_evaluated,NIL,composer; musician; conductor,Q36834;Q158852;Q765778;Q81759238,Q36834;Q639669;Q158852,0.6666666666666666,0.5,0.5714285714285715,2,1,2,RAG,RAG
bge-large,microsoft_phi-3-medium-128k-instruct_20250505_linked_evaluated,NIL,opera composer; playwright,Q36834,Q21680731;Q214917,0.0,0.0,0.0,0,2,1,RAG,RAG
bge-large,microsoft_phi-3-medium-128k-instruct_20250505_linked_evaluated,NIL,singer; actress; vocalist,Q2865819,Q177220;Q21169216;Q2643890,0.0,0.0,0.0,0,3,1,RAG,RAG
bge-large,microsoft_phi-3-medium-128k-instruct_20250505_linked_evaluated,NIL,singer,Q2643890;Q2865819,Q177220,0.0,0.0,0.0,0,1,2,RAG,RAG
bge-large,microsoft_phi-3-medium-128k-instruct_20250505_linked_evaluated,NIL,writer; poet; songwriter,Q36180;Q49757;Q182436;Q8178443,Q36180;Q49757;Q753110,0.6666666666666666,0.5,0.5714285714285715,2,1,2,RAG,RAG
bge-large,microsoft_phi-3-medium-128k-instruct_20250505_linked_evaluated,NIL,choir conductor; meeting founder,Q36180;Q808967;Q20669622,Q1076502,0.0,0.0,0.0,0,1,3,RAG,RAG
bge-large,microsoft_phi-3-medium-128k-instruct_20250505_linked_evaluated,NIL,composer; music educator; music theorist,Q36834;Q765778;Q943995;Q1259917;Q1622272;Q5371902;Q21680731,Q36834;Q16145150;Q16031530,0.3333333333333333,0.14285714285714285,0.2,1,2,6,RAG,RAG
