sentence,span,type,uri,relation,question,gold givenName
"Batiste’s Andante in G, an Offertoire by Lefébure - Wély, 2 Fugue by Mendelssohn, and Gounod’s",Batiste,person,(Q274231),given name,What is the given name of Batiste?,Édouard
"Batiste’s Andante in G, an Offertoire by Lefébure - Wély, 2 Fugue by Mendelssohn, and Gounod’s",Lefébure - Wély,person,(Q546919),given name,What is the given name of Lefébure - Wély?,James; Louis; Alfred
"Batiste’s Andante in G, an Offertoire by Lefébure - Wély, 2 Fugue by Mendelssohn, and Gounod’s",Mendelssohn,person,(Q46096),given name,What is the given name of Mendelssohn?,Felix
"Batiste’s Andante in G, an Offertoire by Lefébure - Wély, 2 Fugue by Mendelssohn, and Gounod’s",Gounod,person,(Q180278),given name,What is the given name of Gounod?,Charles-François
"There were aymptoms of weariness, to be sute, in some of the high tenors in the last piece, that noble double chorus from Mendelssohn's “Oedipus,’ and",Mendelssohn,person,(Q46096),given name,What is the given name of Mendelssohn?,Felix
"Under the Direction of the Earl of Cawdor, Wednesday, April 24, 1833.",Earl of Cawdor,person,(Q6224952),given name,What is the given name of Earl of Cawdor?,John
Of the publication of Volume II. of Dr. Burney’s great work we have the following account:,Dr. Burney,person,(Q547002),given name,What is the given name of Dr. Burney?,Charles
"On the same occasion, a quintett and chorus from Jerusalem delivered, an oratorio by M. Eberwein, which is still in MS. was received with much applause.",M. Eberwein,person,(Q215521),given name,What is the given name of M. Eberwein?,Traugott
The programme consisted of selections from the Messiah and Mendelssohn’s Hymn of Praise.,Mendelssohn,person,(Q46096),given name,What is the given name of Mendelssohn?,Felix
The Music adapted from SPINDLER’s HUSARENRITT by Louis Dien1.,Louis Dien1,person,(Q19900926),given name,What is the given name of Louis Dien1?,Louis
Some think they detect already in Weber's “Preciosa” and,Weber,person,(Q154812),given name,What is the given name of Weber?,Carl; Maria
The first fart of the programme consisted of selections from the works of Mendelssohn.,Mendelssohn,person,(Q46096),given name,What is the given name of Mendelssohn?,Felix
"Oakley, Esq., of Tavistock Place, and the late James Perry Esq.,. of the Morning Chronicle.",James Perry,person,(Q15047460),given name,What is the given name of James Perry?,James
"that many composers who lose themselves in the clouds of mannerism and affectation, would imitate thewisdom of Sirletti, Asioli, and Pollini —",Sirletti,person,(Q102283903),given name,What is the given name of Sirletti?,Lodovico
"that many composers who lose themselves in the clouds of mannerism and affectation, would imitate thewisdom of Sirletti, Asioli, and Pollini —",Asioli,person,(Q892563),given name,What is the given name of Asioli?,Bonifazio
"that many composers who lose themselves in the clouds of mannerism and affectation, would imitate thewisdom of Sirletti, Asioli, and Pollini —",Pollini,person,(Q1351579),given name,What is the given name of Pollini?,Francesco; Franc
"Second Concerto and Di Tanti, 294 Kiallmark, his Le pas de Polichinelle, 1145, Are ye'angry, 238;",Kiallmark,person,(Q18671297),given name,What is the given name of Kiallmark?,Q15921732
"This enthusiastic composer, rich in talent, of the school of Bartolomeo Felici, wrote in the purest style.",Bartolomeo Felici,person,(Q20757883),given name,What is the given name of Bartolomeo Felici?,Bartolomeo
"Piano Forte ed Arpa da L. Cherubini, » Almen se non possio, Canzonetta; Poetry by Metastasio; Music by",L. Cherubini,person,(Q20721),given name,What is the given name of L. Cherubini?,Louis-Marie
"Piano Forte ed Arpa da L. Cherubini, » Almen se non possio, Canzonetta; Poetry by Metastasio; Music by",Metastasio,person,(Q29473),given name,What is the given name of Metastasio?,Pietro
"Here examples are given of the psalms of Marot and some of the earliest psalmists, whose compositions were even then considered as impudent innovations.",Marot,person,(Q108926),given name,What is the given name of Marot?,Clément; Clemens
"Between the years 1740 and 1745, we find but two complete dramas written by Metastasio, Antigono and Ipermestra, the former of these written expressly for the court of Dresden.",Metastasio,person,(Q29473),given name,What is the given name of Metastasio?,Pietro
"This will serve to give some idea of the extensive field entered upon by Martini, and the diffuseness of that part which is completed.",Martini,person,(Q283651),given name,What is the given name of Martini?,Giovanni Battista
"the Bacchanalian Song from Spontini’s Danaides, and several other pieces too numerous to particularize.",Spontini,person,(Q168485),given name,What is the given name of Spontini?,Gaspare; Pacifico; Luigi
"Vienna, Jan. 10. _ Donizetti has arrived in this city in perfect health.",Donizetti,person,(Q101698),given name,What is the given name of Donizetti?,Maria; Domenico; Gaetano
"Nevertheless, to be the rival of Carissimi he must have possessed considerable talent, both as a musician and a composer.",Carissimi,person,(Q312686),given name,What is the given name of Carissimi?,Giacomo
"Since this note was written, a strong confirmation has been given to my opinion by a perusal of the History of the East Indies, from the French of L’Abbe Guyon.",L’Abbe Guyon,person,(Q2976789),given name,What is the given name of L’Abbe Guyon?,Claude
Her Majesty and Prince Albert took a part in ‘Die Elfen Walzer.,Prince Albert,person,(Q152245),given name,What is the given name of Prince Albert?,Q577011; Augustus; Francis; Charles; Emmanuel
"Nor let us omit the performance of Grisias the Lady Norina in Pasquale, which was one of the most admirable specimens of comic talent ever seen on any stage.",Grisias,person,(Q287344),given name,What is the given name of Grisias?,Giulia
": NgwcastLe - on - TyNE. — A most successful performance of the Antigone of Sophocles, with Mendelssohn's music, took place at the Theatre Royal, on the 21st ult.",Mendelssohn,person,(Q46096),given name,What is the given name of Mendelssohn?,Felix
"Sabadini also composed oratorios, the best of which was “La Divina Sapienza.",Sabadini,person,(Q3638803),given name,What is the given name of Sabadini?,Bernardo
"The chair was occupied en the occasion by Sir Thomas Gladstone, Bart.",Sir Thomas Gladstone,person,(Q7529140),given name,What is the given name of Sir Thomas Gladstone?,Thomas
"The three last operas written by Metastasio were, Il Trionfo di Clelia, in 1762;",Metastasio,person,(Q29473),given name,What is the given name of Metastasio?,Pietro
"’s 24th Psalm, adapted to the English version, by W. T. Freemantle (and revised by the late Dr. S. S. Wesley).",W. T. Freemantle,person,(Q8019310),given name,What is the given name of W. T. Freemantle?,William
"’s 24th Psalm, adapted to the English version, by W. T. Freemantle (and revised by the late Dr. S. S. Wesley).",Dr. S. S. Wesley,person,(Q746420),given name,What is the given name of Dr. S. S. Wesley?,Samuel; Sebastian
"Though Mr. Viotti had long retired from his profession, he nevertheless retained ‘all his love for the art, and contributed every thing in his power towards its ATS",Mr. Viotti,person,(Q313188),given name,What is the given name of Mr. Viotti?,Giovanni Battista
"The number of witnesses examined was forty - five, among whom were Mr. Mash of the Chamberlain’s Office, all the proprietors and managers of the various theatres, major and minor, many authors, and most of the principal actors.",Chamberlain,person,(Q541755),given name,What is the given name of Chamberlain?,William; Q15921732; Spencer
"On Monday, June 5, 1826, died Carl Maria Freyherr Von Weber.",Carl Maria Freyherr Von Weber,person,(Q154812),given name,What is the given name of Carl Maria Freyherr Von Weber?,Carl; Maria
", Arthur Sullivan, Mus. D., Cantab., the Conductor, and the Principal — Eaton Faning.",Arthur Sullivan,person,(Q212692),given name,What is the given name of Arthur Sullivan?,Q1778168; Seymour
", Arthur Sullivan, Mus. D., Cantab., the Conductor, and the Principal — Eaton Faning.",Eaton Faning,person,(Q5331349),given name,What is the given name of Eaton Faning?,Joseph
"‘Carron side,” an opera by Signor Liverati, was produced with success.",Signor Liverati,person,(Q3767573),given name,What is the given name of Signor Liverati?,Giovanni
For ten years Jarnowick was in great favour with the public.,Jarnowick,person,(Q1526160),given name,What is the given name of Jarnowick?,Ivan; Giovanni
"Mr. Kalkbrenner’s inelange displays great taste, both in the selection and treatment. of his subjects.",Mr. Kalkbrenner,person,(Q170270),given name,What is the given name of Mr. Kalkbrenner?,Michael; Wilhelm; Friedrich
"“Qui est Rex Gloriosus,” Canon four in two, composed and dedicated to Thomas Attwood, Esq.",Thomas Attwood,person,(Q2422110),given name,What is the given name of Thomas Attwood?,Thomas
"There are few persons in this country, we apprehend, who are not now aware of the splendid donation made by the late Viscount Fitzwilliam to the University of Cambridge.",Viscount Fitzwilliam,person,(Q7325692),given name,What is the given name of Viscount Fitzwilliam?,Richard
The vocal music was scarcely so good as usual — with the exception of the scena of Miss Rainforth.,Miss Rainforth,person,(Q17355767),given name,What is the given name of Miss Rainforth?,Elizabeth
"We can not speak too highly of the manner in which this magnificent burst of grandeur was rendered, by Mr. Sterndale Bennett and his able assistants,",Mr. Sterndale Bennett,person,(Q201164),given name,What is the given name of Mr. Sterndale Bennett?,William
"passage, taken up by the other parts as a round, like Rossini’s",Rossini,person,(Q9726),given name,What is the given name of Rossini?,Gioacchino
"G. Benson, Ettore Fiori, Manuel Garcia, P. Goldberg, A. Randegger, T. A. Wallworth, and the Principal.",Ettore Fiori,person,(Q55912552),given name,What is the given name of Ettore Fiori?,Ettore
"G. Benson, Ettore Fiori, Manuel Garcia, P. Goldberg, A. Randegger, T. A. Wallworth, and the Principal.",Manuel Garcia,person,(Q333183),given name,What is the given name of Manuel Garcia?,Manuel; Patricio
"G. Benson, Ettore Fiori, Manuel Garcia, P. Goldberg, A. Randegger, T. A. Wallworth, and the Principal.",A. Randegger,person,(Q4712167),given name,What is the given name of A. Randegger?,Alberto
"Thornhill drew ail their portraits in pencil, and Prior wrote humorous verses under each.",Thornhill,person,(Q1681192),given name,What is the given name of Thornhill?,James
the programme consisted entirely of a selection from*the works of the late Sir Sterndale Bennett.,Sir Sterndale Bennett,person,(Q201164),given name,What is the given name of Sir Sterndale Bennett?,William
"The artists engaged were the Misses Agnes Drummond, Josephine Pulham, Marian Haigh, Florence Wydford, and Messrs. Henry Guy, Theodore Distin, E. Stone, and Thurley Beale.",Theodore Distin,person,(Q76098551),given name,What is the given name of Theodore Distin?,Theodore
"Mrs. Shaw sang the next piece, No. 17, with more grace and power of vocalization than she had displayed during her visit.",Mrs. Shaw,person,(Q3291051),given name,What is the given name of Mrs. Shaw?,Mary
"“Lives of the Professors of Gresham College” is a list of musical works in manuscript of Dr. J. Bull, in possession of Dr. Pepusch",Dr. J. Bull,person,(Q511463),given name,What is the given name of Dr. J. Bull?,John
"“Lives of the Professors of Gresham College” is a list of musical works in manuscript of Dr. J. Bull, in possession of Dr. Pepusch",Dr. Pepusch,person,(Q371825),given name,What is the given name of Dr. Pepusch?,Johann; Christoph
He also performed two of Mendelssohn’s,Mendelssohn,person,(Q46096),given name,What is the given name of Mendelssohn?,Felix
"Air Suisse, with an Introduction and Variations for the Piano Forte, composed by H. Herz.",H. Herz,person,(Q572547),given name,What is the given name of H. Herz?,Henri
"Dr. Anslem Bayly, Sub - Dean of this Majesty’s Chapels Royal.",Dr. Anslem Bayly,person,(Q4770596),given name,What is the given name of Dr. Anslem Bayly?,Anselm
"Charles Phillippe Lafont, a very distinguished violinist, began to learn the violin with his mother, who was the sister of Berthaume, when yet very young.",Charles Phillippe Lafont,person,(Q517502),given name,What is the given name of Charles Phillippe Lafont?,Charles
"Among the pieces were Beethoven’s grand symphony in bp, and the overtures to Don Juan and Reissiger’s Felsenmithle, all of which were exquisitely played.",Beethoven,person,(Q255),given name,What is the given name of Beethoven?,Ludwig
"Among the pieces were Beethoven’s grand symphony in bp, and the overtures to Don Juan and Reissiger’s Felsenmithle, all of which were exquisitely played.",Reissiger,person,(Q213894),given name,What is the given name of Reissiger?,Carl
"Venice, besides the advantage of having orators destined to educate the singers, had Gasparini and Lotti as directors of the schools..",Gasparini,person,(Q446955),given name,What is the given name of Gasparini?,Francesco
"Venice, besides the advantage of having orators destined to educate the singers, had Gasparini and Lotti as directors of the schools..",Lotti,person,(Q168345),given name,What is the given name of Lotti?,Antonio
Handel’s habit of borrowing from himself is well known.,Handel,person,(Q7302),given name,What is the given name of Handel?,Georg; Frederick; Friedrich; Q15921732; Q16275883
the bride recently went through a similar ceremony as Giultetta in Gounod’s opera.,Gounod,person,(Q180278),given name,What is the given name of Gounod?,Charles-François
"the subject of the Air from a French Melody, composed by Pio Glanchettini.",Pio Glanchettini,person,(Q18819786),given name,What is the given name of Pio Glanchettini?,Pio
"But in the “Studii of Palestrina,” -a manvscript, procured at Rome by Dr. Burney, containing chants by the great composers of his time, are some, by.",Dr. Burney,person,(Q547002),given name,What is the given name of Dr. Burney?,Charles
"It is in this point of view that we ought to regard the revolution effected by Rossini in the music of Naples, as well as: its novel results.",Rossini,person,(Q9726),given name,What is the given name of Rossini?,Gioacchino
Mr. Kalkbrenner’s concerto was the only piece in the last bill of any importance.,Mr. Kalkbrenner,person,(Q170270),given name,What is the given name of Mr. Kalkbrenner?,Michael; Wilhelm; Friedrich
"w ho were accustomed to meet there frequently, such as Pagin, Gavinies, Pugnani, Gi- ardini, Van Malder, Dominico Ferrari, & c.",Pagin,person,(Q516496),given name,What is the given name of Pagin?,Jean-Pierre; André
"w ho were accustomed to meet there frequently, such as Pagin, Gavinies, Pugnani, Gi- ardini, Van Malder, Dominico Ferrari, & c.",Gavinies,person,(Q490205),given name,What is the given name of Gavinies?,Pierre
"w ho were accustomed to meet there frequently, such as Pagin, Gavinies, Pugnani, Gi- ardini, Van Malder, Dominico Ferrari, & c.",Pugnani,person,(Q560926),given name,What is the given name of Pugnani?,Gaetano; Giulio; Gerolamo
"w ho were accustomed to meet there frequently, such as Pagin, Gavinies, Pugnani, Gi- ardini, Van Malder, Dominico Ferrari, & c.",Van Malder,person,(Q509130),given name,What is the given name of Van Malder?,Pieter; Pierre
"w ho were accustomed to meet there frequently, such as Pagin, Gavinies, Pugnani, Gi- ardini, Van Malder, Dominico Ferrari, & c.",Dominico Ferrari,person,(Q1237139),given name,What is the given name of Dominico Ferrari?,Domenico
"I am marvellously curious to see the violin quartet written by Rossini for Ricordi, the music - dealer, of Milan.",Rossini,person,(Q9726),given name,What is the given name of Rossini?,Gioacchino
"I am marvellously curious to see the violin quartet written by Rossini for Ricordi, the music - dealer, of Milan.",Ricordi,person,(Q1046463),given name,What is the given name of Ricordi?,
Upon the coffin was ‘the following inscription:: CAROLUS MARTA FREYHERR VON WEBER.,CAROLUS MARTA FREYHERR VON WEBER .,person,(Q154812),given name,What is the given name of CAROLUS MARTA FREYHERR VON WEBER .?,Carl; Maria
"One of the principal pieces in Hippolyte et Arcie, is the trio of the Fates, one of the most beautiful compositions of Rameau.",Rameau,person,(Q1145),given name,What is the given name of Rameau?,Jean-Philippe
"When Garibaldi raised the standard of revolt at Marsala, a number of volunteers.",Garibaldi,person,(Q539),given name,What is the given name of Garibaldi?,Giuseppe; Maria
the paucity of the English female singers — Miss Stephens and.,Miss Stephens,person,(Q5052928),given name,What is the given name of Miss Stephens?,Catherine
"For further particulars apply to Mr. H. Keeton, “Registered for transmission abroad.",Mr. H. Keeton,person,(Q1438256),given name,What is the given name of Mr. H. Keeton?,Q27949620
"They are all tinctured with a certain degree of elegance and expressiveness, particularly these by Mr. Clifton, Mr. Crouch, Mr. Eavestaff, and Mr. Banister.",Mr. Clifton,person,(Q6224338),given name,What is the given name of Mr. Clifton?,John
"Since Barbaja seceded from the theatre, San Carlo has thrice been in danger of being burnt down.",Barbaja,person,(Q908235),given name,What is the given name of Barbaja?,Domenico
"Variations, and an Introductory Prelude on some Passages from: the Incantation Scene, by N.C. Bochsa 4.",N.C. Bochsa,person,(Q251397),given name,What is the given name of N.C. Bochsa?,Charles; Nicolas
"Signor Sabastiani, first clarinet at the theatre St. Carlo at Naples, is arrived in Paris.",Signor Sabastiani,person,(Q109802688),given name,What is the given name of Signor Sabastiani?,Ferdinando
"The predominant feature of Spohr’s music is a voluptuous monotony — a luxury indeed, but a vicious one.",Spohr,person,(Q57226),given name,What is the given name of Spohr?,Louis
"but, after all, why not have given a symphony or overture of Haydn or Mozart?",Haydn,person,(Q7349),given name,What is the given name of Haydn?,Joseph
"but, after all, why not have given a symphony or overture of Haydn or Mozart?",Mozart,person,(Q254),given name,What is the given name of Mozart?,Wolfgang; Amadé
"M. Spohr has produced at Cassel a new opera, named, Pietra @ Albano.",M. Spohr,person,(Q57226),given name,What is the given name of M. Spohr?,Louis
"The music consisted of a selection from The Seasons of Haydn, and the whole of Beethoven’s Mount of Olives.",Haydn,person,(Q7349),given name,What is the given name of Haydn?,Joseph
"The music consisted of a selection from The Seasons of Haydn, and the whole of Beethoven’s Mount of Olives.",Beethoven,person,(Q255),given name,What is the given name of Beethoven?,Ludwig
Adelina Patti — for that will continue to be her professional.,Adelina Patti,person,(Q234166),given name,What is the given name of Adelina Patti?,Adelina
"These two operas, and also two odes to Anacreon set to the Greek text, are the only fruits of our author's pen in the year 1799.",Anacreon,person,(Q213484),given name,What is the given name of Anacreon?,
"Grazioli (who must not be confounded with the composer of the same name, who died at Venice in 1820). has published several operas and some sacred music.",Grazioli,person,(Q1525873),given name,What is the given name of Grazioli?,Giovanni Battista
M. Bochsa takes some trouble to present new compositions to the public; but he does not exercise much judgment'in the selection of them.,M. Bochsa,person,(Q251397),given name,What is the given name of M. Bochsa?,Charles; Nicolas
"This Edition has been revised, and Passages for the additional Keys arranged for Piano Fortes up to C, by Mr. Moscheles.",Mr. Moscheles,person,(Q159551),given name,What is the given name of Mr. Moscheles?,Ignaz
The exquisite drollery of Levassor and John Parry were highly relished.,John Parry,person,(Q3399352),given name,What is the given name of John Parry?,John
"The reception of the work was most enthusiastic, Dr. Bridge receiving quite an ovation at the close of the Oratorio.",Dr. Bridge,person,(Q5497415),given name,What is the given name of Dr. Bridge?,Frederick
"The Societa Filodramatica is about to produce Bellini’s opera, I Montecchi e Capuleti.",Bellini,person,(Q170209),given name,What is the given name of Bellini?,Salvatore; Carmelo; Francesco; Vincenzo
"we are moved only by admiration of the talents of Madame Pasta or Mademoiselle Sontag, displayed in executing the innumerable flights, arpeggios, and cadenzas which are allotted to them.",Madame Pasta,person,(Q240963),given name,What is the given name of Madame Pasta?,Q18191101
"we are moved only by admiration of the talents of Madame Pasta or Mademoiselle Sontag, displayed in executing the innumerable flights, arpeggios, and cadenzas which are allotted to them.",Mademoiselle Sontag,person,(Q64098),given name,What is the given name of Mademoiselle Sontag?,Henriette
"Ramsay was an acute observer of the character and manners of the Scottish peasantry, and has produced many pleasing and humorous sketches of the habits and sentiments peculiar to that race.",Ramsay,person,(Q654775),given name,What is the given name of Ramsay?,Allan
"To Mr. Willert Beale, the founder of these meetings, 8.",Mr. Willert Beale,person,(Q7795125),given name,What is the given name of Mr. Willert Beale?,Thomas; Willert
", ee OF the principles adopted by Handel in his employment of such phrases, 1 hope I have given a clear and sufficient demonstration in my last letter.",Handel,person,(Q7302),given name,What is the given name of Handel?,Georg; Frederick; Friedrich; Q15921732; Q16275883
"Franz Liszt played this piece once with such mighty power and passion, such eloquence and truth, as I never heard before, probably never shall hear again.",Franz Liszt,person,(Q41309),given name,What is the given name of Franz Liszt?,Franz; Ferenc
"3- SEVEN VOCAL DUETS, by Bellini, S. Glover, Macfarren, Donizetti, & c..",Bellini,person,(Q170209),given name,What is the given name of Bellini?,Salvatore; Carmelo; Francesco; Vincenzo
"3- SEVEN VOCAL DUETS, by Bellini, S. Glover, Macfarren, Donizetti, & c..",Macfarren,person,(Q1374708),given name,What is the given name of Macfarren?,Alexander; Q15921732
"3- SEVEN VOCAL DUETS, by Bellini, S. Glover, Macfarren, Donizetti, & c..",Donizetti,person,(Q101698),given name,What is the given name of Donizetti?,Maria; Domenico; Gaetano
", Mr. Joseph Skeaf, the president, occupied the chair, Mr. William Laidlaw and Mr. T. Armstrong vicechairmen.",Mr. William Laidlaw,person,(Q8014247),given name,What is the given name of Mr. William Laidlaw?,William
"In 1760 he sent him to Paris, and he there took lessons of Capron, and at the same time studied composition under Gossec.",Capron,person,(Q120697),given name,What is the given name of Capron?,Nicolas
"In 1760 he sent him to Paris, and he there took lessons of Capron, and at the same time studied composition under Gossec.",Gossec,person,(Q313667),given name,What is the given name of Gossec?,François
"The church of Santa Maria Maggiore, the third in rank, had as chapel master the Maestro del Fante, who has now been dead some years.",Maestro del Fante,person,(Q18416097),given name,What is the given name of Maestro del Fante?,Antonio
"The vocalists were the Misses C. Novello, Rainforth, and Mrs. Alfred Shaw; Messrs. Braham, Phillips, Bennett, Walton, and J. Isherwood.",C. Novello,person,(Q4322567),given name,What is the given name of C. Novello?,Anastasia; Clara
"The vocalists were the Misses C. Novello, Rainforth, and Mrs. Alfred Shaw; Messrs. Braham, Phillips, Bennett, Walton, and J. Isherwood.",Rainforth,person,(Q17355767),given name,What is the given name of Rainforth?,Elizabeth
"The vocalists were the Misses C. Novello, Rainforth, and Mrs. Alfred Shaw; Messrs. Braham, Phillips, Bennett, Walton, and J. Isherwood.",Alfred Shaw,person,(Q3291051),given name,What is the given name of Alfred Shaw?,Mary
"The vocalists were the Misses C. Novello, Rainforth, and Mrs. Alfred Shaw; Messrs. Braham, Phillips, Bennett, Walton, and J. Isherwood.",Braham,person,(Q1699393),given name,What is the given name of Braham?,John
"The vocalists were the Misses C. Novello, Rainforth, and Mrs. Alfred Shaw; Messrs. Braham, Phillips, Bennett, Walton, and J. Isherwood.",Bennett,person,(Q201164),given name,What is the given name of Bennett?,William
"Francoeur was born at Paris, in 1698, and is mentioned as having belonged.",Francoeur,person,(Q1396905),given name,What is the given name of Francoeur?,François
"Now let our readers take the finale of any opera by Mozart, of the Fidelio by Beethoven, and compare it side by side with the finale by Wagner.",Mozart,person,(Q254),given name,What is the given name of Mozart?,Wolfgang; Amadé
"Now let our readers take the finale of any opera by Mozart, of the Fidelio by Beethoven, and compare it side by side with the finale by Wagner.",Beethoven,person,(Q255),given name,What is the given name of Beethoven?,Ludwig
"Now let our readers take the finale of any opera by Mozart, of the Fidelio by Beethoven, and compare it side by side with the finale by Wagner.",Wagner,person,(Q1511),given name,What is the given name of Wagner?,Richard
"Cherubini never heard, any of the works Cherubini composed for Paris sung to his own pliant, beautiful and harmonious language.",Cherubini,person,(Q20721),given name,What is the given name of Cherubini?,Louis-Marie
"Cherubini never heard, any of the works Cherubini composed for Paris sung to his own pliant, beautiful and harmonious language.",Cherubini,person,(Q20721),given name,What is the given name of Cherubini?,Louis-Marie
"Jean Pierre Guignon was born at Turin, in 1702; but as he came to France whilst very young, and established himself there, we shall consider him as a French violinist.",Jean Pierre Guignon,person,(Q337573),given name,What is the given name of Jean Pierre Guignon?,Giovanni; Jean-Pierre
"This, I understand, was the method pursued by _ M. Chelard, the. maestro at the German opera last season at the King’s Theatre.",M. Chelard,person,(Q924686),given name,What is the given name of M. Chelard?,Hippolyte
De Begnis still occupies a place in the King’s Theatre.,De Begnis,person,(Q3770409),given name,What is the given name of De Begnis?,Giuseppe
"WE regret to have to announce the sudden death, from heart disease, of Dr. H. J. Gauntlett, on the a2ist ult.",Dr. H. J. Gauntlett,person,(Q11925412),given name,What is the given name of Dr. H. J. Gauntlett?,Henry; John
"Duet, ‘The streams that wind amid the hills,’ the Poetry by G. Darley, Esq.; the Music composed by Fanny Steers.",G. Darley,person,(Q1450149),given name,What is the given name of G. Darley?,Q15921732
"Duet, ‘The streams that wind amid the hills,’ the Poetry by G. Darley, Esq.; the Music composed by Fanny Steers.",Fanny Steers,person,(Q104234927),given name,What is the given name of Fanny Steers?,Fanny
What has Mozart's portrait to do in the Memuirs of Rossini?,Mozart,person,(Q254),given name,What is the given name of Mozart?,Wolfgang; Amadé
"But we will not praise Miss Rainforth over much, lest she, too, should become spoiled —",Miss Rainforth,person,(Q17355767),given name,What is the given name of Miss Rainforth?,Elizabeth
", Paer’s beautiful little duet, is better in its original form, than in that which is now given to it.",Paer,person,(Q533022),given name,What is the given name of Paer?,Ferdinando
"Of Handel's efforts in oratorio we had also a full account; those gigantic. works, written after he had passed his fifty - third year.",Handel,person,(Q7302),given name,What is the given name of Handel?,Georg; Frederick; Friedrich; Q15921732; Q16275883
"Lord Bacon, Addison, Dr. Brown, Dugald Stewart, and many others,. are often betrayed into unconscious absurdities respecting musical effects by their ignorance of the science.",Lord Bacon,person,(Q37388),given name,What is the given name of Lord Bacon?,Francis
"Lord Bacon, Addison, Dr. Brown, Dugald Stewart, and many others,. are often betrayed into unconscious absurdities respecting musical effects by their ignorance of the science.",Addison,person,(Q206384),given name,What is the given name of Addison?,Joseph; Jozef
"Lord Bacon, Addison, Dr. Brown, Dugald Stewart, and many others,. are often betrayed into unconscious absurdities respecting musical effects by their ignorance of the science.",Dugald Stewart,person,(Q218254),given name,What is the given name of Dugald Stewart?,Dugald
"Sir W. Jones, in his Catalogue of Manuscripts, deposited in the library of the Royal Society, gives us the names of some treatises in the Hindustanee language, which of course have never been translated..",Sir W. Jones,person,(Q273969),given name,What is the given name of Sir W. Jones?,William
"This amusement seems to have had a great attraction for Mendelssohn, who often entered into the - fun of it with characteristic zest.",Mendelssohn,person,(Q46096),given name,What is the given name of Mendelssohn?,Felix
"He quitted Parma, and returned to Tartini, with whom he studied ull the year 1769.",Tartini,person,(Q108555),given name,What is the given name of Tartini?,Giuseppe
"Melange for the Piano Forte, from “Il Crociato in Egitto,” by Frederick Kalkbrenner.",Frederick Kalkbrenner,person,(Q170270),given name,What is the given name of Frederick Kalkbrenner?,Michael; Wilhelm; Friedrich
