sentence,span,type,uri,relation,question,gold CoC
"Batiste’s Andante in G, an Offertoire by Lefébure - Wély, 2 Fugue by Mendelssohn, and Gounod’s",Lefébure - Wély,person,(Q546919),country of citizenship,What is the country of citizenship of Lefébure - Wély?,France
"Batiste’s Andante in G, an Offertoire by Lefébure - Wély, 2 Fugue by Mendelssohn, and Gounod’s",Mendelssohn,person,(Q46096),country of citizenship,What is the country of citizenship of Mendelssohn?,Hamburg; Kingdom of Saxony
"Batiste’s Andante in G, an Offertoire by Lefébure - Wély, 2 Fugue by Mendelssohn, and Gounod’s",Gounod,person,(Q180278),country of citizenship,What is the country of citizenship of Gounod?,France
"There were aymptoms of weariness, to be sute, in some of the high tenors in the last piece, that noble double chorus from Mendelssohn's “Oedipus,’ and",Mendelssohn,person,(Q46096),country of citizenship,What is the country of citizenship of Mendelssohn?,Hamburg; Kingdom of Saxony
"Under the Direction of the Earl of Cawdor, Wednesday, April 24, 1833.",Earl of Cawdor,person,(Q6224952),country of citizenship,What is the country of citizenship of Earl of Cawdor?,Kingdom of Great Britain; United Kingdom of Great Britain and Ireland
Of the publication of Volume II. of Dr. Burney’s great work we have the following account:,Dr. Burney,person,(Q547002),country of citizenship,What is the country of citizenship of Dr. Burney?,United Kingdom of Great Britain and Ireland
"On the same occasion, a quintett and chorus from Jerusalem delivered, an oratorio by M. Eberwein, which is still in MS. was received with much applause.",M. Eberwein,person,(Q215521),country of citizenship,What is the country of citizenship of M. Eberwein?,Saxe-Weimar-Eisenach
The programme consisted of selections from the Messiah and Mendelssohn’s Hymn of Praise.,Mendelssohn,person,(Q46096),country of citizenship,What is the country of citizenship of Mendelssohn?,Hamburg; Kingdom of Saxony
The Music adapted from SPINDLER’s HUSARENRITT by Louis Dien1.,Louis Dien1,person,(Q19900926),country of citizenship,What is the country of citizenship of Louis Dien1?,France
Some think they detect already in Weber's “Preciosa” and,Weber,person,(Q154812),country of citizenship,What is the country of citizenship of Weber?,Prince-Bishopric of Lübeck
The first fart of the programme consisted of selections from the works of Mendelssohn.,Mendelssohn,person,(Q46096),country of citizenship,What is the country of citizenship of Mendelssohn?,Hamburg; Kingdom of Saxony
"Oakley, Esq., of Tavistock Place, and the late James Perry Esq.,. of the Morning Chronicle.",James Perry,person,(Q15047460),country of citizenship,What is the country of citizenship of James Perry?,Kingdom of Great Britain; United Kingdom of Great Britain and Ireland
"that many composers who lose themselves in the clouds of mannerism and affectation, would imitate thewisdom of Sirletti, Asioli, and Pollini —",Sirletti,person,(Q102283903),country of citizenship,What is the country of citizenship of Sirletti?,
"that many composers who lose themselves in the clouds of mannerism and affectation, would imitate thewisdom of Sirletti, Asioli, and Pollini —",Asioli,person,(Q892563),country of citizenship,What is the country of citizenship of Asioli?,
"that many composers who lose themselves in the clouds of mannerism and affectation, would imitate thewisdom of Sirletti, Asioli, and Pollini —",Pollini,person,(Q1351579),country of citizenship,What is the country of citizenship of Pollini?,Holy Roman Empire; Austrian Empire
"Second Concerto and Di Tanti, 294 Kiallmark, his Le pas de Polichinelle, 1145, Are ye'angry, 238;",Kiallmark,person,(Q18671297),country of citizenship,What is the country of citizenship of Kiallmark?,Kingdom of Great Britain; United Kingdom of Great Britain and Ireland
"This enthusiastic composer, rich in talent, of the school of Bartolomeo Felici, wrote in the purest style.",Bartolomeo Felici,person,(Q20757883),country of citizenship,What is the country of citizenship of Bartolomeo Felici?,
"Piano Forte ed Arpa da L. Cherubini, » Almen se non possio, Canzonetta; Poetry by Metastasio; Music by",L. Cherubini,person,(Q20721),country of citizenship,What is the country of citizenship of L. Cherubini?,France; United Kingdom; Grand Duchy of Tuscany
"Piano Forte ed Arpa da L. Cherubini, » Almen se non possio, Canzonetta; Poetry by Metastasio; Music by",Metastasio,person,(Q29473),country of citizenship,What is the country of citizenship of Metastasio?,
"Here examples are given of the psalms of Marot and some of the earliest psalmists, whose compositions were even then considered as impudent innovations.",Marot,person,(Q108926),country of citizenship,What is the country of citizenship of Marot?,France
"Between the years 1740 and 1745, we find but two complete dramas written by Metastasio, Antigono and Ipermestra, the former of these written expressly for the court of Dresden.",Metastasio,person,(Q29473),country of citizenship,What is the country of citizenship of Metastasio?,
"This will serve to give some idea of the extensive field entered upon by Martini, and the diffuseness of that part which is completed.",Martini,person,(Q283651),country of citizenship,What is the country of citizenship of Martini?,
"the Bacchanalian Song from Spontini’s Danaides, and several other pieces too numerous to particularize.",Spontini,person,(Q168485),country of citizenship,What is the country of citizenship of Spontini?,Kingdom of Prussia; First French Empire; Papal States
"Vienna, Jan. 10. _ Donizetti has arrived in this city in perfect health.",Donizetti,person,(Q101698),country of citizenship,What is the country of citizenship of Donizetti?,Kingdom of Lombardy–Venetia
"Nevertheless, to be the rival of Carissimi he must have possessed considerable talent, both as a musician and a composer.",Carissimi,person,(Q312686),country of citizenship,What is the country of citizenship of Carissimi?,Papal States
"Since this note was written, a strong confirmation has been given to my opinion by a perusal of the History of the East Indies, from the French of L’Abbe Guyon.",L’Abbe Guyon,person,(Q2976789),country of citizenship,What is the country of citizenship of L’Abbe Guyon?,France
Her Majesty and Prince Albert took a part in ‘Die Elfen Walzer.,Prince Albert,person,(Q152245),country of citizenship,What is the country of citizenship of Prince Albert?,United Kingdom of Great Britain and Ireland
"Nor let us omit the performance of Grisias the Lady Norina in Pasquale, which was one of the most admirable specimens of comic talent ever seen on any stage.",Grisias,person,(Q287344),country of citizenship,What is the country of citizenship of Grisias?,Kingdom of Italy
": NgwcastLe - on - TyNE. — A most successful performance of the Antigone of Sophocles, with Mendelssohn's music, took place at the Theatre Royal, on the 21st ult.",Mendelssohn,person,(Q46096),country of citizenship,What is the country of citizenship of Mendelssohn?,Hamburg; Kingdom of Saxony
"Sabadini also composed oratorios, the best of which was “La Divina Sapienza.",Sabadini,person,(Q3638803),country of citizenship,What is the country of citizenship of Sabadini?,Republic of Venice
"The chair was occupied en the occasion by Sir Thomas Gladstone, Bart.",Sir Thomas Gladstone,person,(Q7529140),country of citizenship,What is the country of citizenship of Sir Thomas Gladstone?,United Kingdom of Great Britain and Ireland
"The three last operas written by Metastasio were, Il Trionfo di Clelia, in 1762;",Metastasio,person,(Q29473),country of citizenship,What is the country of citizenship of Metastasio?,
"’s 24th Psalm, adapted to the English version, by W. T. Freemantle (and revised by the late Dr. S. S. Wesley).",W. T. Freemantle,person,(Q8019310),country of citizenship,What is the country of citizenship of W. T. Freemantle?,United Kingdom; United Kingdom of Great Britain and Ireland
"’s 24th Psalm, adapted to the English version, by W. T. Freemantle (and revised by the late Dr. S. S. Wesley).",Dr. S. S. Wesley,person,(Q746420),country of citizenship,What is the country of citizenship of Dr. S. S. Wesley?,United Kingdom of Great Britain and Ireland
"Though Mr. Viotti had long retired from his profession, he nevertheless retained ‘all his love for the art, and contributed every thing in his power towards its ATS",Mr. Viotti,person,(Q313188),country of citizenship,What is the country of citizenship of Mr. Viotti?,Kingdom of Sardinia
"The number of witnesses examined was forty - five, among whom were Mr. Mash of the Chamberlain’s Office, all the proprietors and managers of the various theatres, major and minor, many authors, and most of the principal actors.",Chamberlain,person,(Q541755),country of citizenship,What is the country of citizenship of Chamberlain?,United Kingdom of Great Britain and Ireland
"On Monday, June 5, 1826, died Carl Maria Freyherr Von Weber.",Carl Maria Freyherr Von Weber,person,(Q154812),country of citizenship,What is the country of citizenship of Carl Maria Freyherr Von Weber?,Prince-Bishopric of Lübeck
", Arthur Sullivan, Mus. D., Cantab., the Conductor, and the Principal — Eaton Faning.",Arthur Sullivan,person,(Q212692),country of citizenship,What is the country of citizenship of Arthur Sullivan?,United Kingdom of Great Britain and Ireland
", Arthur Sullivan, Mus. D., Cantab., the Conductor, and the Principal — Eaton Faning.",Eaton Faning,person,(Q5331349),country of citizenship,What is the country of citizenship of Eaton Faning?,United Kingdom
"‘Carron side,” an opera by Signor Liverati, was produced with success.",Signor Liverati,person,(Q3767573),country of citizenship,What is the country of citizenship of Signor Liverati?,
For ten years Jarnowick was in great favour with the public.,Jarnowick,person,(Q1526160),country of citizenship,What is the country of citizenship of Jarnowick?,
"Mr. Kalkbrenner’s inelange displays great taste, both in the selection and treatment. of his subjects.",Mr. Kalkbrenner,person,(Q170270),country of citizenship,What is the country of citizenship of Mr. Kalkbrenner?,Holy Roman Empire
"“Qui est Rex Gloriosus,” Canon four in two, composed and dedicated to Thomas Attwood, Esq.",Thomas Attwood,person,(Q2422110),country of citizenship,What is the country of citizenship of Thomas Attwood?,Kingdom of Great Britain; United Kingdom of Great Britain and Ireland
"There are few persons in this country, we apprehend, who are not now aware of the splendid donation made by the late Viscount Fitzwilliam to the University of Cambridge.",Viscount Fitzwilliam,person,(Q7325692),country of citizenship,What is the country of citizenship of Viscount Fitzwilliam?,United Kingdom of Great Britain and Ireland
The vocal music was scarcely so good as usual — with the exception of the scena of Miss Rainforth.,Miss Rainforth,person,(Q17355767),country of citizenship,What is the country of citizenship of Miss Rainforth?,
"We can not speak too highly of the manner in which this magnificent burst of grandeur was rendered, by Mr. Sterndale Bennett and his able assistants,",Mr. Sterndale Bennett,person,(Q201164),country of citizenship,What is the country of citizenship of Mr. Sterndale Bennett?,United Kingdom of Great Britain and Ireland
"passage, taken up by the other parts as a round, like Rossini’s",Rossini,person,(Q9726),country of citizenship,What is the country of citizenship of Rossini?,Papal States; Kingdom of Italy
"G. Benson, Ettore Fiori, Manuel Garcia, P. Goldberg, A. Randegger, T. A. Wallworth, and the Principal.",Ettore Fiori,person,(Q55912552),country of citizenship,What is the country of citizenship of Ettore Fiori?,
"G. Benson, Ettore Fiori, Manuel Garcia, P. Goldberg, A. Randegger, T. A. Wallworth, and the Principal.",Manuel Garcia,person,(Q333183),country of citizenship,What is the country of citizenship of Manuel Garcia?,Spain
"G. Benson, Ettore Fiori, Manuel Garcia, P. Goldberg, A. Randegger, T. A. Wallworth, and the Principal.",A. Randegger,person,(Q4712167),country of citizenship,What is the country of citizenship of A. Randegger?,Kingdom of Italy
"Thornhill drew ail their portraits in pencil, and Prior wrote humorous verses under each.",Thornhill,person,(Q1681192),country of citizenship,What is the country of citizenship of Thornhill?,Kingdom of Great Britain
the programme consisted entirely of a selection from*the works of the late Sir Sterndale Bennett.,Sir Sterndale Bennett,person,(Q201164),country of citizenship,What is the country of citizenship of Sir Sterndale Bennett?,United Kingdom of Great Britain and Ireland
"The artists engaged were the Misses Agnes Drummond, Josephine Pulham, Marian Haigh, Florence Wydford, and Messrs. Henry Guy, Theodore Distin, E. Stone, and Thurley Beale.",Theodore Distin,person,(Q76098551),country of citizenship,What is the country of citizenship of Theodore Distin?,
"Mrs. Shaw sang the next piece, No. 17, with more grace and power of vocalization than she had displayed during her visit.",Mrs. Shaw,person,(Q3291051),country of citizenship,What is the country of citizenship of Mrs. Shaw?,United Kingdom of Great Britain and Ireland
"“Lives of the Professors of Gresham College” is a list of musical works in manuscript of Dr. J. Bull, in possession of Dr. Pepusch",Dr. J. Bull,person,(Q511463),country of citizenship,What is the country of citizenship of Dr. J. Bull?,Kingdom of England
"“Lives of the Professors of Gresham College” is a list of musical works in manuscript of Dr. J. Bull, in possession of Dr. Pepusch",Dr. Pepusch,person,(Q371825),country of citizenship,What is the country of citizenship of Dr. Pepusch?,Germany
He also performed two of Mendelssohn’s,Mendelssohn,person,(Q46096),country of citizenship,What is the country of citizenship of Mendelssohn?,Hamburg; Kingdom of Saxony
"Air Suisse, with an Introduction and Variations for the Piano Forte, composed by H. Herz.",H. Herz,person,(Q572547),country of citizenship,What is the country of citizenship of H. Herz?,France; Holy Roman Empire
"Dr. Anslem Bayly, Sub - Dean of this Majesty’s Chapels Royal.",Dr. Anslem Bayly,person,(Q4770596),country of citizenship,What is the country of citizenship of Dr. Anslem Bayly?,
"Charles Phillippe Lafont, a very distinguished violinist, began to learn the violin with his mother, who was the sister of Berthaume, when yet very young.",Charles Phillippe Lafont,person,(Q517502),country of citizenship,What is the country of citizenship of Charles Phillippe Lafont?,France
"Among the pieces were Beethoven’s grand symphony in bp, and the overtures to Don Juan and Reissiger’s Felsenmithle, all of which were exquisitely played.",Beethoven,person,(Q255),country of citizenship,What is the country of citizenship of Beethoven?,Austrian Empire; Electorate of Cologne
"Among the pieces were Beethoven’s grand symphony in bp, and the overtures to Don Juan and Reissiger’s Felsenmithle, all of which were exquisitely played.",Reissiger,person,(Q213894),country of citizenship,What is the country of citizenship of Reissiger?,Kingdom of Saxony
"Venice, besides the advantage of having orators destined to educate the singers, had Gasparini and Lotti as directors of the schools..",Gasparini,person,(Q446955),country of citizenship,What is the country of citizenship of Gasparini?,
"Venice, besides the advantage of having orators destined to educate the singers, had Gasparini and Lotti as directors of the schools..",Lotti,person,(Q168345),country of citizenship,What is the country of citizenship of Lotti?,Republic of Venice
Handel’s habit of borrowing from himself is well known.,Handel,person,(Q7302),country of citizenship,What is the country of citizenship of Handel?,Holy Roman Empire; Brandenburg-Prussia; Kingdom of Great Britain
the bride recently went through a similar ceremony as Giultetta in Gounod’s opera.,Gounod,person,(Q180278),country of citizenship,What is the country of citizenship of Gounod?,France
"the subject of the Air from a French Melody, composed by Pio Glanchettini.",Pio Glanchettini,person,(Q18819786),country of citizenship,What is the country of citizenship of Pio Glanchettini?,
"But in the “Studii of Palestrina,” -a manvscript, procured at Rome by Dr. Burney, containing chants by the great composers of his time, are some, by.",Dr. Burney,person,(Q547002),country of citizenship,What is the country of citizenship of Dr. Burney?,United Kingdom of Great Britain and Ireland
"It is in this point of view that we ought to regard the revolution effected by Rossini in the music of Naples, as well as: its novel results.",Rossini,person,(Q9726),country of citizenship,What is the country of citizenship of Rossini?,Papal States; Kingdom of Italy
Mr. Kalkbrenner’s concerto was the only piece in the last bill of any importance.,Mr. Kalkbrenner,person,(Q170270),country of citizenship,What is the country of citizenship of Mr. Kalkbrenner?,Holy Roman Empire
"w ho were accustomed to meet there frequently, such as Pagin, Gavinies, Pugnani, Gi- ardini, Van Malder, Dominico Ferrari, & c.",Pagin,person,(Q516496),country of citizenship,What is the country of citizenship of Pagin?,France
"w ho were accustomed to meet there frequently, such as Pagin, Gavinies, Pugnani, Gi- ardini, Van Malder, Dominico Ferrari, & c.",Gavinies,person,(Q490205),country of citizenship,What is the country of citizenship of Gavinies?,France
"w ho were accustomed to meet there frequently, such as Pagin, Gavinies, Pugnani, Gi- ardini, Van Malder, Dominico Ferrari, & c.",Pugnani,person,(Q560926),country of citizenship,What is the country of citizenship of Pugnani?,
"w ho were accustomed to meet there frequently, such as Pagin, Gavinies, Pugnani, Gi- ardini, Van Malder, Dominico Ferrari, & c.",Van Malder,person,(Q509130),country of citizenship,What is the country of citizenship of Van Malder?,Austrian Netherlands
"w ho were accustomed to meet there frequently, such as Pagin, Gavinies, Pugnani, Gi- ardini, Van Malder, Dominico Ferrari, & c.",Dominico Ferrari,person,(Q1237139),country of citizenship,What is the country of citizenship of Dominico Ferrari?,Habsburg monarchy
"I am marvellously curious to see the violin quartet written by Rossini for Ricordi, the music - dealer, of Milan.",Rossini,person,(Q9726),country of citizenship,What is the country of citizenship of Rossini?,Papal States; Kingdom of Italy
"I am marvellously curious to see the violin quartet written by Rossini for Ricordi, the music - dealer, of Milan.",Ricordi,person,(Q1046463),country of citizenship,What is the country of citizenship of Ricordi?,
Upon the coffin was ‘the following inscription:: CAROLUS MARTA FREYHERR VON WEBER.,CAROLUS MARTA FREYHERR VON WEBER .,person,(Q154812),country of citizenship,What is the country of citizenship of CAROLUS MARTA FREYHERR VON WEBER .?,Prince-Bishopric of Lübeck
"One of the principal pieces in Hippolyte et Arcie, is the trio of the Fates, one of the most beautiful compositions of Rameau.",Rameau,person,(Q1145),country of citizenship,What is the country of citizenship of Rameau?,Kingdom of France
"When Garibaldi raised the standard of revolt at Marsala, a number of volunteers.",Garibaldi,person,(Q539),country of citizenship,What is the country of citizenship of Garibaldi?,France; Peru; Riograndense Republic; Kingdom of Italy; Kingdom of Sardinia
the paucity of the English female singers — Miss Stephens and.,Miss Stephens,person,(Q5052928),country of citizenship,What is the country of citizenship of Miss Stephens?,Kingdom of Great Britain; United Kingdom of Great Britain and Ireland
"For further particulars apply to Mr. H. Keeton, “Registered for transmission abroad.",Mr. H. Keeton,person,(Q1438256),country of citizenship,What is the country of citizenship of Mr. H. Keeton?,United Kingdom of Great Britain and Ireland
"They are all tinctured with a certain degree of elegance and expressiveness, particularly these by Mr. Clifton, Mr. Crouch, Mr. Eavestaff, and Mr. Banister.",Mr. Clifton,person,(Q6224338),country of citizenship,What is the country of citizenship of Mr. Clifton?,Kingdom of Great Britain; United Kingdom of Great Britain and Ireland
"Since Barbaja seceded from the theatre, San Carlo has thrice been in danger of being burnt down.",Barbaja,person,(Q908235),country of citizenship,What is the country of citizenship of Barbaja?,
"Variations, and an Introductory Prelude on some Passages from: the Incantation Scene, by N.C. Bochsa 4.",N.C. Bochsa,person,(Q251397),country of citizenship,What is the country of citizenship of N.C. Bochsa?,France
"Signor Sabastiani, first clarinet at the theatre St. Carlo at Naples, is arrived in Paris.",Signor Sabastiani,person,(Q109802688),country of citizenship,What is the country of citizenship of Signor Sabastiani?,Kingdom of Naples
"The predominant feature of Spohr’s music is a voluptuous monotony — a luxury indeed, but a vicious one.",Spohr,person,(Q57226),country of citizenship,What is the country of citizenship of Spohr?,Duchy of Brunswick
"but, after all, why not have given a symphony or overture of Haydn or Mozart?",Haydn,person,(Q7349),country of citizenship,What is the country of citizenship of Haydn?,Holy Roman Empire
"but, after all, why not have given a symphony or overture of Haydn or Mozart?",Mozart,person,(Q254),country of citizenship,What is the country of citizenship of Mozart?,Prince-Archbishopric of Salzburg
"M. Spohr has produced at Cassel a new opera, named, Pietra @ Albano.",M. Spohr,person,(Q57226),country of citizenship,What is the country of citizenship of M. Spohr?,Duchy of Brunswick
"The music consisted of a selection from The Seasons of Haydn, and the whole of Beethoven’s Mount of Olives.",Haydn,person,(Q7349),country of citizenship,What is the country of citizenship of Haydn?,Holy Roman Empire
"The music consisted of a selection from The Seasons of Haydn, and the whole of Beethoven’s Mount of Olives.",Beethoven,person,(Q255),country of citizenship,What is the country of citizenship of Beethoven?,Austrian Empire; Electorate of Cologne
Adelina Patti — for that will continue to be her professional.,Adelina Patti,person,(Q234166),country of citizenship,What is the country of citizenship of Adelina Patti?,Spain; Kingdom of Italy
"These two operas, and also two odes to Anacreon set to the Greek text, are the only fruits of our author's pen in the year 1799.",Anacreon,person,(Q213484),country of citizenship,What is the country of citizenship of Anacreon?,
"Grazioli (who must not be confounded with the composer of the same name, who died at Venice in 1820). has published several operas and some sacred music.",Grazioli,person,(Q1525873),country of citizenship,What is the country of citizenship of Grazioli?,Republic of Venice
M. Bochsa takes some trouble to present new compositions to the public; but he does not exercise much judgment'in the selection of them.,M. Bochsa,person,(Q251397),country of citizenship,What is the country of citizenship of M. Bochsa?,France
"This Edition has been revised, and Passages for the additional Keys arranged for Piano Fortes up to C, by Mr. Moscheles.",Mr. Moscheles,person,(Q159551),country of citizenship,What is the country of citizenship of Mr. Moscheles?,Holy Roman Empire; Austrian Empire; Habsburg monarchy
The exquisite drollery of Levassor and John Parry were highly relished.,John Parry,person,(Q3399352),country of citizenship,What is the country of citizenship of John Parry?,Kingdom of Great Britain; United Kingdom of Great Britain and Ireland
"The reception of the work was most enthusiastic, Dr. Bridge receiving quite an ovation at the close of the Oratorio.",Dr. Bridge,person,(Q5497415),country of citizenship,What is the country of citizenship of Dr. Bridge?,United Kingdom of Great Britain and Ireland
"The Societa Filodramatica is about to produce Bellini’s opera, I Montecchi e Capuleti.",Bellini,person,(Q170209),country of citizenship,What is the country of citizenship of Bellini?,Kingdom of Sicily (1734-1816)
"we are moved only by admiration of the talents of Madame Pasta or Mademoiselle Sontag, displayed in executing the innumerable flights, arpeggios, and cadenzas which are allotted to them.",Madame Pasta,person,(Q240963),country of citizenship,What is the country of citizenship of Madame Pasta?,Kingdom of Italy; Kingdom of Lombardy–Venetia; Cisalpine Republic; Kingdom of Italy; Italian Republic
"we are moved only by admiration of the talents of Madame Pasta or Mademoiselle Sontag, displayed in executing the innumerable flights, arpeggios, and cadenzas which are allotted to them.",Mademoiselle Sontag,person,(Q64098),country of citizenship,What is the country of citizenship of Mademoiselle Sontag?,Kingdom of Prussia
"Ramsay was an acute observer of the character and manners of the Scottish peasantry, and has produced many pleasing and humorous sketches of the habits and sentiments peculiar to that race.",Ramsay,person,(Q654775),country of citizenship,What is the country of citizenship of Ramsay?,Scotland
"To Mr. Willert Beale, the founder of these meetings, 8.",Mr. Willert Beale,person,(Q7795125),country of citizenship,What is the country of citizenship of Mr. Willert Beale?,United Kingdom of Great Britain and Ireland
", ee OF the principles adopted by Handel in his employment of such phrases, 1 hope I have given a clear and sufficient demonstration in my last letter.",Handel,person,(Q7302),country of citizenship,What is the country of citizenship of Handel?,Holy Roman Empire; Brandenburg-Prussia; Kingdom of Great Britain
"Franz Liszt played this piece once with such mighty power and passion, such eloquence and truth, as I never heard before, probably never shall hear again.",Franz Liszt,person,(Q41309),country of citizenship,What is the country of citizenship of Franz Liszt?,Austria-Hungary; Austrian Empire; Kingdom of Hungary
"3- SEVEN VOCAL DUETS, by Bellini, S. Glover, Macfarren, Donizetti, & c..",Bellini,person,(Q170209),country of citizenship,What is the country of citizenship of Bellini?,Kingdom of Sicily (1734-1816)
"3- SEVEN VOCAL DUETS, by Bellini, S. Glover, Macfarren, Donizetti, & c..",Macfarren,person,(Q1374708),country of citizenship,What is the country of citizenship of Macfarren?,United Kingdom of Great Britain and Ireland
"3- SEVEN VOCAL DUETS, by Bellini, S. Glover, Macfarren, Donizetti, & c..",Donizetti,person,(Q101698),country of citizenship,What is the country of citizenship of Donizetti?,Kingdom of Lombardy–Venetia
", Mr. Joseph Skeaf, the president, occupied the chair, Mr. William Laidlaw and Mr. T. Armstrong vicechairmen.",Mr. William Laidlaw,person,(Q8014247),country of citizenship,What is the country of citizenship of Mr. William Laidlaw?,
"In 1760 he sent him to Paris, and he there took lessons of Capron, and at the same time studied composition under Gossec.",Capron,person,(Q120697),country of citizenship,What is the country of citizenship of Capron?,France
"In 1760 he sent him to Paris, and he there took lessons of Capron, and at the same time studied composition under Gossec.",Gossec,person,(Q313667),country of citizenship,What is the country of citizenship of Gossec?,France
"The church of Santa Maria Maggiore, the third in rank, had as chapel master the Maestro del Fante, who has now been dead some years.",Maestro del Fante,person,(Q18416097),country of citizenship,What is the country of citizenship of Maestro del Fante?,
"The vocalists were the Misses C. Novello, Rainforth, and Mrs. Alfred Shaw; Messrs. Braham, Phillips, Bennett, Walton, and J. Isherwood.",C. Novello,person,(Q4322567),country of citizenship,What is the country of citizenship of C. Novello?,United Kingdom of Great Britain and Ireland
"The vocalists were the Misses C. Novello, Rainforth, and Mrs. Alfred Shaw; Messrs. Braham, Phillips, Bennett, Walton, and J. Isherwood.",Rainforth,person,(Q17355767),country of citizenship,What is the country of citizenship of Rainforth?,
"The vocalists were the Misses C. Novello, Rainforth, and Mrs. Alfred Shaw; Messrs. Braham, Phillips, Bennett, Walton, and J. Isherwood.",Alfred Shaw,person,(Q3291051),country of citizenship,What is the country of citizenship of Alfred Shaw?,United Kingdom of Great Britain and Ireland
"The vocalists were the Misses C. Novello, Rainforth, and Mrs. Alfred Shaw; Messrs. Braham, Phillips, Bennett, Walton, and J. Isherwood.",Braham,person,(Q1699393),country of citizenship,What is the country of citizenship of Braham?,United Kingdom of Great Britain and Ireland
"The vocalists were the Misses C. Novello, Rainforth, and Mrs. Alfred Shaw; Messrs. Braham, Phillips, Bennett, Walton, and J. Isherwood.",Bennett,person,(Q201164),country of citizenship,What is the country of citizenship of Bennett?,United Kingdom of Great Britain and Ireland
"Francoeur was born at Paris, in 1698, and is mentioned as having belonged.",Francoeur,person,(Q1396905),country of citizenship,What is the country of citizenship of Francoeur?,France
"Now let our readers take the finale of any opera by Mozart, of the Fidelio by Beethoven, and compare it side by side with the finale by Wagner.",Mozart,person,(Q254),country of citizenship,What is the country of citizenship of Mozart?,Prince-Archbishopric of Salzburg
