sentence,span,type,uri,relation,question,gold familyName
", Arthur Sullivan, Mus. D., Cantab., the Conductor, and the Principal — Eaton Faning.",Eaton Faning,person,(Q5331349),family name,What is the family name of Eaton Faning?,Q112861609
"‘Carron side,” an opera by Signor Liverati, was produced with success.",Signor Liverati,person,(Q3767573),family name,What is the family name of Signor Liverati?,
For ten years Jarnowick was in great favour with the public.,Jarnowick,person,(Q1526160),family name,What is the family name of Jarnowick?,Giornovichi
"Mr. Kalkbrenner’s inelange displays great taste, both in the selection and treatment. of his subjects.",Mr. Kalkbrenner,person,(Q170270),family name,What is the family name of Mr. Kalkbrenner?,Kalkbrenner
"“Qui est Rex Gloriosus,” Canon four in two, composed and dedicated to Thomas Attwood, Esq.",Thomas Attwood,person,(Q2422110),family name,What is the family name of Thomas Attwood?,Attwood
"There are few persons in this country, we apprehend, who are not now aware of the splendid donation made by the late Viscount Fitzwilliam to the University of Cambridge.",Viscount Fitzwilliam,person,(Q7325692),family name,What is the family name of Viscount Fitzwilliam?,FitzWilliam
The vocal music was scarcely so good as usual — with the exception of the scena of Miss Rainforth.,Miss Rainforth,person,(Q17355767),family name,What is the family name of Miss Rainforth?,Rainforth
"We can not speak too highly of the manner in which this magnificent burst of grandeur was rendered, by Mr. Sterndale Bennett and his able assistants,",Mr. Sterndale Bennett,person,(Q201164),family name,What is the family name of Mr. Sterndale Bennett?,Bennett
"passage, taken up by the other parts as a round, like Rossini’s",Rossini,person,(Q9726),family name,What is the family name of Rossini?,Rossini
"G. Benson, Ettore Fiori, Manuel Garcia, P. Goldberg, A. Randegger, T. A. Wallworth, and the Principal.",Ettore Fiori,person,(Q55912552),family name,What is the family name of Ettore Fiori?,Fiori
"G. Benson, Ettore Fiori, Manuel Garcia, P. Goldberg, A. Randegger, T. A. Wallworth, and the Principal.",Manuel Garcia,person,(Q333183),family name,What is the family name of Manuel Garcia?,Rodriguez
"G. Benson, Ettore Fiori, Manuel Garcia, P. Goldberg, A. Randegger, T. A. Wallworth, and the Principal.",A. Randegger,person,(Q4712167),family name,What is the family name of A. Randegger?,Randegger
"Thornhill drew ail their portraits in pencil, and Prior wrote humorous verses under each.",Thornhill,person,(Q1681192),family name,What is the family name of Thornhill?,Thornhill
the programme consisted entirely of a selection from*the works of the late Sir Sterndale Bennett.,Sir Sterndale Bennett,person,(Q201164),family name,What is the family name of Sir Sterndale Bennett?,Bennett
"The artists engaged were the Misses Agnes Drummond, Josephine Pulham, Marian Haigh, Florence Wydford, and Messrs. Henry Guy, Theodore Distin, E. Stone, and Thurley Beale.",Theodore Distin,person,(Q76098551),family name,What is the family name of Theodore Distin?,Distin
"Mrs. Shaw sang the next piece, No. 17, with more grace and power of vocalization than she had displayed during her visit.",Mrs. Shaw,person,(Q3291051),family name,What is the family name of Mrs. Shaw?,Shaw
"“Lives of the Professors of Gresham College” is a list of musical works in manuscript of Dr. J. Bull, in possession of Dr. Pepusch",Dr. J. Bull,person,(Q511463),family name,What is the family name of Dr. J. Bull?,Bull
"“Lives of the Professors of Gresham College” is a list of musical works in manuscript of Dr. J. Bull, in possession of Dr. Pepusch",Dr. Pepusch,person,(Q371825),family name,What is the family name of Dr. Pepusch?,Pepusch
He also performed two of Mendelssohn’s,Mendelssohn,person,(Q46096),family name,What is the family name of Mendelssohn?,Mendelssohn; Bartholdy
"Air Suisse, with an Introduction and Variations for the Piano Forte, composed by H. Herz.",H. Herz,person,(Q572547),family name,What is the family name of H. Herz?,Hertz
"Dr. Anslem Bayly, Sub - Dean of this Majesty’s Chapels Royal.",Dr. Anslem Bayly,person,(Q4770596),family name,What is the family name of Dr. Anslem Bayly?,Bayly
"Charles Phillippe Lafont, a very distinguished violinist, began to learn the violin with his mother, who was the sister of Berthaume, when yet very young.",Charles Phillippe Lafont,person,(Q517502),family name,What is the family name of Charles Phillippe Lafont?,Lafont
"Among the pieces were Beethoven’s grand symphony in bp, and the overtures to Don Juan and Reissiger’s Felsenmithle, all of which were exquisitely played.",Beethoven,person,(Q255),family name,What is the family name of Beethoven?,van Beethoven
"Among the pieces were Beethoven’s grand symphony in bp, and the overtures to Don Juan and Reissiger’s Felsenmithle, all of which were exquisitely played.",Reissiger,person,(Q213894),family name,What is the family name of Reissiger?,Reissiger
"Venice, besides the advantage of having orators destined to educate the singers, had Gasparini and Lotti as directors of the schools..",Gasparini,person,(Q446955),family name,What is the family name of Gasparini?,Gasparini
"Venice, besides the advantage of having orators destined to educate the singers, had Gasparini and Lotti as directors of the schools..",Lotti,person,(Q168345),family name,What is the family name of Lotti?,Lotti
Handel’s habit of borrowing from himself is well known.,Handel,person,(Q7302),family name,What is the family name of Handel?,Händel; Handel
the bride recently went through a similar ceremony as Giultetta in Gounod’s opera.,Gounod,person,(Q180278),family name,What is the family name of Gounod?,Gounod
"the subject of the Air from a French Melody, composed by Pio Glanchettini.",Pio Glanchettini,person,(Q18819786),family name,What is the family name of Pio Glanchettini?,Cianchettini
"But in the “Studii of Palestrina,” -a manvscript, procured at Rome by Dr. Burney, containing chants by the great composers of his time, are some, by.",Dr. Burney,person,(Q547002),family name,What is the family name of Dr. Burney?,Burney
"It is in this point of view that we ought to regard the revolution effected by Rossini in the music of Naples, as well as: its novel results.",Rossini,person,(Q9726),family name,What is the family name of Rossini?,Rossini
Mr. Kalkbrenner’s concerto was the only piece in the last bill of any importance.,Mr. Kalkbrenner,person,(Q170270),family name,What is the family name of Mr. Kalkbrenner?,Kalkbrenner
"w ho were accustomed to meet there frequently, such as Pagin, Gavinies, Pugnani, Gi- ardini, Van Malder, Dominico Ferrari, & c.",Pagin,person,(Q516496),family name,What is the family name of Pagin?,Pagin
"w ho were accustomed to meet there frequently, such as Pagin, Gavinies, Pugnani, Gi- ardini, Van Malder, Dominico Ferrari, & c.",Gavinies,person,(Q490205),family name,What is the family name of Gavinies?,
"w ho were accustomed to meet there frequently, such as Pagin, Gavinies, Pugnani, Gi- ardini, Van Malder, Dominico Ferrari, & c.",Pugnani,person,(Q560926),family name,What is the family name of Pugnani?,Pugnani
"w ho were accustomed to meet there frequently, such as Pagin, Gavinies, Pugnani, Gi- ardini, Van Malder, Dominico Ferrari, & c.",Van Malder,person,(Q509130),family name,What is the family name of Van Malder?,
"w ho were accustomed to meet there frequently, such as Pagin, Gavinies, Pugnani, Gi- ardini, Van Malder, Dominico Ferrari, & c.",Dominico Ferrari,person,(Q1237139),family name,What is the family name of Dominico Ferrari?,Ferrari
"I am marvellously curious to see the violin quartet written by Rossini for Ricordi, the music - dealer, of Milan.",Rossini,person,(Q9726),family name,What is the family name of Rossini?,Rossini
"I am marvellously curious to see the violin quartet written by Rossini for Ricordi, the music - dealer, of Milan.",Ricordi,person,(Q1046463),family name,What is the family name of Ricordi?,
Upon the coffin was ‘the following inscription:: CAROLUS MARTA FREYHERR VON WEBER.,CAROLUS MARTA FREYHERR VON WEBER .,person,(Q154812),family name,What is the family name of CAROLUS MARTA FREYHERR VON WEBER .?,Weber
"One of the principal pieces in Hippolyte et Arcie, is the trio of the Fates, one of the most beautiful compositions of Rameau.",Rameau,person,(Q1145),family name,What is the family name of Rameau?,Rameau
"When Garibaldi raised the standard of revolt at Marsala, a number of volunteers.",Garibaldi,person,(Q539),family name,What is the family name of Garibaldi?,Garibaldi
the paucity of the English female singers — Miss Stephens and.,Miss Stephens,person,(Q5052928),family name,What is the family name of Miss Stephens?,Stephens
"For further particulars apply to Mr. H. Keeton, “Registered for transmission abroad.",Mr. H. Keeton,person,(Q1438256),family name,What is the family name of Mr. H. Keeton?,
"They are all tinctured with a certain degree of elegance and expressiveness, particularly these by Mr. Clifton, Mr. Crouch, Mr. Eavestaff, and Mr. Banister.",Mr. Clifton,person,(Q6224338),family name,What is the family name of Mr. Clifton?,
"Since Barbaja seceded from the theatre, San Carlo has thrice been in danger of being burnt down.",Barbaja,person,(Q908235),family name,What is the family name of Barbaja?,Barbaja
"Variations, and an Introductory Prelude on some Passages from: the Incantation Scene, by N.C. Bochsa 4.",N.C. Bochsa,person,(Q251397),family name,What is the family name of N.C. Bochsa?,Bochsa
"Signor Sabastiani, first clarinet at the theatre St. Carlo at Naples, is arrived in Paris.",Signor Sabastiani,person,(Q109802688),family name,What is the family name of Signor Sabastiani?,Sebastiani
"The predominant feature of Spohr’s music is a voluptuous monotony — a luxury indeed, but a vicious one.",Spohr,person,(Q57226),family name,What is the family name of Spohr?,Spohr
"but, after all, why not have given a symphony or overture of Haydn or Mozart?",Haydn,person,(Q7349),family name,What is the family name of Haydn?,Q16276486
"but, after all, why not have given a symphony or overture of Haydn or Mozart?",Mozart,person,(Q254),family name,What is the family name of Mozart?,Mozart
"M. Spohr has produced at Cassel a new opera, named, Pietra @ Albano.",M. Spohr,person,(Q57226),family name,What is the family name of M. Spohr?,Spohr
"The music consisted of a selection from The Seasons of Haydn, and the whole of Beethoven’s Mount of Olives.",Haydn,person,(Q7349),family name,What is the family name of Haydn?,Q16276486
"The music consisted of a selection from The Seasons of Haydn, and the whole of Beethoven’s Mount of Olives.",Beethoven,person,(Q255),family name,What is the family name of Beethoven?,van Beethoven
Adelina Patti — for that will continue to be her professional.,Adelina Patti,person,(Q234166),family name,What is the family name of Adelina Patti?,Patti
"These two operas, and also two odes to Anacreon set to the Greek text, are the only fruits of our author's pen in the year 1799.",Anacreon,person,(Q213484),family name,What is the family name of Anacreon?,
"Grazioli (who must not be confounded with the composer of the same name, who died at Venice in 1820). has published several operas and some sacred music.",Grazioli,person,(Q1525873),family name,What is the family name of Grazioli?,Grazioli
M. Bochsa takes some trouble to present new compositions to the public; but he does not exercise much judgment'in the selection of them.,M. Bochsa,person,(Q251397),family name,What is the family name of M. Bochsa?,Bochsa
"This Edition has been revised, and Passages for the additional Keys arranged for Piano Fortes up to C, by Mr. Moscheles.",Mr. Moscheles,person,(Q159551),family name,What is the family name of Mr. Moscheles?,Moscheles
The exquisite drollery of Levassor and John Parry were highly relished.,John Parry,person,(Q3399352),family name,What is the family name of John Parry?,Parry
"The reception of the work was most enthusiastic, Dr. Bridge receiving quite an ovation at the close of the Oratorio.",Dr. Bridge,person,(Q5497415),family name,What is the family name of Dr. Bridge?,Bridge
"The Societa Filodramatica is about to produce Bellini’s opera, I Montecchi e Capuleti.",Bellini,person,(Q170209),family name,What is the family name of Bellini?,Bellini
"we are moved only by admiration of the talents of Madame Pasta or Mademoiselle Sontag, displayed in executing the innumerable flights, arpeggios, and cadenzas which are allotted to them.",Madame Pasta,person,(Q240963),family name,What is the family name of Madame Pasta?,Pasta
"we are moved only by admiration of the talents of Madame Pasta or Mademoiselle Sontag, displayed in executing the innumerable flights, arpeggios, and cadenzas which are allotted to them.",Mademoiselle Sontag,person,(Q64098),family name,What is the family name of Mademoiselle Sontag?,Sontag
"Ramsay was an acute observer of the character and manners of the Scottish peasantry, and has produced many pleasing and humorous sketches of the habits and sentiments peculiar to that race.",Ramsay,person,(Q654775),family name,What is the family name of Ramsay?,Ramsay
"To Mr. Willert Beale, the founder of these meetings, 8.",Mr. Willert Beale,person,(Q7795125),family name,What is the family name of Mr. Willert Beale?,Beale
", ee OF the principles adopted by Handel in his employment of such phrases, 1 hope I have given a clear and sufficient demonstration in my last letter.",Handel,person,(Q7302),family name,What is the family name of Handel?,Händel; Handel
"Franz Liszt played this piece once with such mighty power and passion, such eloquence and truth, as I never heard before, probably never shall hear again.",Franz Liszt,person,(Q41309),family name,What is the family name of Franz Liszt?,Liszt
"3- SEVEN VOCAL DUETS, by Bellini, S. Glover, Macfarren, Donizetti, & c..",Bellini,person,(Q170209),family name,What is the family name of Bellini?,Bellini
"3- SEVEN VOCAL DUETS, by Bellini, S. Glover, Macfarren, Donizetti, & c..",Macfarren,person,(Q1374708),family name,What is the family name of Macfarren?,Macfarren
"3- SEVEN VOCAL DUETS, by Bellini, S. Glover, Macfarren, Donizetti, & c..",Donizetti,person,(Q101698),family name,What is the family name of Donizetti?,Donizetti
", Mr. Joseph Skeaf, the president, occupied the chair, Mr. William Laidlaw and Mr. T. Armstrong vicechairmen.",Mr. William Laidlaw,person,(Q8014247),family name,What is the family name of Mr. William Laidlaw?,Laidlaw
"In 1760 he sent him to Paris, and he there took lessons of Capron, and at the same time studied composition under Gossec.",Capron,person,(Q120697),family name,What is the family name of Capron?,Capron
"In 1760 he sent him to Paris, and he there took lessons of Capron, and at the same time studied composition under Gossec.",Gossec,person,(Q313667),family name,What is the family name of Gossec?,
"The church of Santa Maria Maggiore, the third in rank, had as chapel master the Maestro del Fante, who has now been dead some years.",Maestro del Fante,person,(Q18416097),family name,What is the family name of Maestro del Fante?,
"The vocalists were the Misses C. Novello, Rainforth, and Mrs. Alfred Shaw; Messrs. Braham, Phillips, Bennett, Walton, and J. Isherwood.",C. Novello,person,(Q4322567),family name,What is the family name of C. Novello?,Novello
"The vocalists were the Misses C. Novello, Rainforth, and Mrs. Alfred Shaw; Messrs. Braham, Phillips, Bennett, Walton, and J. Isherwood.",Rainforth,person,(Q17355767),family name,What is the family name of Rainforth?,Rainforth
"The vocalists were the Misses C. Novello, Rainforth, and Mrs. Alfred Shaw; Messrs. Braham, Phillips, Bennett, Walton, and J. Isherwood.",Alfred Shaw,person,(Q3291051),family name,What is the family name of Alfred Shaw?,Shaw
"The vocalists were the Misses C. Novello, Rainforth, and Mrs. Alfred Shaw; Messrs. Braham, Phillips, Bennett, Walton, and J. Isherwood.",Braham,person,(Q1699393),family name,What is the family name of Braham?,Braham
"The vocalists were the Misses C. Novello, Rainforth, and Mrs. Alfred Shaw; Messrs. Braham, Phillips, Bennett, Walton, and J. Isherwood.",Bennett,person,(Q201164),family name,What is the family name of Bennett?,Bennett
"Francoeur was born at Paris, in 1698, and is mentioned as having belonged.",Francoeur,person,(Q1396905),family name,What is the family name of Francoeur?,Francœur
"Now let our readers take the finale of any opera by Mozart, of the Fidelio by Beethoven, and compare it side by side with the finale by Wagner.",Mozart,person,(Q254),family name,What is the family name of Mozart?,Mozart
"Now let our readers take the finale of any opera by Mozart, of the Fidelio by Beethoven, and compare it side by side with the finale by Wagner.",Beethoven,person,(Q255),family name,What is the family name of Beethoven?,van Beethoven
"Now let our readers take the finale of any opera by Mozart, of the Fidelio by Beethoven, and compare it side by side with the finale by Wagner.",Wagner,person,(Q1511),family name,What is the family name of Wagner?,Wagner
"Cherubini never heard, any of the works Cherubini composed for Paris sung to his own pliant, beautiful and harmonious language.",Cherubini,person,(Q20721),family name,What is the family name of Cherubini?,Q37104786
"Cherubini never heard, any of the works Cherubini composed for Paris sung to his own pliant, beautiful and harmonious language.",Cherubini,person,(Q20721),family name,What is the family name of Cherubini?,Q37104786
"Jean Pierre Guignon was born at Turin, in 1702; but as he came to France whilst very young, and established himself there, we shall consider him as a French violinist.",Jean Pierre Guignon,person,(Q337573),family name,What is the family name of Jean Pierre Guignon?,Guignon
"This, I understand, was the method pursued by _ M. Chelard, the. maestro at the German opera last season at the King’s Theatre.",M. Chelard,person,(Q924686),family name,What is the family name of M. Chelard?,Chélard
De Begnis still occupies a place in the King’s Theatre.,De Begnis,person,(Q3770409),family name,What is the family name of De Begnis?,
"WE regret to have to announce the sudden death, from heart disease, of Dr. H. J. Gauntlett, on the a2ist ult.",Dr. H. J. Gauntlett,person,(Q11925412),family name,What is the family name of Dr. H. J. Gauntlett?,Gauntlett
"Duet, ‘The streams that wind amid the hills,’ the Poetry by G. Darley, Esq.; the Music composed by Fanny Steers.",G. Darley,person,(Q1450149),family name,What is the family name of G. Darley?,Q37089477
"Duet, ‘The streams that wind amid the hills,’ the Poetry by G. Darley, Esq.; the Music composed by Fanny Steers.",Fanny Steers,person,(Q104234927),family name,What is the family name of Fanny Steers?,Steers
What has Mozart's portrait to do in the Memuirs of Rossini?,Mozart,person,(Q254),family name,What is the family name of Mozart?,Mozart
"But we will not praise Miss Rainforth over much, lest she, too, should become spoiled —",Miss Rainforth,person,(Q17355767),family name,What is the family name of Miss Rainforth?,Rainforth
", Paer’s beautiful little duet, is better in its original form, than in that which is now given to it.",Paer,person,(Q533022),family name,What is the family name of Paer?,Paër
"Of Handel's efforts in oratorio we had also a full account; those gigantic. works, written after he had passed his fifty - third year.",Handel,person,(Q7302),family name,What is the family name of Handel?,Händel; Handel
"Lord Bacon, Addison, Dr. Brown, Dugald Stewart, and many others,. are often betrayed into unconscious absurdities respecting musical effects by their ignorance of the science.",Lord Bacon,person,(Q37388),family name,What is the family name of Lord Bacon?,Bacon
"Lord Bacon, Addison, Dr. Brown, Dugald Stewart, and many others,. are often betrayed into unconscious absurdities respecting musical effects by their ignorance of the science.",Addison,person,(Q206384),family name,What is the family name of Addison?,Addison
"Lord Bacon, Addison, Dr. Brown, Dugald Stewart, and many others,. are often betrayed into unconscious absurdities respecting musical effects by their ignorance of the science.",Dugald Stewart,person,(Q218254),family name,What is the family name of Dugald Stewart?,Stewart
"Sir W. Jones, in his Catalogue of Manuscripts, deposited in the library of the Royal Society, gives us the names of some treatises in the Hindustanee language, which of course have never been translated..",Sir W. Jones,person,(Q273969),family name,What is the family name of Sir W. Jones?,Jones
"This amusement seems to have had a great attraction for Mendelssohn, who often entered into the - fun of it with characteristic zest.",Mendelssohn,person,(Q46096),family name,What is the family name of Mendelssohn?,Mendelssohn; Bartholdy
"He quitted Parma, and returned to Tartini, with whom he studied ull the year 1769.",Tartini,person,(Q108555),family name,What is the family name of Tartini?,Tartini
"Melange for the Piano Forte, from “Il Crociato in Egitto,” by Frederick Kalkbrenner.",Frederick Kalkbrenner,person,(Q170270),family name,What is the family name of Frederick Kalkbrenner?,Kalkbrenner
", Mrs. Mounsey Bartholomew, J. Barnby, H. Smart, G. A. Macfarren, Brinley Richard, H. S. Irons, Charles Salaman, Alberto Randegger, ].",Mrs. Mounsey Bartholomew,person,(Q4766585),family name,What is the family name of Mrs. Mounsey Bartholomew?,Mounsey
", Mrs. Mounsey Bartholomew, J. Barnby, H. Smart, G. A. Macfarren, Brinley Richard, H. S. Irons, Charles Salaman, Alberto Randegger, ].",H. Smart,person,(Q466189),family name,What is the family name of H. Smart?,Smart
