sentence,span,type,uri,relation,question,gold DoB
"The artists engaged were the Misses Agnes Drummond, Josephine Pulham, Marian Haigh, Florence Wydford, and Messrs. Henry Guy, Theodore Distin, E. Stone, and Thurley Beale.",Agnes Drummond,person,(NIL),date of birth,What is the date of birth of Agnes Drummond?,
"The artists engaged were the Misses Agnes Drummond, Josephine Pulham, Marian Haigh, Florence Wydford, and Messrs. Henry Guy, Theodore Distin, E. Stone, and Thurley Beale.",Josephine Pulham,person,(NIL),date of birth,What is the date of birth of Josephine Pulham?,
"The artists engaged were the Misses Agnes Drummond, Josephine Pulham, Marian Haigh, Florence Wydford, and Messrs. Henry Guy, Theodore Distin, E. Stone, and Thurley Beale.",Marian Haigh,person,(NIL),date of birth,What is the date of birth of Marian Haigh?,
"The artists engaged were the Misses Agnes Drummond, Josephine Pulham, Marian Haigh, Florence Wydford, and Messrs. Henry Guy, Theodore Distin, E. Stone, and Thurley Beale.",Florence Wydford,person,(NIL),date of birth,What is the date of birth of Florence Wydford?,
"The artists engaged were the Misses Agnes Drummond, Josephine Pulham, Marian Haigh, Florence Wydford, and Messrs. Henry Guy, Theodore Distin, E. Stone, and Thurley Beale.",Henry Guy,person,(NIL),date of birth,What is the date of birth of Henry Guy?,
"The artists engaged were the Misses Agnes Drummond, Josephine Pulham, Marian Haigh, Florence Wydford, and Messrs. Henry Guy, Theodore Distin, E. Stone, and Thurley Beale.",E. Stone,person,(NIL),date of birth,What is the date of birth of E. Stone?,
"The artists engaged were the Misses Agnes Drummond, Josephine Pulham, Marian Haigh, Florence Wydford, and Messrs. Henry Guy, Theodore Distin, E. Stone, and Thurley Beale.",Thurley Beale,person,(NIL),date of birth,What is the date of birth of Thurley Beale?,
"Mr. Wiitson. — Owing to a severe domestic affliction, (the death of a son)",Mr. Wiitson,person,(NIL),date of birth,What is the date of birth of Mr. Wiitson?,
"Charles Phillippe Lafont, a very distinguished violinist, began to learn the violin with his mother, who was the sister of Berthaume, when yet very young.",Berthaume,person,(NIL),date of birth,What is the date of birth of Berthaume?,
"R. Smith lectured at the Athenzum on Thursday evening, the roth ult.",R. Smith,person,(NIL),date of birth,What is the date of birth of R. Smith?,
"The Enthusiast, a Song, written and composed by F.W. Horn- castle.",F.W. Horn- castle,person,(NIL),date of birth,What is the date of birth of F.W. Horn- castle?,
"When Fenzi is absent, Guida is considered as the best.",Fenzi,person,(NIL),date of birth,What is the date of birth of Fenzi?,
"When Fenzi is absent, Guida is considered as the best.",Guida,person,(NIL),date of birth,What is the date of birth of Guida?,
"From what we know of Mr. Forde’s general abilities, we should think him far more fit for the task than any else one who has undertaken it;",Forde,person,(NIL),date of birth,What is the date of birth of Forde?,
"w ho were accustomed to meet there frequently, such as Pagin, Gavinies, Pugnani, Gi- ardini, Van Malder, Dominico Ferrari, & c.",Gi- ardini,person,(NIL),date of birth,What is the date of birth of Gi- ardini?,
"Among the gentle‘men now contributing to Concordia, are: —: J. Barney.",J. Barney,person,(NIL),date of birth,What is the date of birth of J. Barney?,
"Highly commended — Annie Albu, Amy Aylward, Jessie Jones, Agnes Larkcom, and Marian Williams.",Annie Albu,person,(NIL),date of birth,What is the date of birth of Annie Albu?,
"Highly commended — Annie Albu, Amy Aylward, Jessie Jones, Agnes Larkcom, and Marian Williams.",Amy Aylward,person,(NIL),date of birth,What is the date of birth of Amy Aylward?,
"Highly commended — Annie Albu, Amy Aylward, Jessie Jones, Agnes Larkcom, and Marian Williams.",Jessie Jones,person,(NIL),date of birth,What is the date of birth of Jessie Jones?,
"Highly commended — Annie Albu, Amy Aylward, Jessie Jones, Agnes Larkcom, and Marian Williams.",Agnes Larkcom,person,(NIL),date of birth,What is the date of birth of Agnes Larkcom?,
"Highly commended — Annie Albu, Amy Aylward, Jessie Jones, Agnes Larkcom, and Marian Williams.",Marian Williams,person,(NIL),date of birth,What is the date of birth of Marian Williams?,
"They are all tinctured with a certain degree of elegance and expressiveness, particularly these by Mr. Clifton, Mr. Crouch, Mr. Eavestaff, and Mr. Banister.",Mr. Crouch,person,(NIL),date of birth,What is the date of birth of Mr. Crouch?,
"They are all tinctured with a certain degree of elegance and expressiveness, particularly these by Mr. Clifton, Mr. Crouch, Mr. Eavestaff, and Mr. Banister.",Mr. Eavestaff,person,(NIL),date of birth,What is the date of birth of Mr. Eavestaff?,
"They are all tinctured with a certain degree of elegance and expressiveness, particularly these by Mr. Clifton, Mr. Crouch, Mr. Eavestaff, and Mr. Banister.",Mr. Banister,person,(NIL),date of birth,What is the date of birth of Mr. Banister?,
"Rachel would proceed to London in the month of June, and play at the St. James’s Theatre.",Rachel,person,(NIL),date of birth,What is the date of birth of Rachel?,
"The boy was traced to Milan, but Mr. S. was deterred by the expence from prosecuting, and was compelled to sit down under.the loss of the. entire sum.",Mr. S.,person,(NIL),date of birth,What is the date of birth of Mr. S.?,
The exquisite drollery of Levassor and John Parry were highly relished.,Levassor,person,(NIL),date of birth,What is the date of birth of Levassor?,
"only that the name of the author had been misprinted Caffiat, instead of Caffiaux.",Caffiaux,person,(NIL),date of birth,What is the date of birth of Caffiaux?,
"Zahn was a native of Rotenbourg sur le Tauber, in Franconia.",Zahn,person,(NIL),date of birth,What is the date of birth of Zahn?,
"Dr. Barry, in acknowledging the gift, said that he regarded it as an expression of unity and co - operation between the members of the choir and himself, and thanked the Society for so kind a mark of appreciation of his services.",Dr. Barry,person,(NIL),date of birth,What is the date of birth of Dr. Barry?,
"3- SEVEN VOCAL DUETS, by Bellini, S. Glover, Macfarren, Donizetti, & c..",S. Glover,person,(NIL),date of birth,What is the date of birth of S. Glover?,
"Meantime, we Believe that we are correct in asserting that Dr. Sullivan has resigned his post as Musical Director.",Dr. Sullivan,person,(NIL),date of birth,What is the date of birth of Dr. Sullivan?,
", Mr. Joseph Skeaf, the president, occupied the chair, Mr. William Laidlaw and Mr. T. Armstrong vicechairmen.",Mr. Joseph Skeaf,person,(NIL),date of birth,What is the date of birth of Mr. Joseph Skeaf?,
", Mr. Joseph Skeaf, the president, occupied the chair, Mr. William Laidlaw and Mr. T. Armstrong vicechairmen.",Mr. T. Armstrong,person,(NIL),date of birth,What is the date of birth of Mr. T. Armstrong?,
"The vocalists were the Misses C. Novello, Rainforth, and Mrs. Alfred Shaw; Messrs. Braham, Phillips, Bennett, Walton, and J. Isherwood.",Phillips,person,(NIL),date of birth,What is the date of birth of Phillips?,
"The vocalists were the Misses C. Novello, Rainforth, and Mrs. Alfred Shaw; Messrs. Braham, Phillips, Bennett, Walton, and J. Isherwood.",Walton,person,(NIL),date of birth,What is the date of birth of Walton?,
"The vocalists were the Misses C. Novello, Rainforth, and Mrs. Alfred Shaw; Messrs. Braham, Phillips, Bennett, Walton, and J. Isherwood.",J. Isherwood,person,(NIL),date of birth,What is the date of birth of J. Isherwood?,
Tuts is the first new work by Mr. Griffin that has come under our view since we entered upon our critical office.,Mr. Griffin,person,(NIL),date of birth,What is the date of birth of Mr. Griffin?,
"Weisse, in 1788, was bassoonist of the Chapel Royal of Prussia, at Berlin.",Weisse,person,(NIL),date of birth,What is the date of birth of Weisse?,
"Miss Minnie Curtis was highly successful in the songs and other music allotted to her, and Miss Adeline Payel and Miss Kate Wild rendered great assistance, and were deservedly applauded.",Miss Minnie Curtis,person,(NIL),date of birth,What is the date of birth of Miss Minnie Curtis?,
"Miss Minnie Curtis was highly successful in the songs and other music allotted to her, and Miss Adeline Payel and Miss Kate Wild rendered great assistance, and were deservedly applauded.",Miss Adeline Payel,person,(NIL),date of birth,What is the date of birth of Miss Adeline Payel?,
"Miss Minnie Curtis was highly successful in the songs and other music allotted to her, and Miss Adeline Payel and Miss Kate Wild rendered great assistance, and were deservedly applauded.",Miss Kate Wild,person,(NIL),date of birth,What is the date of birth of Miss Kate Wild?,
"Annie Butterworth, Hannah Edouard, Marietta Phillips, Marie Duval, Mary Jane Williams.",Annie Butterworth,person,(NIL),date of birth,What is the date of birth of Annie Butterworth?,
"Annie Butterworth, Hannah Edouard, Marietta Phillips, Marie Duval, Mary Jane Williams.",Hannah Edouard,person,(NIL),date of birth,What is the date of birth of Hannah Edouard?,
"Annie Butterworth, Hannah Edouard, Marietta Phillips, Marie Duval, Mary Jane Williams.",Marietta Phillips,person,(NIL),date of birth,What is the date of birth of Marietta Phillips?,
"Annie Butterworth, Hannah Edouard, Marietta Phillips, Marie Duval, Mary Jane Williams.",Marie Duval,person,(NIL),date of birth,What is the date of birth of Marie Duval?,
"Annie Butterworth, Hannah Edouard, Marietta Phillips, Marie Duval, Mary Jane Williams.",Mary Jane Williams,person,(NIL),date of birth,What is the date of birth of Mary Jane Williams?,
"He was chosen ‘to teach his instrument to the Dauphin, the father. of Louis XIV.",Louis XIV,person,(NIL),date of birth,What is the date of birth of Louis XIV?,
"Beasley, Llewellyn Bagnall, Alice Mary Curtis, nia Sheehan, Johanna Ludovici, Beata Francis.",Beasley,person,(NIL),date of birth,What is the date of birth of Beasley?,
"Beasley, Llewellyn Bagnall, Alice Mary Curtis, nia Sheehan, Johanna Ludovici, Beata Francis.",Llewellyn Bagnall,person,(NIL),date of birth,What is the date of birth of Llewellyn Bagnall?,
"Beasley, Llewellyn Bagnall, Alice Mary Curtis, nia Sheehan, Johanna Ludovici, Beata Francis.",Alice Mary Curtis,person,(NIL),date of birth,What is the date of birth of Alice Mary Curtis?,
"Beasley, Llewellyn Bagnall, Alice Mary Curtis, nia Sheehan, Johanna Ludovici, Beata Francis.",nia Sheehan,person,(NIL),date of birth,What is the date of birth of nia Sheehan?,
"Beasley, Llewellyn Bagnall, Alice Mary Curtis, nia Sheehan, Johanna Ludovici, Beata Francis.",Johanna Ludovici,person,(NIL),date of birth,What is the date of birth of Johanna Ludovici?,
"Beasley, Llewellyn Bagnall, Alice Mary Curtis, nia Sheehan, Johanna Ludovici, Beata Francis.",Beata Francis,person,(NIL),date of birth,What is the date of birth of Beata Francis?,
"Lord Bacon, Addison, Dr. Brown, Dugald Stewart, and many others,. are often betrayed into unconscious absurdities respecting musical effects by their ignorance of the science.",Dr. Brown,person,(NIL),date of birth,What is the date of birth of Dr. Brown?,
"Mr. Weidner’s performance on the flute, as an executionist, is truly wonderful.",Mr. Weidner,person,(NIL),date of birth,What is the date of birth of Mr. Weidner?,
"This will be the eighth season of this Society, whick is under the conductorship of Mr. F. N. Lohr.",Mr. F. N. Lohr,person,(NIL),date of birth,What is the date of birth of Mr. F. N. Lohr?,
The reception accorded to Mr. Brooke and the Choir'was very hearty.,Mr. Brooke,person,(NIL),date of birth,What is the date of birth of Mr. Brooke?,
", Mrs. Mounsey Bartholomew, J. Barnby, H. Smart, G. A. Macfarren, Brinley Richard, H. S. Irons, Charles Salaman, Alberto Randegger, ].",J. Barnby,person,(NIL),date of birth,What is the date of birth of J. Barnby?,
", Mrs. Mounsey Bartholomew, J. Barnby, H. Smart, G. A. Macfarren, Brinley Richard, H. S. Irons, Charles Salaman, Alberto Randegger, ].",H. S. Irons,person,(NIL),date of birth,What is the date of birth of H. S. Irons?,
"Did not Mr. Hawes resist the Lord Chamberlain, in the case of Joseph and his Brethren?",Mr. Hawes,person,(NIL),date of birth,What is the date of birth of Mr. Hawes?,
", the fugitives got to Havre, where Sir Sidney was put on board an English vessel.",Sir Sidney,person,(NIL),date of birth,What is the date of birth of Sir Sidney?,
"Compiled by John Dobson, and for the most part revised ot rearranged by H. J. Gauntlett, Mus.",John Dobson,person,(NIL),date of birth,What is the date of birth of John Dobson?,
"Liverroot.—A complimentary concert was given by the members of the Societa Armonica on the 5th ult. to their conductor, Mr. Armstrong, and leader, Mr. Lawson.",Mr. Armstrong,person,(NIL),date of birth,What is the date of birth of Mr. Armstrong?,
"Liverroot.—A complimentary concert was given by the members of the Societa Armonica on the 5th ult. to their conductor, Mr. Armstrong, and leader, Mr. Lawson.",Mr. Lawson,person,(NIL),date of birth,What is the date of birth of Mr. Lawson?,
"A Word or Two on the Flute, by N. W. James. creececess 53 VIII.",N. W. James,person,(NIL),date of birth,What is the date of birth of N. W. James?,
"The soio vocalists were Mrs. Bridge, Miss Pocklington, Miss E. Taylor, Mrs. Littlehales, the Rev. G. C. Robinson, and Mr. Fieid, all of whom were highly successful.",Mrs. Bridge,person,(NIL),date of birth,What is the date of birth of Mrs. Bridge?,
"The soio vocalists were Mrs. Bridge, Miss Pocklington, Miss E. Taylor, Mrs. Littlehales, the Rev. G. C. Robinson, and Mr. Fieid, all of whom were highly successful.",Miss Pocklington,person,(NIL),date of birth,What is the date of birth of Miss Pocklington?,
"The soio vocalists were Mrs. Bridge, Miss Pocklington, Miss E. Taylor, Mrs. Littlehales, the Rev. G. C. Robinson, and Mr. Fieid, all of whom were highly successful.",Miss E. Taylor,person,(NIL),date of birth,What is the date of birth of Miss E. Taylor?,
"The soio vocalists were Mrs. Bridge, Miss Pocklington, Miss E. Taylor, Mrs. Littlehales, the Rev. G. C. Robinson, and Mr. Fieid, all of whom were highly successful.",Mrs. Littlehales,person,(NIL),date of birth,What is the date of birth of Mrs. Littlehales?,
"The soio vocalists were Mrs. Bridge, Miss Pocklington, Miss E. Taylor, Mrs. Littlehales, the Rev. G. C. Robinson, and Mr. Fieid, all of whom were highly successful.",Rev. G. C. Robinson,person,(NIL),date of birth,What is the date of birth of Rev. G. C. Robinson?,
"The soio vocalists were Mrs. Bridge, Miss Pocklington, Miss E. Taylor, Mrs. Littlehales, the Rev. G. C. Robinson, and Mr. Fieid, all of whom were highly successful.",Mr. Fieid,person,(NIL),date of birth,What is the date of birth of Mr. Fieid?,
"Ferri, Matteucci, and Guadagni, were knighted; Farinelli was presented with the cross of Calatrava, in Spain, where, under his direction and management were revived, in theatrical spectacles, all the magnificence and good taste of ancient Athens.",Matteucci,person,(NIL),date of birth,What is the date of birth of Matteucci?,
"The season began with Madame Caradori and Mademoiselle Brambilla as principals, Signors Curioni, Pellegrini, and Porto. - Mr. A. Sapio also _ appeared, but only it should seem as an occasional assistant.",Pellegrini,person,(NIL),date of birth,What is the date of birth of Pellegrini?,
"The season began with Madame Caradori and Mademoiselle Brambilla as principals, Signors Curioni, Pellegrini, and Porto. - Mr. A. Sapio also _ appeared, but only it should seem as an occasional assistant.",Porto,person,(NIL),date of birth,What is the date of birth of Porto?,
"The season began with Madame Caradori and Mademoiselle Brambilla as principals, Signors Curioni, Pellegrini, and Porto. - Mr. A. Sapio also _ appeared, but only it should seem as an occasional assistant.",Mr. A. Sapio,person,(NIL),date of birth,What is the date of birth of Mr. A. Sapio?,
"Michel Richard Lalande, who married the daughter of Rebel, was also a composer and violinist of some fame..",Rebel,person,(NIL),date of birth,What is the date of birth of Rebel?,
"Mr. Latovur - tells us, in an advertisement prefixed to this work, that it is.",Mr. Latovur,person,(NIL),date of birth,What is the date of birth of Mr. Latovur?,
"Antoine Law rent -Baudron was born at Amiens, i in 117 43.",Antoine Law,person,(NIL),date of birth,What is the date of birth of Antoine Law?,
"Mr. J. Wylde, in a harp fantasia, greatly distinguished him.",Mr. J. Wylde,person,(NIL),date of birth,What is the date of birth of Mr. J. Wylde?,
"- Jodran,. a distinguished tenor, possesses, like Soretti (who sings at the church of Santa Maria Maggiore), a superb voice.",Jodran,person,(NIL),date of birth,What is the date of birth of Jodran?,
"- Jodran,. a distinguished tenor, possesses, like Soretti (who sings at the church of Santa Maria Maggiore), a superb voice.",Soretti,person,(NIL),date of birth,What is the date of birth of Soretti?,
"Of this merit M. Buium, as Rocco, has his share: he is a good singer and an excellent performer.",M. Buium,person,(NIL),date of birth,What is the date of birth of M. Buium?,
"In 1728, he ceded his privilege to M. Simard, who appointed M. Mouret the director of the music.",M. Simard,person,(NIL),date of birth,What is the date of birth of M. Simard?,
"The other artists were Miss Wood, and Messrs. Acomb and Bowling.",Miss Wood,person,(NIL),date of birth,What is the date of birth of Miss Wood?,
"The other artists were Miss Wood, and Messrs. Acomb and Bowling.",Messrs. Acomb,person,(NIL),date of birth,What is the date of birth of Messrs. Acomb?,
"The other artists were Miss Wood, and Messrs. Acomb and Bowling.",Bowling,person,(NIL),date of birth,What is the date of birth of Bowling?,
"Gehring Jean Guillaume became master of the Chapel of Rudolstadt, after the death.of Gebel.",Gehring Jean Guillaume,person,(NIL),date of birth,What is the date of birth of Gehring Jean Guillaume?,
"performed at Her Majestvy’s Theatre, dedicated, by special permission, to Her Royal Highness the Duchess of Cambridge.",the Duchess of Cambridge,person,(NIL),date of birth,What is the date of birth of the Duchess of Cambridge?,
"Baptiste Calkin, Boyton Smith, E. H. Thorne, W. G. Cusins, E. M. Delaborde, E. Silas, John Hullah, E. H. Turpin, Franz Nava, F. E. Gladstone, C. W. Lavington, J. E. Richardson, R. Forsey Brion, and J. Tilleard.",E. M. Delaborde,person,(NIL),date of birth,What is the date of birth of E. M. Delaborde?,
"Baptiste Calkin, Boyton Smith, E. H. Thorne, W. G. Cusins, E. M. Delaborde, E. Silas, John Hullah, E. H. Turpin, Franz Nava, F. E. Gladstone, C. W. Lavington, J. E. Richardson, R. Forsey Brion, and J. Tilleard.",E. Silas,person,(NIL),date of birth,What is the date of birth of E. Silas?,
"Baptiste Calkin, Boyton Smith, E. H. Thorne, W. G. Cusins, E. M. Delaborde, E. Silas, John Hullah, E. H. Turpin, Franz Nava, F. E. Gladstone, C. W. Lavington, J. E. Richardson, R. Forsey Brion, and J. Tilleard.",E. H. Turpin,person,(NIL),date of birth,What is the date of birth of E. H. Turpin?,
"Baptiste Calkin, Boyton Smith, E. H. Thorne, W. G. Cusins, E. M. Delaborde, E. Silas, John Hullah, E. H. Turpin, Franz Nava, F. E. Gladstone, C. W. Lavington, J. E. Richardson, R. Forsey Brion, and J. Tilleard.",Franz Nava,person,(NIL),date of birth,What is the date of birth of Franz Nava?,
"Baptiste Calkin, Boyton Smith, E. H. Thorne, W. G. Cusins, E. M. Delaborde, E. Silas, John Hullah, E. H. Turpin, Franz Nava, F. E. Gladstone, C. W. Lavington, J. E. Richardson, R. Forsey Brion, and J. Tilleard.",C. W. Lavington,person,(NIL),date of birth,What is the date of birth of C. W. Lavington?,
"Baptiste Calkin, Boyton Smith, E. H. Thorne, W. G. Cusins, E. M. Delaborde, E. Silas, John Hullah, E. H. Turpin, Franz Nava, F. E. Gladstone, C. W. Lavington, J. E. Richardson, R. Forsey Brion, and J. Tilleard.",J. E. Richardson,person,(NIL),date of birth,What is the date of birth of J. E. Richardson?,
"Baptiste Calkin, Boyton Smith, E. H. Thorne, W. G. Cusins, E. M. Delaborde, E. Silas, John Hullah, E. H. Turpin, Franz Nava, F. E. Gladstone, C. W. Lavington, J. E. Richardson, R. Forsey Brion, and J. Tilleard.",R. Forsey Brion,person,(NIL),date of birth,What is the date of birth of R. Forsey Brion?,
"Baptiste Calkin, Boyton Smith, E. H. Thorne, W. G. Cusins, E. M. Delaborde, E. Silas, John Hullah, E. H. Turpin, Franz Nava, F. E. Gladstone, C. W. Lavington, J. E. Richardson, R. Forsey Brion, and J. Tilleard.",J. Tilleard,person,(NIL),date of birth,What is the date of birth of J. Tilleard?,
"The Boylston Clab sang this time under their new Conductor, Mr Geos L. O3scoop, who had been with them only a few weeks, so that the results of his training could hardly yet be very marked.",Mr Geos L. O3scoop,person,(NIL),date of birth,What is the date of birth of Mr Geos L. O3scoop?,
"He was accompanied by the, French Ambassador, Prince de la Tour d’Auvergne, the Dake of Manchester, Mr. Mure, and other friends.",Mr. Mure,person,(NIL),date of birth,What is the date of birth of Mr. Mure?,
"(1 Movement, with Cadenza by Moscheles,) Quintet and 2d Piano Accompaniment,..” Miss Jennie H. Baxter.",Miss Jennie H. Baxter,person,(NIL),date of birth,What is the date of birth of Miss Jennie H. Baxter?,
"J. and C. Morgan, some of which were re - demanded.",J.,person,(NIL),date of birth,What is the date of birth of J.?,
"J. and C. Morgan, some of which were re - demanded.",C. Morgan,person,(NIL),date of birth,What is the date of birth of C. Morgan?,
"The following passed in the Preliminary Arts Examination only — P, Kelly, C. Peters, H. Stanbrook.","P , Kelly",person,(NIL),date of birth,"What is the date of birth of P , Kelly?",
"The following passed in the Preliminary Arts Examination only — P, Kelly, C. Peters, H. Stanbrook.",C. Peters,person,(NIL),date of birth,What is the date of birth of C. Peters?,
"The following passed in the Preliminary Arts Examination only — P, Kelly, C. Peters, H. Stanbrook.",H. Stanbrook,person,(NIL),date of birth,What is the date of birth of H. Stanbrook?,
"(Printed for G. and W. B. Whittaker, dve Maria Lune; and Clementi and Co., Cheapside.)",Maria Lune,person,(NIL),date of birth,What is the date of birth of Maria Lune?,
"Miss Alleyne, (composed to Shakspere’s Midsummer Night’s Dream)",Miss Alleyne,person,(NIL),date of birth,What is the date of birth of Miss Alleyne?,
"Miss Alleyne, (composed to Shakspere’s Midsummer Night’s Dream)",Shakspere,person,(Shakspere),date of birth,What is the date of birth of Shakspere?,
"Mr. H. W. George presided at the harmonium, and Mr. J. Lunn conducted.",Mr. H. W. George,person,(NIL),date of birth,What is the date of birth of Mr. H. W. George?,
"Mr. Waite, of Clifton, ably led the band, and Mr. Millington presided at the harmonium.",Mr. Waite,person,(NIL),date of birth,What is the date of birth of Mr. Waite?,
"Mr. Waite, of Clifton, ably led the band, and Mr. Millington presided at the harmonium.",Mr. Millington,person,(NIL),date of birth,What is the date of birth of Mr. Millington?,
"A young composer, Catl August Weber, professor of music at the Lyceum, at Rastadt near Baden, is much talked of here.",Catl August Weber,person,(NIL),date of birth,What is the date of birth of Catl August Weber?,
"On the 19th September, a concert was given by the pupils of the Conservatorio, in which several pieces of music composed by the pupils were performed: uamely, a terzett by M. Quaranta, a duett by M. Eroff, a quartett by M. Fontana, & c.",M. Quaranta,person,(NIL),date of birth,What is the date of birth of M. Quaranta?,
"On the 19th September, a concert was given by the pupils of the Conservatorio, in which several pieces of music composed by the pupils were performed: uamely, a terzett by M. Quaranta, a duett by M. Eroff, a quartett by M. Fontana, & c.",M. Eroff,person,(NIL),date of birth,What is the date of birth of M. Eroff?,
