sentence,span,type,uri,relation,question,gold occupation
"Batiste’s Andante in G, an Offertoire by Lefébure - Wély, 2 Fugue by Mendelssohn, and Gounod’s",Mendelssohn,person,(Q46096),occupation,What is the occupation of Mendelssohn?,writer; composer; conductor; pianist; organist; painter; university teacher; musicologist; music educator
"Batiste’s Andante in G, an Offertoire by Lefébure - Wély, 2 Fugue by Mendelssohn, and Gounod’s",Gounod,person,(Q180278),occupation,What is the occupation of Gounod?,composer; organist; musicologist; music educator; classical composer
"There were aymptoms of weariness, to be sute, in some of the high tenors in the last piece, that noble double chorus from Mendelssohn's “Oedipus,’ and",Mendelssohn,person,(Q46096),occupation,What is the occupation of Mendelssohn?,writer; composer; conductor; pianist; organist; painter; university teacher; musicologist; music educator
"Under the Direction of the Earl of Cawdor, Wednesday, April 24, 1833.",Earl of Cawdor,person,(Q6224952),occupation,What is the occupation of Earl of Cawdor?,politician
Of the publication of Volume II. of Dr. Burney’s great work we have the following account:,Dr. Burney,person,(Q547002),occupation,What is the occupation of Dr. Burney?,writer; composer; historian; organist; harpsichordist; musicologist; music historian
"On the same occasion, a quintett and chorus from Jerusalem delivered, an oratorio by M. Eberwein, which is still in MS. was received with much applause.",M. Eberwein,person,(Q215521),occupation,What is the occupation of M. Eberwein?,composer; conductor
The programme consisted of selections from the Messiah and Mendelssohn’s Hymn of Praise.,Mendelssohn,person,(Q46096),occupation,What is the occupation of Mendelssohn?,writer; composer; conductor; pianist; organist; painter; university teacher; musicologist; music educator
The Music adapted from SPINDLER’s HUSARENRITT by Louis Dien1.,Louis Dien1,person,(Q19900926),occupation,What is the occupation of Louis Dien1?,musician; painter
Some think they detect already in Weber's “Preciosa” and,Weber,person,(Q154812),occupation,What is the occupation of Weber?,composer; conductor; pianist; guitarist; music critic; classical guitarist
The first fart of the programme consisted of selections from the works of Mendelssohn.,Mendelssohn,person,(Q46096),occupation,What is the occupation of Mendelssohn?,writer; composer; conductor; pianist; organist; painter; university teacher; musicologist; music educator
"Oakley, Esq., of Tavistock Place, and the late James Perry Esq.,. of the Morning Chronicle.",James Perry,person,(Q15047460),occupation,What is the occupation of James Perry?,journalist
"that many composers who lose themselves in the clouds of mannerism and affectation, would imitate thewisdom of Sirletti, Asioli, and Pollini —",Sirletti,person,(Q102283903),occupation,What is the occupation of Sirletti?,composer
"that many composers who lose themselves in the clouds of mannerism and affectation, would imitate thewisdom of Sirletti, Asioli, and Pollini —",Asioli,person,(Q892563),occupation,What is the occupation of Asioli?,composer; conductor; musicologist; music educator; theorist; mandolinist
"that many composers who lose themselves in the clouds of mannerism and affectation, would imitate thewisdom of Sirletti, Asioli, and Pollini —",Pollini,person,(Q1351579),occupation,What is the occupation of Pollini?,composer; teacher; singer; pianist; music educator
"Second Concerto and Di Tanti, 294 Kiallmark, his Le pas de Polichinelle, 1145, Are ye'angry, 238;",Kiallmark,person,(Q18671297),occupation,What is the occupation of Kiallmark?,composer; violinist
"This enthusiastic composer, rich in talent, of the school of Bartolomeo Felici, wrote in the purest style.",Bartolomeo Felici,person,(Q20757883),occupation,What is the occupation of Bartolomeo Felici?,composer; musician
"Piano Forte ed Arpa da L. Cherubini, » Almen se non possio, Canzonetta; Poetry by Metastasio; Music by",L. Cherubini,person,(Q20721),occupation,What is the occupation of L. Cherubini?,composer; conductor; musicologist; music theorist; music educator
"Piano Forte ed Arpa da L. Cherubini, » Almen se non possio, Canzonetta; Poetry by Metastasio; Music by",Metastasio,person,(Q29473),occupation,What is the occupation of Metastasio?,writer; poet; playwright; Catholic priest; songwriter; librettist
"Here examples are given of the psalms of Marot and some of the earliest psalmists, whose compositions were even then considered as impudent innovations.",Marot,person,(Q108926),occupation,What is the occupation of Marot?,writer; poet; translator
"Between the years 1740 and 1745, we find but two complete dramas written by Metastasio, Antigono and Ipermestra, the former of these written expressly for the court of Dresden.",Metastasio,person,(Q29473),occupation,What is the occupation of Metastasio?,writer; poet; playwright; Catholic priest; songwriter; librettist
"This will serve to give some idea of the extensive field entered upon by Martini, and the diffuseness of that part which is completed.",Martini,person,(Q283651),occupation,What is the occupation of Martini?,composer; historian; Catholic priest; pianist; musicologist; music theorist; music educator
"the Bacchanalian Song from Spontini’s Danaides, and several other pieces too numerous to particularize.",Spontini,person,(Q168485),occupation,What is the occupation of Spontini?,composer; conductor; music director
"Vienna, Jan. 10. _ Donizetti has arrived in this city in perfect health.",Donizetti,person,(Q101698),occupation,What is the occupation of Donizetti?,composer
"Nevertheless, to be the rival of Carissimi he must have possessed considerable talent, both as a musician and a composer.",Carissimi,person,(Q312686),occupation,What is the occupation of Carissimi?,composer
"Since this note was written, a strong confirmation has been given to my opinion by a perusal of the History of the East Indies, from the French of L’Abbe Guyon.",L’Abbe Guyon,person,(Q2976789),occupation,What is the occupation of L’Abbe Guyon?,historian
Her Majesty and Prince Albert took a part in ‘Die Elfen Walzer.,Prince Albert,person,(Q152245),occupation,What is the occupation of Prince Albert?,conductor; singer; musician; organist; painter
"Nor let us omit the performance of Grisias the Lady Norina in Pasquale, which was one of the most admirable specimens of comic talent ever seen on any stage.",Grisias,person,(Q287344),occupation,What is the occupation of Grisias?,singer; opera singer
": NgwcastLe - on - TyNE. — A most successful performance of the Antigone of Sophocles, with Mendelssohn's music, took place at the Theatre Royal, on the 21st ult.",Mendelssohn,person,(Q46096),occupation,What is the occupation of Mendelssohn?,writer; composer; conductor; pianist; organist; painter; university teacher; musicologist; music educator
"Sabadini also composed oratorios, the best of which was “La Divina Sapienza.",Sabadini,person,(Q3638803),occupation,What is the occupation of Sabadini?,composer
"The chair was occupied en the occasion by Sir Thomas Gladstone, Bart.",Sir Thomas Gladstone,person,(Q7529140),occupation,What is the occupation of Sir Thomas Gladstone?,politician
"The three last operas written by Metastasio were, Il Trionfo di Clelia, in 1762;",Metastasio,person,(Q29473),occupation,What is the occupation of Metastasio?,writer; poet; playwright; Catholic priest; songwriter; librettist
"’s 24th Psalm, adapted to the English version, by W. T. Freemantle (and revised by the late Dr. S. S. Wesley).",W. T. Freemantle,person,(Q8019310),occupation,What is the occupation of W. T. Freemantle?,composer; author; antiquarian
"’s 24th Psalm, adapted to the English version, by W. T. Freemantle (and revised by the late Dr. S. S. Wesley).",Dr. S. S. Wesley,person,(Q746420),occupation,What is the occupation of Dr. S. S. Wesley?,composer; choir director; instrumentalist
"Though Mr. Viotti had long retired from his profession, he nevertheless retained ‘all his love for the art, and contributed every thing in his power towards its ATS",Mr. Viotti,person,(Q313188),occupation,What is the occupation of Mr. Viotti?,composer; violinist; music teacher; music interpreter
"The number of witnesses examined was forty - five, among whom were Mr. Mash of the Chamberlain’s Office, all the proprietors and managers of the various theatres, major and minor, many authors, and most of the principal actors.",Chamberlain,person,(Q541755),occupation,What is the occupation of Chamberlain?,politician
"On Monday, June 5, 1826, died Carl Maria Freyherr Von Weber.",Carl Maria Freyherr Von Weber,person,(Q154812),occupation,What is the occupation of Carl Maria Freyherr Von Weber?,composer; conductor; pianist; guitarist; music critic; classical guitarist
", Arthur Sullivan, Mus. D., Cantab., the Conductor, and the Principal — Eaton Faning.",Arthur Sullivan,person,(Q212692),occupation,What is the occupation of Arthur Sullivan?,composer; conductor; organist; music educator
", Arthur Sullivan, Mus. D., Cantab., the Conductor, and the Principal — Eaton Faning.",Eaton Faning,person,(Q5331349),occupation,What is the occupation of Eaton Faning?,composer; music educator
"‘Carron side,” an opera by Signor Liverati, was produced with success.",Signor Liverati,person,(Q3767573),occupation,What is the occupation of Signor Liverati?,composer; conductor; singer
For ten years Jarnowick was in great favour with the public.,Jarnowick,person,(Q1526160),occupation,What is the occupation of Jarnowick?,composer; violinist
"Mr. Kalkbrenner’s inelange displays great taste, both in the selection and treatment. of his subjects.",Mr. Kalkbrenner,person,(Q170270),occupation,What is the occupation of Mr. Kalkbrenner?,composer; pianist; university teacher; musicologist; music educator; classical composer
"“Qui est Rex Gloriosus,” Canon four in two, composed and dedicated to Thomas Attwood, Esq.",Thomas Attwood,person,(Q2422110),occupation,What is the occupation of Thomas Attwood?,composer; conductor; music educator
"There are few persons in this country, we apprehend, who are not now aware of the splendid donation made by the late Viscount Fitzwilliam to the University of Cambridge.",Viscount Fitzwilliam,person,(Q7325692),occupation,What is the occupation of Viscount Fitzwilliam?,politician; art collector; musicologist
The vocal music was scarcely so good as usual — with the exception of the scena of Miss Rainforth.,Miss Rainforth,person,(Q17355767),occupation,What is the occupation of Miss Rainforth?,opera singer
"We can not speak too highly of the manner in which this magnificent burst of grandeur was rendered, by Mr. Sterndale Bennett and his able assistants,",Mr. Sterndale Bennett,person,(Q201164),occupation,What is the occupation of Mr. Sterndale Bennett?,composer; conductor; pianist; university teacher; music educator
"passage, taken up by the other parts as a round, like Rossini’s",Rossini,person,(Q9726),occupation,What is the occupation of Rossini?,composer
"G. Benson, Ettore Fiori, Manuel Garcia, P. Goldberg, A. Randegger, T. A. Wallworth, and the Principal.",Ettore Fiori,person,(Q55912552),occupation,What is the occupation of Ettore Fiori?,conductor; maestro
"G. Benson, Ettore Fiori, Manuel Garcia, P. Goldberg, A. Randegger, T. A. Wallworth, and the Principal.",Manuel Garcia,person,(Q333183),occupation,What is the occupation of Manuel Garcia?,teacher; physician; singer; inventor; maestro; opera vocal coach; opera singer
"G. Benson, Ettore Fiori, Manuel Garcia, P. Goldberg, A. Randegger, T. A. Wallworth, and the Principal.",A. Randegger,person,(Q4712167),occupation,What is the occupation of A. Randegger?,composer; teacher; conductor; music educator
"Thornhill drew ail their portraits in pencil, and Prior wrote humorous verses under each.",Thornhill,person,(Q1681192),occupation,What is the occupation of Thornhill?,politician; artist; court painter; painter
the programme consisted entirely of a selection from*the works of the late Sir Sterndale Bennett.,Sir Sterndale Bennett,person,(Q201164),occupation,What is the occupation of Sir Sterndale Bennett?,composer; conductor; pianist; university teacher; music educator
"The artists engaged were the Misses Agnes Drummond, Josephine Pulham, Marian Haigh, Florence Wydford, and Messrs. Henry Guy, Theodore Distin, E. Stone, and Thurley Beale.",Theodore Distin,person,(Q76098551),occupation,What is the occupation of Theodore Distin?,composer
"Mrs. Shaw sang the next piece, No. 17, with more grace and power of vocalization than she had displayed during her visit.",Mrs. Shaw,person,(Q3291051),occupation,What is the occupation of Mrs. Shaw?,opera singer
"“Lives of the Professors of Gresham College” is a list of musical works in manuscript of Dr. J. Bull, in possession of Dr. Pepusch",Dr. J. Bull,person,(Q511463),occupation,What is the occupation of Dr. J. Bull?,composer; organist; harpsichordist; music professor
"“Lives of the Professors of Gresham College” is a list of musical works in manuscript of Dr. J. Bull, in possession of Dr. Pepusch",Dr. Pepusch,person,(Q371825),occupation,What is the occupation of Dr. Pepusch?,composer; musicologist; music theorist
He also performed two of Mendelssohn’s,Mendelssohn,person,(Q46096),occupation,What is the occupation of Mendelssohn?,writer; composer; conductor; pianist; organist; painter; university teacher; musicologist; music educator
"Air Suisse, with an Introduction and Variations for the Piano Forte, composed by H. Herz.",H. Herz,person,(Q572547),occupation,What is the occupation of H. Herz?,composer; pianist; piano maker
"Dr. Anslem Bayly, Sub - Dean of this Majesty’s Chapels Royal.",Dr. Anslem Bayly,person,(Q4770596),occupation,What is the occupation of Dr. Anslem Bayly?,writer
"Charles Phillippe Lafont, a very distinguished violinist, began to learn the violin with his mother, who was the sister of Berthaume, when yet very young.",Charles Phillippe Lafont,person,(Q517502),occupation,What is the occupation of Charles Phillippe Lafont?,composer; singer; violist; violinist
"Among the pieces were Beethoven’s grand symphony in bp, and the overtures to Don Juan and Reissiger’s Felsenmithle, all of which were exquisitely played.",Beethoven,person,(Q255),occupation,What is the occupation of Beethoven?,composer
"Among the pieces were Beethoven’s grand symphony in bp, and the overtures to Don Juan and Reissiger’s Felsenmithle, all of which were exquisitely played.",Reissiger,person,(Q213894),occupation,What is the occupation of Reissiger?,composer; conductor; singer; pianist; musicologist
"Venice, besides the advantage of having orators destined to educate the singers, had Gasparini and Lotti as directors of the schools..",Gasparini,person,(Q446955),occupation,What is the occupation of Gasparini?,composer; conductor; music director; musicologist; music theorist
"Venice, besides the advantage of having orators destined to educate the singers, had Gasparini and Lotti as directors of the schools..",Lotti,person,(Q168345),occupation,What is the occupation of Lotti?,composer; singer; organist
Handel’s habit of borrowing from himself is well known.,Handel,person,(Q7302),occupation,What is the occupation of Handel?,composer; organist; impresario; violinist; university teacher; harpsichordist; opera composer
the bride recently went through a similar ceremony as Giultetta in Gounod’s opera.,Gounod,person,(Q180278),occupation,What is the occupation of Gounod?,composer; organist; musicologist; music educator; classical composer
"the subject of the Air from a French Melody, composed by Pio Glanchettini.",Pio Glanchettini,person,(Q18819786),occupation,What is the occupation of Pio Glanchettini?,composer
"But in the “Studii of Palestrina,” -a manvscript, procured at Rome by Dr. Burney, containing chants by the great composers of his time, are some, by.",Dr. Burney,person,(Q547002),occupation,What is the occupation of Dr. Burney?,writer; composer; historian; organist; harpsichordist; musicologist; music historian
"It is in this point of view that we ought to regard the revolution effected by Rossini in the music of Naples, as well as: its novel results.",Rossini,person,(Q9726),occupation,What is the occupation of Rossini?,composer
Mr. Kalkbrenner’s concerto was the only piece in the last bill of any importance.,Mr. Kalkbrenner,person,(Q170270),occupation,What is the occupation of Mr. Kalkbrenner?,composer; pianist; university teacher; musicologist; music educator; classical composer
"w ho were accustomed to meet there frequently, such as Pagin, Gavinies, Pugnani, Gi- ardini, Van Malder, Dominico Ferrari, & c.",Pagin,person,(Q516496),occupation,What is the occupation of Pagin?,composer
"w ho were accustomed to meet there frequently, such as Pagin, Gavinies, Pugnani, Gi- ardini, Van Malder, Dominico Ferrari, & c.",Gavinies,person,(Q490205),occupation,What is the occupation of Gavinies?,composer
"w ho were accustomed to meet there frequently, such as Pagin, Gavinies, Pugnani, Gi- ardini, Van Malder, Dominico Ferrari, & c.",Pugnani,person,(Q560926),occupation,What is the occupation of Pugnani?,composer; concertmaster; violinist
"w ho were accustomed to meet there frequently, such as Pagin, Gavinies, Pugnani, Gi- ardini, Van Malder, Dominico Ferrari, & c.",Van Malder,person,(Q509130),occupation,What is the occupation of Van Malder?,composer; violinist
"w ho were accustomed to meet there frequently, such as Pagin, Gavinies, Pugnani, Gi- ardini, Van Malder, Dominico Ferrari, & c.",Dominico Ferrari,person,(Q1237139),occupation,What is the occupation of Dominico Ferrari?,composer; violinist
"I am marvellously curious to see the violin quartet written by Rossini for Ricordi, the music - dealer, of Milan.",Rossini,person,(Q9726),occupation,What is the occupation of Rossini?,composer
"I am marvellously curious to see the violin quartet written by Rossini for Ricordi, the music - dealer, of Milan.",Ricordi,person,(Q1046463),occupation,What is the occupation of Ricordi?,
Upon the coffin was ‘the following inscription:: CAROLUS MARTA FREYHERR VON WEBER.,CAROLUS MARTA FREYHERR VON WEBER .,person,(Q154812),occupation,What is the occupation of CAROLUS MARTA FREYHERR VON WEBER .?,composer; conductor; pianist; guitarist; music critic; classical guitarist
"One of the principal pieces in Hippolyte et Arcie, is the trio of the Fates, one of the most beautiful compositions of Rameau.",Rameau,person,(Q1145),occupation,What is the occupation of Rameau?,composer; organist; choreographer; harpsichordist; musicologist; music theorist; theorist
"When Garibaldi raised the standard of revolt at Marsala, a number of volunteers.",Garibaldi,person,(Q539),occupation,What is the occupation of Garibaldi?,writer; military personnel; politician; mercenary; resistance fighter; autobiographer
the paucity of the English female singers — Miss Stephens and.,Miss Stephens,person,(Q5052928),occupation,What is the occupation of Miss Stephens?,actor; opera singer
"For further particulars apply to Mr. H. Keeton, “Registered for transmission abroad.",Mr. H. Keeton,person,(Q1438256),occupation,What is the occupation of Mr. H. Keeton?,composer; organist; music educator
"They are all tinctured with a certain degree of elegance and expressiveness, particularly these by Mr. Clifton, Mr. Crouch, Mr. Eavestaff, and Mr. Banister.",Mr. Clifton,person,(Q6224338),occupation,What is the occupation of Mr. Clifton?,composer
"Since Barbaja seceded from the theatre, San Carlo has thrice been in danger of being burnt down.",Barbaja,person,(Q908235),occupation,What is the occupation of Barbaja?,impresario
"Variations, and an Introductory Prelude on some Passages from: the Incantation Scene, by N.C. Bochsa 4.",N.C. Bochsa,person,(Q251397),occupation,What is the occupation of N.C. Bochsa?,composer; conductor; choreographer; harpist; musicologist; music educator
"Signor Sabastiani, first clarinet at the theatre St. Carlo at Naples, is arrived in Paris.",Signor Sabastiani,person,(Q109802688),occupation,What is the occupation of Signor Sabastiani?,composer; clarinetist
"The predominant feature of Spohr’s music is a voluptuous monotony — a luxury indeed, but a vicious one.",Spohr,person,(Q57226),occupation,What is the occupation of Spohr?,composer; conductor; musician; violinist; musicologist; music educator
"but, after all, why not have given a symphony or overture of Haydn or Mozart?",Haydn,person,(Q7349),occupation,What is the occupation of Haydn?,composer; conductor; pianist; musicologist
"but, after all, why not have given a symphony or overture of Haydn or Mozart?",Mozart,person,(Q254),occupation,What is the occupation of Mozart?,composer; pianist; musician; organist; violinist; music educator
"M. Spohr has produced at Cassel a new opera, named, Pietra @ Albano.",M. Spohr,person,(Q57226),occupation,What is the occupation of M. Spohr?,composer; conductor; musician; violinist; musicologist; music educator
"The music consisted of a selection from The Seasons of Haydn, and the whole of Beethoven’s Mount of Olives.",Haydn,person,(Q7349),occupation,What is the occupation of Haydn?,composer; conductor; pianist; musicologist
"The music consisted of a selection from The Seasons of Haydn, and the whole of Beethoven’s Mount of Olives.",Beethoven,person,(Q255),occupation,What is the occupation of Beethoven?,composer
Adelina Patti — for that will continue to be her professional.,Adelina Patti,person,(Q234166),occupation,What is the occupation of Adelina Patti?,composer; opera singer
"These two operas, and also two odes to Anacreon set to the Greek text, are the only fruits of our author's pen in the year 1799.",Anacreon,person,(Q213484),occupation,What is the occupation of Anacreon?,writer; poet; Hofmeister; epigrammatist
"Grazioli (who must not be confounded with the composer of the same name, who died at Venice in 1820). has published several operas and some sacred music.",Grazioli,person,(Q1525873),occupation,What is the occupation of Grazioli?,composer; organist
M. Bochsa takes some trouble to present new compositions to the public; but he does not exercise much judgment'in the selection of them.,M. Bochsa,person,(Q251397),occupation,What is the occupation of M. Bochsa?,composer; conductor; choreographer; harpist; musicologist; music educator
"This Edition has been revised, and Passages for the additional Keys arranged for Piano Fortes up to C, by Mr. Moscheles.",Mr. Moscheles,person,(Q159551),occupation,What is the occupation of Mr. Moscheles?,composer; conductor; pianist; pedagogue; violinist; university teacher; musicologist; music educator; diarist
The exquisite drollery of Levassor and John Parry were highly relished.,John Parry,person,(Q3399352),occupation,What is the occupation of John Parry?,musician
"The reception of the work was most enthusiastic, Dr. Bridge receiving quite an ovation at the close of the Oratorio.",Dr. Bridge,person,(Q5497415),occupation,What is the occupation of Dr. Bridge?,composer; conductor; organist; music professor
"The Societa Filodramatica is about to produce Bellini’s opera, I Montecchi e Capuleti.",Bellini,person,(Q170209),occupation,What is the occupation of Bellini?,composer
"we are moved only by admiration of the talents of Madame Pasta or Mademoiselle Sontag, displayed in executing the innumerable flights, arpeggios, and cadenzas which are allotted to them.",Madame Pasta,person,(Q240963),occupation,What is the occupation of Madame Pasta?,opera singer
"we are moved only by admiration of the talents of Madame Pasta or Mademoiselle Sontag, displayed in executing the innumerable flights, arpeggios, and cadenzas which are allotted to them.",Mademoiselle Sontag,person,(Q64098),occupation,What is the occupation of Mademoiselle Sontag?,vocalist; opera singer
"Ramsay was an acute observer of the character and manners of the Scottish peasantry, and has produced many pleasing and humorous sketches of the habits and sentiments peculiar to that race.",Ramsay,person,(Q654775),occupation,What is the occupation of Ramsay?,writer; poet; librarian; librettist
"To Mr. Willert Beale, the founder of these meetings, 8.",Mr. Willert Beale,person,(Q7795125),occupation,What is the occupation of Mr. Willert Beale?,writer; barrister; music journalist
", ee OF the principles adopted by Handel in his employment of such phrases, 1 hope I have given a clear and sufficient demonstration in my last letter.",Handel,person,(Q7302),occupation,What is the occupation of Handel?,composer; organist; impresario; violinist; university teacher; harpsichordist; opera composer
"Franz Liszt played this piece once with such mighty power and passion, such eloquence and truth, as I never heard before, probably never shall hear again.",Franz Liszt,person,(Q41309),occupation,What is the occupation of Franz Liszt?,writer; composer; conductor; virtuoso; Catholic priest; pianist; music educator; classical composer
"3- SEVEN VOCAL DUETS, by Bellini, S. Glover, Macfarren, Donizetti, & c..",Bellini,person,(Q170209),occupation,What is the occupation of Bellini?,composer
"3- SEVEN VOCAL DUETS, by Bellini, S. Glover, Macfarren, Donizetti, & c..",Macfarren,person,(Q1374708),occupation,What is the occupation of Macfarren?,composer; conductor; university teacher; musicologist; music theorist; music educator; theorist
"3- SEVEN VOCAL DUETS, by Bellini, S. Glover, Macfarren, Donizetti, & c..",Donizetti,person,(Q101698),occupation,What is the occupation of Donizetti?,composer
", Mr. Joseph Skeaf, the president, occupied the chair, Mr. William Laidlaw and Mr. T. Armstrong vicechairmen.",Mr. William Laidlaw,person,(Q8014247),occupation,What is the occupation of Mr. William Laidlaw?,poet
"In 1760 he sent him to Paris, and he there took lessons of Capron, and at the same time studied composition under Gossec.",Capron,person,(Q120697),occupation,What is the occupation of Capron?,composer
"In 1760 he sent him to Paris, and he there took lessons of Capron, and at the same time studied composition under Gossec.",Gossec,person,(Q313667),occupation,What is the occupation of Gossec?,composer; conductor; violinist
"The church of Santa Maria Maggiore, the third in rank, had as chapel master the Maestro del Fante, who has now been dead some years.",Maestro del Fante,person,(Q18416097),occupation,What is the occupation of Maestro del Fante?,composer
"The vocalists were the Misses C. Novello, Rainforth, and Mrs. Alfred Shaw; Messrs. Braham, Phillips, Bennett, Walton, and J. Isherwood.",C. Novello,person,(Q4322567),occupation,What is the occupation of C. Novello?,opera singer
"The vocalists were the Misses C. Novello, Rainforth, and Mrs. Alfred Shaw; Messrs. Braham, Phillips, Bennett, Walton, and J. Isherwood.",Rainforth,person,(Q17355767),occupation,What is the occupation of Rainforth?,opera singer
"The vocalists were the Misses C. Novello, Rainforth, and Mrs. Alfred Shaw; Messrs. Braham, Phillips, Bennett, Walton, and J. Isherwood.",Alfred Shaw,person,(Q3291051),occupation,What is the occupation of Alfred Shaw?,opera singer
"The vocalists were the Misses C. Novello, Rainforth, and Mrs. Alfred Shaw; Messrs. Braham, Phillips, Bennett, Walton, and J. Isherwood.",Braham,person,(Q1699393),occupation,What is the occupation of Braham?,opera singer
"The vocalists were the Misses C. Novello, Rainforth, and Mrs. Alfred Shaw; Messrs. Braham, Phillips, Bennett, Walton, and J. Isherwood.",Bennett,person,(Q201164),occupation,What is the occupation of Bennett?,composer; conductor; pianist; university teacher; music educator
"Francoeur was born at Paris, in 1698, and is mentioned as having belonged.",Francoeur,person,(Q1396905),occupation,What is the occupation of Francoeur?,composer; conductor
"Now let our readers take the finale of any opera by Mozart, of the Fidelio by Beethoven, and compare it side by side with the finale by Wagner.",Mozart,person,(Q254),occupation,What is the occupation of Mozart?,composer; pianist; musician; organist; violinist; music educator
"Now let our readers take the finale of any opera by Mozart, of the Fidelio by Beethoven, and compare it side by side with the finale by Wagner.",Beethoven,person,(Q255),occupation,What is the occupation of Beethoven?,composer
"Now let our readers take the finale of any opera by Mozart, of the Fidelio by Beethoven, and compare it side by side with the finale by Wagner.",Wagner,person,(Q1511),occupation,What is the occupation of Wagner?,writer; composer; poet; conductor; pianist; music critic; theatrical director; librettist; essayist; autobiographer; diarist
"Cherubini never heard, any of the works Cherubini composed for Paris sung to his own pliant, beautiful and harmonious language.",Cherubini,person,(Q20721),occupation,What is the occupation of Cherubini?,composer; conductor; musicologist; music theorist; music educator
"Cherubini never heard, any of the works Cherubini composed for Paris sung to his own pliant, beautiful and harmonious language.",Cherubini,person,(Q20721),occupation,What is the occupation of Cherubini?,composer; conductor; musicologist; music theorist; music educator
"Jean Pierre Guignon was born at Turin, in 1702; but as he came to France whilst very young, and established himself there, we shall consider him as a French violinist.",Jean Pierre Guignon,person,(Q337573),occupation,What is the occupation of Jean Pierre Guignon?,composer
"This, I understand, was the method pursued by _ M. Chelard, the. maestro at the German opera last season at the King’s Theatre.",M. Chelard,person,(Q924686),occupation,What is the occupation of M. Chelard?,composer; conductor; violinist
