sentence,span,type,uri,relation,question
"on application to H. Hagemeyer, Bandmaster, 12th Regiment, Cork Barracks, Ireland.",H. Hagemeyer,person,(NIL),occupation,What is the occupation of H. Hagemeyer?
"himself, abridged and continued to his death, by Dr. Kitchiner; from which we learn, that _",Dr. Kitchiner,person,(NIL),occupation,What is the occupation of Dr. Kitchiner?
"The chair was occupied en the occasion by Sir Thomas Gladstone, Bart.",Bart,person,(NIL),occupation,What is the occupation of Bart?
"| tains a new two - manual Organ by Walker, of London.",Walker,person,(NIL),occupation,What is the occupation of Walker?
"The number of witnesses examined was forty - five, among whom were Mr. Mash of the Chamberlain’s Office, all the proprietors and managers of the various theatres, major and minor, many authors, and most of the principal actors.",Mr. Mash,person,(NIL),occupation,What is the occupation of Mr. Mash?
"A new symphony by M. Joachim Hoffman, a composition of great merit, was performed at that gentleman’s concert.",M. Joachim Hoffman,person,(NIL),occupation,What is the occupation of M. Joachim Hoffman?
"Musical Society at Cambridge, in the y Term of 1871, under the direction of Dr. G. M: Garrett.",Dr. G. M : Garrett .,person,(NIL),occupation,What is the occupation of Dr. G. M : Garrett .?
"The Philharmonic Society, founded here by M. Schénche, is going on flourishingly.",M. Schénche,person,(NIL),occupation,What is the occupation of M. Schénche?
"We, therefore, heartily welcome Mr. Hall’s book, as a useful addition to the scanty literature on the subject.",Mr. Hall,person,(NIL),occupation,What is the occupation of Mr. Hall?
"G. Benson, Ettore Fiori, Manuel Garcia, P. Goldberg, A. Randegger, T. A. Wallworth, and the Principal.",G.,person,(NIl),occupation,What is the occupation of G.?
"G. Benson, Ettore Fiori, Manuel Garcia, P. Goldberg, A. Randegger, T. A. Wallworth, and the Principal.",Benson,person,(NIL),occupation,What is the occupation of Benson?
"G. Benson, Ettore Fiori, Manuel Garcia, P. Goldberg, A. Randegger, T. A. Wallworth, and the Principal.",P. Goldberg,person,(NIL),occupation,What is the occupation of P. Goldberg?
"G. Benson, Ettore Fiori, Manuel Garcia, P. Goldberg, A. Randegger, T. A. Wallworth, and the Principal.",T. A. Wallworth,person,(NIL),occupation,What is the occupation of T. A. Wallworth?
"Thornhill drew ail their portraits in pencil, and Prior wrote humorous verses under each.",Prior,person,(NIL),occupation,What is the occupation of Prior?
"The artists engaged were the Misses Agnes Drummond, Josephine Pulham, Marian Haigh, Florence Wydford, and Messrs. Henry Guy, Theodore Distin, E. Stone, and Thurley Beale.",Agnes Drummond,person,(NIL),occupation,What is the occupation of Agnes Drummond?
"The artists engaged were the Misses Agnes Drummond, Josephine Pulham, Marian Haigh, Florence Wydford, and Messrs. Henry Guy, Theodore Distin, E. Stone, and Thurley Beale.",Josephine Pulham,person,(NIL),occupation,What is the occupation of Josephine Pulham?
"The artists engaged were the Misses Agnes Drummond, Josephine Pulham, Marian Haigh, Florence Wydford, and Messrs. Henry Guy, Theodore Distin, E. Stone, and Thurley Beale.",Marian Haigh,person,(NIL),occupation,What is the occupation of Marian Haigh?
"The artists engaged were the Misses Agnes Drummond, Josephine Pulham, Marian Haigh, Florence Wydford, and Messrs. Henry Guy, Theodore Distin, E. Stone, and Thurley Beale.",Florence Wydford,person,(NIL),occupation,What is the occupation of Florence Wydford?
"The artists engaged were the Misses Agnes Drummond, Josephine Pulham, Marian Haigh, Florence Wydford, and Messrs. Henry Guy, Theodore Distin, E. Stone, and Thurley Beale.",Henry Guy,person,(NIL),occupation,What is the occupation of Henry Guy?
"The artists engaged were the Misses Agnes Drummond, Josephine Pulham, Marian Haigh, Florence Wydford, and Messrs. Henry Guy, Theodore Distin, E. Stone, and Thurley Beale.",E. Stone,person,(NIL),occupation,What is the occupation of E. Stone?
"The artists engaged were the Misses Agnes Drummond, Josephine Pulham, Marian Haigh, Florence Wydford, and Messrs. Henry Guy, Theodore Distin, E. Stone, and Thurley Beale.",Thurley Beale,person,(NIL),occupation,What is the occupation of Thurley Beale?
"Mr. Wiitson. — Owing to a severe domestic affliction, (the death of a son)",Mr. Wiitson,person,(NIL),occupation,What is the occupation of Mr. Wiitson?
"Charles Phillippe Lafont, a very distinguished violinist, began to learn the violin with his mother, who was the sister of Berthaume, when yet very young.",Berthaume,person,(NIL),occupation,What is the occupation of Berthaume?
"R. Smith lectured at the Athenzum on Thursday evening, the roth ult.",R. Smith,person,(NIL),occupation,What is the occupation of R. Smith?
"The Enthusiast, a Song, written and composed by F.W. Horn- castle.",F.W. Horn- castle,person,(NIL),occupation,What is the occupation of F.W. Horn- castle?
"When Fenzi is absent, Guida is considered as the best.",Fenzi,person,(NIL),occupation,What is the occupation of Fenzi?
"When Fenzi is absent, Guida is considered as the best.",Guida,person,(NIL),occupation,What is the occupation of Guida?
"From what we know of Mr. Forde’s general abilities, we should think him far more fit for the task than any else one who has undertaken it;",Forde,person,(NIL),occupation,What is the occupation of Forde?
"w ho were accustomed to meet there frequently, such as Pagin, Gavinies, Pugnani, Gi- ardini, Van Malder, Dominico Ferrari, & c.",Gi- ardini,person,(NIL),occupation,What is the occupation of Gi- ardini?
"Among the gentle‘men now contributing to Concordia, are: —: J. Barney.",J. Barney,person,(NIL),occupation,What is the occupation of J. Barney?
"Highly commended — Annie Albu, Amy Aylward, Jessie Jones, Agnes Larkcom, and Marian Williams.",Annie Albu,person,(NIL),occupation,What is the occupation of Annie Albu?
"Highly commended — Annie Albu, Amy Aylward, Jessie Jones, Agnes Larkcom, and Marian Williams.",Amy Aylward,person,(NIL),occupation,What is the occupation of Amy Aylward?
"Highly commended — Annie Albu, Amy Aylward, Jessie Jones, Agnes Larkcom, and Marian Williams.",Jessie Jones,person,(NIL),occupation,What is the occupation of Jessie Jones?
"Highly commended — Annie Albu, Amy Aylward, Jessie Jones, Agnes Larkcom, and Marian Williams.",Agnes Larkcom,person,(NIL),occupation,What is the occupation of Agnes Larkcom?
"Highly commended — Annie Albu, Amy Aylward, Jessie Jones, Agnes Larkcom, and Marian Williams.",Marian Williams,person,(NIL),occupation,What is the occupation of Marian Williams?
"They are all tinctured with a certain degree of elegance and expressiveness, particularly these by Mr. Clifton, Mr. Crouch, Mr. Eavestaff, and Mr. Banister.",Mr. Crouch,person,(NIL),occupation,What is the occupation of Mr. Crouch?
"They are all tinctured with a certain degree of elegance and expressiveness, particularly these by Mr. Clifton, Mr. Crouch, Mr. Eavestaff, and Mr. Banister.",Mr. Eavestaff,person,(NIL),occupation,What is the occupation of Mr. Eavestaff?
"They are all tinctured with a certain degree of elegance and expressiveness, particularly these by Mr. Clifton, Mr. Crouch, Mr. Eavestaff, and Mr. Banister.",Mr. Banister,person,(NIL),occupation,What is the occupation of Mr. Banister?
"Rachel would proceed to London in the month of June, and play at the St. James’s Theatre.",Rachel,person,(NIL),occupation,What is the occupation of Rachel?
"The boy was traced to Milan, but Mr. S. was deterred by the expence from prosecuting, and was compelled to sit down under.the loss of the. entire sum.",Mr. S.,person,(NIL),occupation,What is the occupation of Mr. S.?
The exquisite drollery of Levassor and John Parry were highly relished.,Levassor,person,(NIL),occupation,What is the occupation of Levassor?
"only that the name of the author had been misprinted Caffiat, instead of Caffiaux.",Caffiaux,person,(NIL),occupation,What is the occupation of Caffiaux?
"Zahn was a native of Rotenbourg sur le Tauber, in Franconia.",Zahn,person,(NIL),occupation,What is the occupation of Zahn?
"Dr. Barry, in acknowledging the gift, said that he regarded it as an expression of unity and co - operation between the members of the choir and himself, and thanked the Society for so kind a mark of appreciation of his services.",Dr. Barry,person,(NIL),occupation,What is the occupation of Dr. Barry?
"3- SEVEN VOCAL DUETS, by Bellini, S. Glover, Macfarren, Donizetti, & c..",S. Glover,person,(NIL),occupation,What is the occupation of S. Glover?
"Meantime, we Believe that we are correct in asserting that Dr. Sullivan has resigned his post as Musical Director.",Dr. Sullivan,person,(NIL),occupation,What is the occupation of Dr. Sullivan?
", Mr. Joseph Skeaf, the president, occupied the chair, Mr. William Laidlaw and Mr. T. Armstrong vicechairmen.",Mr. Joseph Skeaf,person,(NIL),occupation,What is the occupation of Mr. Joseph Skeaf?
", Mr. Joseph Skeaf, the president, occupied the chair, Mr. William Laidlaw and Mr. T. Armstrong vicechairmen.",Mr. T. Armstrong,person,(NIL),occupation,What is the occupation of Mr. T. Armstrong?
"The vocalists were the Misses C. Novello, Rainforth, and Mrs. Alfred Shaw; Messrs. Braham, Phillips, Bennett, Walton, and J. Isherwood.",Phillips,person,(NIL),occupation,What is the occupation of Phillips?
"The vocalists were the Misses C. Novello, Rainforth, and Mrs. Alfred Shaw; Messrs. Braham, Phillips, Bennett, Walton, and J. Isherwood.",Walton,person,(NIL),occupation,What is the occupation of Walton?
"The vocalists were the Misses C. Novello, Rainforth, and Mrs. Alfred Shaw; Messrs. Braham, Phillips, Bennett, Walton, and J. Isherwood.",J. Isherwood,person,(NIL),occupation,What is the occupation of J. Isherwood?
Tuts is the first new work by Mr. Griffin that has come under our view since we entered upon our critical office.,Mr. Griffin,person,(NIL),occupation,What is the occupation of Mr. Griffin?
"Weisse, in 1788, was bassoonist of the Chapel Royal of Prussia, at Berlin.",Weisse,person,(NIL),occupation,What is the occupation of Weisse?
"Miss Minnie Curtis was highly successful in the songs and other music allotted to her, and Miss Adeline Payel and Miss Kate Wild rendered great assistance, and were deservedly applauded.",Miss Minnie Curtis,person,(NIL),occupation,What is the occupation of Miss Minnie Curtis?
"Miss Minnie Curtis was highly successful in the songs and other music allotted to her, and Miss Adeline Payel and Miss Kate Wild rendered great assistance, and were deservedly applauded.",Miss Adeline Payel,person,(NIL),occupation,What is the occupation of Miss Adeline Payel?
"Miss Minnie Curtis was highly successful in the songs and other music allotted to her, and Miss Adeline Payel and Miss Kate Wild rendered great assistance, and were deservedly applauded.",Miss Kate Wild,person,(NIL),occupation,What is the occupation of Miss Kate Wild?
"Annie Butterworth, Hannah Edouard, Marietta Phillips, Marie Duval, Mary Jane Williams.",Annie Butterworth,person,(NIL),occupation,What is the occupation of Annie Butterworth?
"Annie Butterworth, Hannah Edouard, Marietta Phillips, Marie Duval, Mary Jane Williams.",Hannah Edouard,person,(NIL),occupation,What is the occupation of Hannah Edouard?
"Annie Butterworth, Hannah Edouard, Marietta Phillips, Marie Duval, Mary Jane Williams.",Marietta Phillips,person,(NIL),occupation,What is the occupation of Marietta Phillips?
"Annie Butterworth, Hannah Edouard, Marietta Phillips, Marie Duval, Mary Jane Williams.",Marie Duval,person,(NIL),occupation,What is the occupation of Marie Duval?
"Annie Butterworth, Hannah Edouard, Marietta Phillips, Marie Duval, Mary Jane Williams.",Mary Jane Williams,person,(NIL),occupation,What is the occupation of Mary Jane Williams?
"He was chosen ‘to teach his instrument to the Dauphin, the father. of Louis XIV.",Louis XIV,person,(NIL),occupation,What is the occupation of Louis XIV?
"Beasley, Llewellyn Bagnall, Alice Mary Curtis, nia Sheehan, Johanna Ludovici, Beata Francis.",Beasley,person,(NIL),occupation,What is the occupation of Beasley?
"Beasley, Llewellyn Bagnall, Alice Mary Curtis, nia Sheehan, Johanna Ludovici, Beata Francis.",Llewellyn Bagnall,person,(NIL),occupation,What is the occupation of Llewellyn Bagnall?
"Beasley, Llewellyn Bagnall, Alice Mary Curtis, nia Sheehan, Johanna Ludovici, Beata Francis.",Alice Mary Curtis,person,(NIL),occupation,What is the occupation of Alice Mary Curtis?
"Beasley, Llewellyn Bagnall, Alice Mary Curtis, nia Sheehan, Johanna Ludovici, Beata Francis.",nia Sheehan,person,(NIL),occupation,What is the occupation of nia Sheehan?
"Beasley, Llewellyn Bagnall, Alice Mary Curtis, nia Sheehan, Johanna Ludovici, Beata Francis.",Johanna Ludovici,person,(NIL),occupation,What is the occupation of Johanna Ludovici?
"Beasley, Llewellyn Bagnall, Alice Mary Curtis, nia Sheehan, Johanna Ludovici, Beata Francis.",Beata Francis,person,(NIL),occupation,What is the occupation of Beata Francis?
"Lord Bacon, Addison, Dr. Brown, Dugald Stewart, and many others,. are often betrayed into unconscious absurdities respecting musical effects by their ignorance of the science.",Dr. Brown,person,(NIL),occupation,What is the occupation of Dr. Brown?
"Mr. Weidner’s performance on the flute, as an executionist, is truly wonderful.",Mr. Weidner,person,(NIL),occupation,What is the occupation of Mr. Weidner?
"This will be the eighth season of this Society, whick is under the conductorship of Mr. F. N. Lohr.",Mr. F. N. Lohr,person,(NIL),occupation,What is the occupation of Mr. F. N. Lohr?
The reception accorded to Mr. Brooke and the Choir'was very hearty.,Mr. Brooke,person,(NIL),occupation,What is the occupation of Mr. Brooke?
", Mrs. Mounsey Bartholomew, J. Barnby, H. Smart, G. A. Macfarren, Brinley Richard, H. S. Irons, Charles Salaman, Alberto Randegger, ].",J. Barnby,person,(NIL),occupation,What is the occupation of J. Barnby?
", Mrs. Mounsey Bartholomew, J. Barnby, H. Smart, G. A. Macfarren, Brinley Richard, H. S. Irons, Charles Salaman, Alberto Randegger, ].",H. S. Irons,person,(NIL),occupation,What is the occupation of H. S. Irons?
"Did not Mr. Hawes resist the Lord Chamberlain, in the case of Joseph and his Brethren?",Mr. Hawes,person,(NIL),occupation,What is the occupation of Mr. Hawes?
", the fugitives got to Havre, where Sir Sidney was put on board an English vessel.",Sir Sidney,person,(NIL),occupation,What is the occupation of Sir Sidney?
"Compiled by John Dobson, and for the most part revised ot rearranged by H. J. Gauntlett, Mus.",John Dobson,person,(NIL),occupation,What is the occupation of John Dobson?
"Liverroot.—A complimentary concert was given by the members of the Societa Armonica on the 5th ult. to their conductor, Mr. Armstrong, and leader, Mr. Lawson.",Mr. Armstrong,person,(NIL),occupation,What is the occupation of Mr. Armstrong?
"Liverroot.—A complimentary concert was given by the members of the Societa Armonica on the 5th ult. to their conductor, Mr. Armstrong, and leader, Mr. Lawson.",Mr. Lawson,person,(NIL),occupation,What is the occupation of Mr. Lawson?
"A Word or Two on the Flute, by N. W. James. creececess 53 VIII.",N. W. James,person,(NIL),occupation,What is the occupation of N. W. James?
"The soio vocalists were Mrs. Bridge, Miss Pocklington, Miss E. Taylor, Mrs. Littlehales, the Rev. G. C. Robinson, and Mr. Fieid, all of whom were highly successful.",Mrs. Bridge,person,(NIL),occupation,What is the occupation of Mrs. Bridge?
"The soio vocalists were Mrs. Bridge, Miss Pocklington, Miss E. Taylor, Mrs. Littlehales, the Rev. G. C. Robinson, and Mr. Fieid, all of whom were highly successful.",Miss Pocklington,person,(NIL),occupation,What is the occupation of Miss Pocklington?
"The soio vocalists were Mrs. Bridge, Miss Pocklington, Miss E. Taylor, Mrs. Littlehales, the Rev. G. C. Robinson, and Mr. Fieid, all of whom were highly successful.",Miss E. Taylor,person,(NIL),occupation,What is the occupation of Miss E. Taylor?
"The soio vocalists were Mrs. Bridge, Miss Pocklington, Miss E. Taylor, Mrs. Littlehales, the Rev. G. C. Robinson, and Mr. Fieid, all of whom were highly successful.",Mrs. Littlehales,person,(NIL),occupation,What is the occupation of Mrs. Littlehales?
"The soio vocalists were Mrs. Bridge, Miss Pocklington, Miss E. Taylor, Mrs. Littlehales, the Rev. G. C. Robinson, and Mr. Fieid, all of whom were highly successful.",Rev. G. C. Robinson,person,(NIL),occupation,What is the occupation of Rev. G. C. Robinson?
"The soio vocalists were Mrs. Bridge, Miss Pocklington, Miss E. Taylor, Mrs. Littlehales, the Rev. G. C. Robinson, and Mr. Fieid, all of whom were highly successful.",Mr. Fieid,person,(NIL),occupation,What is the occupation of Mr. Fieid?
"Ferri, Matteucci, and Guadagni, were knighted; Farinelli was presented with the cross of Calatrava, in Spain, where, under his direction and management were revived, in theatrical spectacles, all the magnificence and good taste of ancient Athens.",Matteucci,person,(NIL),occupation,What is the occupation of Matteucci?
"The season began with Madame Caradori and Mademoiselle Brambilla as principals, Signors Curioni, Pellegrini, and Porto. - Mr. A. Sapio also _ appeared, but only it should seem as an occasional assistant.",Pellegrini,person,(NIL),occupation,What is the occupation of Pellegrini?
"The season began with Madame Caradori and Mademoiselle Brambilla as principals, Signors Curioni, Pellegrini, and Porto. - Mr. A. Sapio also _ appeared, but only it should seem as an occasional assistant.",Porto,person,(NIL),occupation,What is the occupation of Porto?
"The season began with Madame Caradori and Mademoiselle Brambilla as principals, Signors Curioni, Pellegrini, and Porto. - Mr. A. Sapio also _ appeared, but only it should seem as an occasional assistant.",Mr. A. Sapio,person,(NIL),occupation,What is the occupation of Mr. A. Sapio?
"Michel Richard Lalande, who married the daughter of Rebel, was also a composer and violinist of some fame..",Rebel,person,(NIL),occupation,What is the occupation of Rebel?
"Mr. Latovur - tells us, in an advertisement prefixed to this work, that it is.",Mr. Latovur,person,(NIL),occupation,What is the occupation of Mr. Latovur?
"Antoine Law rent -Baudron was born at Amiens, i in 117 43.",Antoine Law,person,(NIL),occupation,What is the occupation of Antoine Law?
"Mr. J. Wylde, in a harp fantasia, greatly distinguished him.",Mr. J. Wylde,person,(NIL),occupation,What is the occupation of Mr. J. Wylde?
"- Jodran,. a distinguished tenor, possesses, like Soretti (who sings at the church of Santa Maria Maggiore), a superb voice.",Jodran,person,(NIL),occupation,What is the occupation of Jodran?
"- Jodran,. a distinguished tenor, possesses, like Soretti (who sings at the church of Santa Maria Maggiore), a superb voice.",Soretti,person,(NIL),occupation,What is the occupation of Soretti?
"Of this merit M. Buium, as Rocco, has his share: he is a good singer and an excellent performer.",M. Buium,person,(NIL),occupation,What is the occupation of M. Buium?
"In 1728, he ceded his privilege to M. Simard, who appointed M. Mouret the director of the music.",M. Simard,person,(NIL),occupation,What is the occupation of M. Simard?
"The other artists were Miss Wood, and Messrs. Acomb and Bowling.",Miss Wood,person,(NIL),occupation,What is the occupation of Miss Wood?
"The other artists were Miss Wood, and Messrs. Acomb and Bowling.",Messrs. Acomb,person,(NIL),occupation,What is the occupation of Messrs. Acomb?
"The other artists were Miss Wood, and Messrs. Acomb and Bowling.",Bowling,person,(NIL),occupation,What is the occupation of Bowling?
"Gehring Jean Guillaume became master of the Chapel of Rudolstadt, after the death.of Gebel.",Gehring Jean Guillaume,person,(NIL),occupation,What is the occupation of Gehring Jean Guillaume?
"performed at Her Majestvy’s Theatre, dedicated, by special permission, to Her Royal Highness the Duchess of Cambridge.",the Duchess of Cambridge,person,(NIL),occupation,What is the occupation of the Duchess of Cambridge?
"Baptiste Calkin, Boyton Smith, E. H. Thorne, W. G. Cusins, E. M. Delaborde, E. Silas, John Hullah, E. H. Turpin, Franz Nava, F. E. Gladstone, C. W. Lavington, J. E. Richardson, R. Forsey Brion, and J. Tilleard.",E. M. Delaborde,person,(NIL),occupation,What is the occupation of E. M. Delaborde?
"Baptiste Calkin, Boyton Smith, E. H. Thorne, W. G. Cusins, E. M. Delaborde, E. Silas, John Hullah, E. H. Turpin, Franz Nava, F. E. Gladstone, C. W. Lavington, J. E. Richardson, R. Forsey Brion, and J. Tilleard.",E. Silas,person,(NIL),occupation,What is the occupation of E. Silas?
"Baptiste Calkin, Boyton Smith, E. H. Thorne, W. G. Cusins, E. M. Delaborde, E. Silas, John Hullah, E. H. Turpin, Franz Nava, F. E. Gladstone, C. W. Lavington, J. E. Richardson, R. Forsey Brion, and J. Tilleard.",E. H. Turpin,person,(NIL),occupation,What is the occupation of E. H. Turpin?
"Baptiste Calkin, Boyton Smith, E. H. Thorne, W. G. Cusins, E. M. Delaborde, E. Silas, John Hullah, E. H. Turpin, Franz Nava, F. E. Gladstone, C. W. Lavington, J. E. Richardson, R. Forsey Brion, and J. Tilleard.",Franz Nava,person,(NIL),occupation,What is the occupation of Franz Nava?
"Baptiste Calkin, Boyton Smith, E. H. Thorne, W. G. Cusins, E. M. Delaborde, E. Silas, John Hullah, E. H. Turpin, Franz Nava, F. E. Gladstone, C. W. Lavington, J. E. Richardson, R. Forsey Brion, and J. Tilleard.",C. W. Lavington,person,(NIL),occupation,What is the occupation of C. W. Lavington?
"Baptiste Calkin, Boyton Smith, E. H. Thorne, W. G. Cusins, E. M. Delaborde, E. Silas, John Hullah, E. H. Turpin, Franz Nava, F. E. Gladstone, C. W. Lavington, J. E. Richardson, R. Forsey Brion, and J. Tilleard.",J. E. Richardson,person,(NIL),occupation,What is the occupation of J. E. Richardson?
"Baptiste Calkin, Boyton Smith, E. H. Thorne, W. G. Cusins, E. M. Delaborde, E. Silas, John Hullah, E. H. Turpin, Franz Nava, F. E. Gladstone, C. W. Lavington, J. E. Richardson, R. Forsey Brion, and J. Tilleard.",R. Forsey Brion,person,(NIL),occupation,What is the occupation of R. Forsey Brion?
"Baptiste Calkin, Boyton Smith, E. H. Thorne, W. G. Cusins, E. M. Delaborde, E. Silas, John Hullah, E. H. Turpin, Franz Nava, F. E. Gladstone, C. W. Lavington, J. E. Richardson, R. Forsey Brion, and J. Tilleard.",J. Tilleard,person,(NIL),occupation,What is the occupation of J. Tilleard?
"The Boylston Clab sang this time under their new Conductor, Mr Geos L. O3scoop, who had been with them only a few weeks, so that the results of his training could hardly yet be very marked.",Mr Geos L. O3scoop,person,(NIL),occupation,What is the occupation of Mr Geos L. O3scoop?
"He was accompanied by the, French Ambassador, Prince de la Tour d’Auvergne, the Dake of Manchester, Mr. Mure, and other friends.",Mr. Mure,person,(NIL),occupation,What is the occupation of Mr. Mure?
"(1 Movement, with Cadenza by Moscheles,) Quintet and 2d Piano Accompaniment,..” Miss Jennie H. Baxter.",Miss Jennie H. Baxter,person,(NIL),occupation,What is the occupation of Miss Jennie H. Baxter?
"J. and C. Morgan, some of which were re - demanded.",J.,person,(NIL),occupation,What is the occupation of J.?
"J. and C. Morgan, some of which were re - demanded.",C. Morgan,person,(NIL),occupation,What is the occupation of C. Morgan?
"The following passed in the Preliminary Arts Examination only — P, Kelly, C. Peters, H. Stanbrook.","P , Kelly",person,(NIL),occupation,"What is the occupation of P , Kelly?"
"The following passed in the Preliminary Arts Examination only — P, Kelly, C. Peters, H. Stanbrook.",C. Peters,person,(NIL),occupation,What is the occupation of C. Peters?
"The following passed in the Preliminary Arts Examination only — P, Kelly, C. Peters, H. Stanbrook.",H. Stanbrook,person,(NIL),occupation,What is the occupation of H. Stanbrook?
"(Printed for G. and W. B. Whittaker, dve Maria Lune; and Clementi and Co., Cheapside.)",Maria Lune,person,(NIL),occupation,What is the occupation of Maria Lune?
"Miss Alleyne, (composed to Shakspere’s Midsummer Night’s Dream)",Miss Alleyne,person,(NIL),occupation,What is the occupation of Miss Alleyne?
"Miss Alleyne, (composed to Shakspere’s Midsummer Night’s Dream)",Shakspere,person,(Shakspere),occupation,What is the occupation of Shakspere?
"Mr. H. W. George presided at the harmonium, and Mr. J. Lunn conducted.",Mr. H. W. George,person,(NIL),occupation,What is the occupation of Mr. H. W. George?
"Mr. Waite, of Clifton, ably led the band, and Mr. Millington presided at the harmonium.",Mr. Waite,person,(NIL),occupation,What is the occupation of Mr. Waite?
"Mr. Waite, of Clifton, ably led the band, and Mr. Millington presided at the harmonium.",Mr. Millington,person,(NIL),occupation,What is the occupation of Mr. Millington?
"A young composer, Catl August Weber, professor of music at the Lyceum, at Rastadt near Baden, is much talked of here.",Catl August Weber,person,(NIL),occupation,What is the occupation of Catl August Weber?
"On the 19th September, a concert was given by the pupils of the Conservatorio, in which several pieces of music composed by the pupils were performed: uamely, a terzett by M. Quaranta, a duett by M. Eroff, a quartett by M. Fontana, & c.",M. Quaranta,person,(NIL),occupation,What is the occupation of M. Quaranta?
"On the 19th September, a concert was given by the pupils of the Conservatorio, in which several pieces of music composed by the pupils were performed: uamely, a terzett by M. Quaranta, a duett by M. Eroff, a quartett by M. Fontana, & c.",M. Eroff,person,(NIL),occupation,What is the occupation of M. Eroff?
"On the 19th September, a concert was given by the pupils of the Conservatorio, in which several pieces of music composed by the pupils were performed: uamely, a terzett by M. Quaranta, a duett by M. Eroff, a quartett by M. Fontana, & c.",M. Fontana,person,(NIL),occupation,What is the occupation of M. Fontana?
"Ina letter from Francis Fowke, Esq. to Sir W. Jones,",Francis Fowke,person,(NIL),occupation,What is the occupation of Francis Fowke?
"Ina letter from Francis Fowke, Esq. to Sir W. Jones,",Sir W. Jones,person,(NIL),occupation,What is the occupation of Sir W. Jones?
", Le Colporteur 34 Description of the Plectroeuphon, a new Instrument, invented by M. Gama..",M. Gama,person,(NIL),occupation,What is the occupation of M. Gama?
"While we are upon this ‘theme, we can not avoid to notice a grand concert, given at the King’s Theatre, on Whitsun Eve, by Mr. Wm.",Mr. Wm .,person,(NIL),occupation,What is the occupation of Mr. Wm .?
"[ i Crociato, 373 Mayseder’s Compositions, 360, 310 Mazurka, 236 Melographicon, 409 Mengozzi, 345 Mestrino, 40.",Mengozzi,person,(NIL),occupation,What is the occupation of Mengozzi?
