document;span;property;span_gold_qid;retrieved_context_texts;llm_answer;prediction;prediction_label;prediction_description;llm_answer_correct;pred_qid_correct;gold_standard;in_web;in_corpus;Verified;Source
Highly commended — Annie Albu, Amy Aylward, Jessie Jones, Agnes Larkcom, and Marian Williams.;Agnes Larkcom;date of birth;NIL;"['High CoMMENDATIONS (to those who have already received Bronze Medals.)—Singing: Annie Butterworth, Hannah Edouard, Marietta Phillips, Marie Duval, Mary Jane Williams. Pianoforte: Clara Cooper, Ellen Holmes, Isabel Thurgood.', 'Butherworth, Mrs. Florence Marshall. Letters of Commenstion : Misses Louisa A. Turner, Jane Whitaker, Constance Sarper, Annie Bradley, Elizabeth L. Rothwell, Marion ‘Greon, Fanny Boxell. Sterndale Bennett Prize (Purse, mtaining Ten Guineas): Miss Annie Jane Martin. Highly wa ed: Miss Agnes A. Channell (Silver Medallis t, Mars Department. — Silver Medals : Master Harry Walker (Pianoforte); Mr. W. A. Howells (Singing). Bronze Medals: Messrs. F. Weekes, F. Done, B. E. Elmenhorst, ii. Wadmore, H. A. Pope. A Prize Violin Bow (kindly m to the Institution by Mr. James Tubbs, of Wardour get): Mr. J. H. Reed. Books: Mesars. T. Matthay, H.', 'Troup (Pianoforte),! Miss Elizabeth Connolly (Pianoforte) ; ius Amy E. Turner Burnett (Pianoforte), Miss Mary aylor (General Progress); Miss Jessie Jones (Singing); s Sarah A. Goode (Singing). Bronze Medals: Misses Cornish, Isabella. . BcCarty, Eliza J. Hopkins, . Beasley, Llewellyn Bagnall, Alice Mary Curtis, nia Sheehan, Johanna Ludovici, Beata Francis. Books: feces Helen Pamphilon, Hllen Edridge, Maria Combs, ei Harraden, Catherine Beaumont, Mary Roffe, Clara Baley, Ellen Hancock, Ellinor Blake, Edith Brand, Alice Chapman, Janie Burrough, Hannah Edouard, Mary E.']";1855-06-16 00:00:00;1855;;;;;1865;yes;yes;yes;https://shigovoicelessons.com/voicetalk//2016/04/the-garcia-lineage-agnes-larkcom.html
Highly commended — Annie Albu, Amy Aylward, Jessie Jones, Agnes Larkcom, and Marian Williams.;Agnes Larkcom;family name;;;;;;;Larkcom;;NIL;yes;yes;yes;https://shigovoicelessons.com/voicetalk//2016/04/the-garcia-lineage-agnes-larkcom.html
Agnes Robinson, Mrs. Carmichael, and Messrs. Hobart, Peake, C. J. Lenton, and C. Wilson.;Agnes Robinson;given name;NIL;['Agnes Robinson, Mrs. Carmichael, and Messrs. Hobart, Peake, C. J.', 'Sherrington, Alvsleben, and Patey, Messrs. Sims Reeves, Cummings, Agnesi, and “Signor” Perkin.', 'Cusins, E. M. Delaborde, E. Silas, Jona Hullah, E. H. Tu Nava, F. E. Gladstone, C. W. Lavington, J. E. Richardson, Brion, and J. Tilleard.'];['Agnes'];[np.str_('Q16010167')];Ágnes;female given name;;;Q16010167;no;yes;yes;Corpus
Agnes Robinson, Mrs. Carmichael, and Messrs. Hobart, Peake, C. J. Lenton, and C. Wilson.;Agnes Robinson;sex or gender;NIL;['Agnes Robinson, Mrs. Carmichael, and Messrs. Hobart, Peake, C. J.', 'Sherrington, Alvsleben, and Patey, Messrs. Sims Reeves, Cummings, Agnesi, and “Signor” Perkin.', 'Cusins, E. M. Delaborde, E. Silas, Jona Hullah, E. H. Tu Nava, F. E. Gladstone, C. W. Lavington, J. E. Richardson, Brion, and J. Tilleard.'];['female'];[np.str_('Q6581072')];female;"to be used in ""sex or gender"" (P21) to indicate that the human subject is a female or ""semantic gender"" (P10339) to indicate that a word refers to a female person";;;Q6581072;no;yes;yes;Corpus
Agnes Robinson, Mrs. Carmichael, and Messrs. Hobart, Peake, C. J. Lenton, and C. Wilson.;Agnes Robinson;country of citizenship;NIL;['Agnes Robinson, Mrs. Carmichael, and Messrs. Hobart, Peake, C. J.', 'Sherrington, Alvsleben, and Patey, Messrs. Sims Reeves, Cummings, Agnesi, and “Signor” Perkin.', 'Cusins, E. M. Delaborde, E. Silas, Jona Hullah, E. H. Tu Nava, F. E. Gladstone, C. W. Lavington, J. E. Richardson, Brion, and J. Tilleard.'];['United Kingdom of Great Britain and Ireland'];[np.str_('Q145')];United Kingdom;country in north-west Europe;;;NIL;;;;
Agnes Robinson, Mrs. Carmichael, and Messrs. Hobart, Peake, C. J. Lenton, and C. Wilson.;Agnes Robinson;occupation;NIL;['Agnes Robinson, Mrs. Carmichael, and Messrs. Hobart, Peake, C. J.', 'Sherrington, Alvsleben, and Patey, Messrs. Sims Reeves, Cummings, Agnesi, and “Signor” Perkin.', 'Cusins, E. M. Delaborde, E. Silas, Jona Hullah, E. H. Tu Nava, F. E. Gladstone, C. W. Lavington, J. E. Richardson, Brion, and J. Tilleard.'];['singer', 'musician', 'vocalist', 'performer', 'artist'];[np.str_('Q65620039'), np.str_('Q12374149'), np.str_('Q28771895'), np.str_('Q15214752'), np.str_('Q3391743')];"soul singer; rock musician; vocal composer; cabaret performer; visual artist";"singer who sings soul songs; musician playing rock music; composer who writes vocal music; performing artist specialized in cabaret; artist involved with the visual arts";;;Q29448653;no;yes;yes;Corpus
Agnes Robinson, Mrs. Carmichael, and Messrs. Hobart, Peake, C. J. Lenton, and C. Wilson.;Agnes Robinson;date of birth;NIL;['Agnes Robinson, Mrs. Carmichael, and Messrs. Hobart, Peake, C. J.', 'Sherrington, Alvsleben, and Patey, Messrs. Sims Reeves, Cummings, Agnesi, and “Signor” Perkin.', 'Cusins, E. M. Delaborde, E. Silas, Jona Hullah, E. H. Tu Nava, F. E. Gladstone, C. W. Lavington, J. E. Richardson, Brion, and J. Tilleard.'];;;;;;;NIL;;;;
Agnes Robinson, Mrs. Carmichael, and Messrs. Hobart, Peake, C. J. Lenton, and C. Wilson.;Agnes Robinson;family name;;;;;;;;;Q2798428;;;;
Beasley, Llewellyn Bagnall, Alice Mary Curtis, nia Sheehan, Johanna Ludovici, Beata Francis.;Alice Mary Curtis;given name;NIL;"['Cusins, E. M. Delaborde, E. Silas, Jona Hullah, E. H. Tu Nava, F. E. Gladstone, C. W. Lavington, J. E. Richardson, Brion, and J. Tilleard.', 'Cusins, E. M. Delaborde, E. Silas, John Hullah, E. H. Turpin, Franz Nava, F. E. Gladstone, C. W. Lavington, J. E. Richardson, R. Forsey Brion, and J. Tilleard.', 'Troup (Pianoforte),! Miss Elizabeth Connolly (Pianoforte) ; ius Amy E. Turner Burnett (Pianoforte), Miss Mary aylor (General Progress); Miss Jessie Jones (Singing); s Sarah A. Goode (Singing). Bronze Medals: Misses Cornish, Isabella. . BcCarty, Eliza J. Hopkins, . Beasley, Llewellyn Bagnall, Alice Mary Curtis, nia Sheehan, Johanna Ludovici, Beata Francis. Books: feces Helen Pamphilon, Hllen Edridge, Maria Combs, ei Harraden, Catherine Beaumont, Mary Roffe, Clara Baley, Ellen Hancock, Ellinor Blake, Edith Brand, Alice Chapman, Janie Burrough, Hannah Edouard, Mary E.']";['Alice', 'Mary'];[np.str_('Q650689'), np.str_('Q734578')];"Alice; Mary";"female given name; female given name";;;Q112679131;no;yes;yes;
Beasley, Llewellyn Bagnall, Alice Mary Curtis, nia Sheehan, Johanna Ludovici, Beata Francis.;Alice Mary Curtis;sex or gender;NIL;"['Cusins, E. M. Delaborde, E. Silas, Jona Hullah, E. H. Tu Nava, F. E. Gladstone, C. W. Lavington, J. E. Richardson, Brion, and J. Tilleard.', 'Cusins, E. M. Delaborde, E. Silas, John Hullah, E. H. Turpin, Franz Nava, F. E. Gladstone, C. W. Lavington, J. E. Richardson, R. Forsey Brion, and J. Tilleard.', 'Troup (Pianoforte),! Miss Elizabeth Connolly (Pianoforte) ; ius Amy E. Turner Burnett (Pianoforte), Miss Mary aylor (General Progress); Miss Jessie Jones (Singing); s Sarah A. Goode (Singing). Bronze Medals: Misses Cornish, Isabella. . BcCarty, Eliza J. Hopkins, . Beasley, Llewellyn Bagnall, Alice Mary Curtis, nia Sheehan, Johanna Ludovici, Beata Francis. Books: feces Helen Pamphilon, Hllen Edridge, Maria Combs, ei Harraden, Catherine Beaumont, Mary Roffe, Clara Baley, Ellen Hancock, Ellinor Blake, Edith Brand, Alice Chapman, Janie Burrough, Hannah Edouard, Mary E.']";['female'];[np.str_('Q6581072')];female;"to be used in ""sex or gender"" (P21) to indicate that the human subject is a female or ""semantic gender"" (P10339) to indicate that a word refers to a female person";;;Q6581072;no;yes;yes;
Beasley, Llewellyn Bagnall, Alice Mary Curtis, nia Sheehan, Johanna Ludovici, Beata Francis.;Alice Mary Curtis;country of citizenship;NIL;"['Cusins, E. M. Delaborde, E. Silas, Jona Hullah, E. H. Tu Nava, F. E. Gladstone, C. W. Lavington, J. E. Richardson, Brion, and J. Tilleard.', 'Cusins, E. M. Delaborde, E. Silas, John Hullah, E. H. Turpin, Franz Nava, F. E. Gladstone, C. W. Lavington, J. E. Richardson, R. Forsey Brion, and J. Tilleard.', 'Troup (Pianoforte),! Miss Elizabeth Connolly (Pianoforte) ; ius Amy E. Turner Burnett (Pianoforte), Miss Mary aylor (General Progress); Miss Jessie Jones (Singing); s Sarah A. Goode (Singing). Bronze Medals: Misses Cornish, Isabella. . BcCarty, Eliza J. Hopkins, . Beasley, Llewellyn Bagnall, Alice Mary Curtis, nia Sheehan, Johanna Ludovici, Beata Francis. Books: feces Helen Pamphilon, Hllen Edridge, Maria Combs, ei Harraden, Catherine Beaumont, Mary Roffe, Clara Baley, Ellen Hancock, Ellinor Blake, Edith Brand, Alice Chapman, Janie Burrough, Hannah Edouard, Mary E.']";['United Kingdom of Great Britain and Ireland'];[np.str_('Q145')];United Kingdom;country in north-west Europe;;;Q145;no;yes;yes;
Beasley, Llewellyn Bagnall, Alice Mary Curtis, nia Sheehan, Johanna Ludovici, Beata Francis.;Alice Mary Curtis;occupation;NIL;"['Cusins, E. M. Delaborde, E. Silas, Jona Hullah, E. H. Tu Nava, F. E. Gladstone, C. W. Lavington, J. E. Richardson, Brion, and J. Tilleard.', 'Cusins, E. M. Delaborde, E. Silas, John Hullah, E. H. Turpin, Franz Nava, F. E. Gladstone, C. W. Lavington, J. E. Richardson, R. Forsey Brion, and J. Tilleard.', 'Troup (Pianoforte),! Miss Elizabeth Connolly (Pianoforte) ; ius Amy E. Turner Burnett (Pianoforte), Miss Mary aylor (General Progress); Miss Jessie Jones (Singing); s Sarah A. Goode (Singing). Bronze Medals: Misses Cornish, Isabella. . BcCarty, Eliza J. Hopkins, . Beasley, Llewellyn Bagnall, Alice Mary Curtis, nia Sheehan, Johanna Ludovici, Beata Francis. Books: feces Helen Pamphilon, Hllen Edridge, Maria Combs, ei Harraden, Catherine Beaumont, Mary Roffe, Clara Baley, Ellen Hancock, Ellinor Blake, Edith Brand, Alice Chapman, Janie Burrough, Hannah Edouard, Mary E.']";['singer', 'musician', 'pianist'];[np.str_('Q65620039'), np.str_('Q12374149'), np.str_('Q10426592')];"soul singer; rock musician; bar pianist";"singer who sings soul songs; musician playing rock music; occupation";;;Q29448653;no;yes;yes;
Beasley, Llewellyn Bagnall, Alice Mary Curtis, nia Sheehan, Johanna Ludovici, Beata Francis.;Alice Mary Curtis;date of birth;NIL;"['Cusins, E. M. Delaborde, E. Silas, Jona Hullah, E. H. Tu Nava, F. E. Gladstone, C. W. Lavington, J. E. Richardson, Brion, and J. Tilleard.', 'Cusins, E. M. Delaborde, E. Silas, John Hullah, E. H. Turpin, Franz Nava, F. E. Gladstone, C. W. Lavington, J. E. Richardson, R. Forsey Brion, and J. Tilleard.', 'Troup (Pianoforte),! Miss Elizabeth Connolly (Pianoforte) ; ius Amy E. Turner Burnett (Pianoforte), Miss Mary aylor (General Progress); Miss Jessie Jones (Singing); s Sarah A. Goode (Singing). Bronze Medals: Misses Cornish, Isabella. . BcCarty, Eliza J. Hopkins, . Beasley, Llewellyn Bagnall, Alice Mary Curtis, nia Sheehan, Johanna Ludovici, Beata Francis. Books: feces Helen Pamphilon, Hllen Edridge, Maria Combs, ei Harraden, Catherine Beaumont, Mary Roffe, Clara Baley, Ellen Hancock, Ellinor Blake, Edith Brand, Alice Chapman, Janie Burrough, Hannah Edouard, Mary E.']";1860-01-22 00:00:00;1860;;;;;NIL;no;no;yes;
Beasley, Llewellyn Bagnall, Alice Mary Curtis, nia Sheehan, Johanna Ludovici, Beata Francis.;Alice Mary Curtis;family name;;;;;;;;;Q12787162;;;;
