document_id	sentence	named entity mention 	named entity QID	named entity type	property	property value QID	in_web	in_corpus	Verified	Source
The Musical Times_1881-455_ms_2	"With my wife to the King’s House to see. ‘The Virgin Martyr,’ * the first time it hath been acted a great while, and itis mighty pleasant; not that the play is worth much, but it is finely acted by Beck Marshall."	Beck Marshall	NIL	person	country of citizenship	Q145	no	yes	yes	
The Musical Times_1881-455_ms_2	"With my wife to the King’s House to see. ‘The Virgin Martyr,’ * the first time it hath been acted a great while, and itis mighty pleasant; not that the play is worth much, but it is finely acted by Beck Marshall."	Beck Marshall	NIL	person	occupation	Q33999	no	yes	yes	
The Musical Times_1881-455_ms_2	"With my wife to the King’s House to see. ‘The Virgin Martyr,’ * the first time it hath been acted a great while, and itis mighty pleasant; not that the play is worth much, but it is finely acted by Beck Marshall."	Beck Marshall	NIL	person	date of birth	NIL	no	no	yes	
TheMusicalTimes__1876-397.txt_2399	Agnes Robinson, Mrs. Carmichael, and Messrs. Hobart, Peake, C. J. Lenton, and C. Wilson.	C. J. Lenton	NIL	person	given name	NIL				Corpus
TheMusicalTimes__1876-397.txt_2399	Agnes Robinson, Mrs. Carmichael, and Messrs. Hobart, Peake, C. J. Lenton, and C. Wilson.	C. J. Lenton	NIL	person	sex or gender	NIL				Corpus
TheMusicalTimes__1876-397.txt_2399	Agnes Robinson, Mrs. Carmichael, and Messrs. Hobart, Peake, C. J. Lenton, and C. Wilson.	C. J. Lenton	NIL	person	country of citizenship	NIL				
TheMusicalTimes__1876-397.txt_2399	Agnes Robinson, Mrs. Carmichael, and Messrs. Hobart, Peake, C. J. Lenton, and C. Wilson.	C. J. Lenton	NIL	person	occupation	Q29448653	no	yes	yes	Corpus
TheMusicalTimes__1876-397.txt_2399	Agnes Robinson, Mrs. Carmichael, and Messrs. Hobart, Peake, C. J. Lenton, and C. Wilson.	C. J. Lenton	NIL	person	date of birth	NIL				
TheMusicalTimes__1876-397.txt_2399	Agnes Robinson, Mrs. Carmichael, and Messrs. Hobart, Peake, C. J. Lenton, and C. Wilson.	C. Wilson	NIL	person	given name	NIL				
TheMusicalTimes__1876-397.txt_2399	Agnes Robinson, Mrs. Carmichael, and Messrs. Hobart, Peake, C. J. Lenton, and C. Wilson.	C. Wilson	NIL	person	sex or gender	NIL				
TheMusicalTimes__1876-397.txt_2399	Agnes Robinson, Mrs. Carmichael, and Messrs. Hobart, Peake, C. J. Lenton, and C. Wilson.	C. Wilson	NIL	person	country of citizenship	NIL				
TheMusicalTimes__1876-397.txt_2399	Agnes Robinson, Mrs. Carmichael, and Messrs. Hobart, Peake, C. J. Lenton, and C. Wilson.	C. Wilson	NIL	person	occupation	Q29448653	no	yes	yes	Corpus
TheMusicalTimes__1876-397.txt_2399	Agnes Robinson, Mrs. Carmichael, and Messrs. Hobart, Peake, C. J. Lenton, and C. Wilson.	C. Wilson	NIL	person	date of birth	NIL				
TheHarmonicon__1832-012.txt_1146	only that the name of the author had been misprinted Caffiat, instead of Caffiaux.	Caffiaux	NIL	person	given name	Q827311				https://www.musicologie.org/Biographies/c/caffiaux_philippe_joseph.html
TheHarmonicon__1832-012.txt_1146	only that the name of the author had been misprinted Caffiat, instead of Caffiaux.	Caffiaux	NIL	person	sex or gender	Q6581097				https://www.musicologie.org/Biographies/c/caffiaux_philippe_joseph.html
TheHarmonicon__1832-012.txt_1146	only that the name of the author had been misprinted Caffiat, instead of Caffiaux.	Caffiaux	NIL	person	country of citizenship	Q142	no	yes	yes	https://www.musicologie.org/Biographies/c/caffiaux_philippe_joseph.html
TheHarmonicon__1832-012.txt_1146	only that the name of the author had been misprinted Caffiat, instead of Caffiaux.	Caffiaux	NIL	person	occupation	Q482980, Q36180	no	yes	yes	https://www.musicologie.org/Biographies/c/caffiaux_philippe_joseph.html
TheHarmonicon__1832-012.txt_1146	only that the name of the author had been misprinted Caffiat, instead of Caffiaux.	Caffiaux	NIL	person	date of birth	1712	no	yes	yes	
TheHarmonicon__1832-012.txt_1863	A young composer, Catl August Weber, professor of music at the Lyceum, at Rastadt near Baden, is much talked of here.	Catl August Weber	NIL	person	given name	Q2529610,Q370731	no	yes	yes	Corpus
TheHarmonicon__1832-012.txt_1863	A young composer, Catl August Weber, professor of music at the Lyceum, at Rastadt near Baden, is much talked of here.	Catl August Weber	NIL	person	sex or gender	Q6581097	no	yes	yes	Corpus
TheHarmonicon__1832-012.txt_1863	A young composer, Catl August Weber, professor of music at the Lyceum, at Rastadt near Baden, is much talked of here.	Catl August Weber	NIL	person	country of citizenship	Q183	no	yes	yes	Corpus
TheHarmonicon__1832-012.txt_1863	A young composer, Catl August Weber, professor of music at the Lyceum, at Rastadt near Baden, is much talked of here.	Catl August Weber	NIL	person	occupation	Q36834	no	yes	yes	Corpus
TheHarmonicon__1832-012.txt_1863	A young composer, Catl August Weber, professor of music at the Lyceum, at Rastadt near Baden, is much talked of here.	Catl August Weber	NIL	person	date of birth	NIL				
Dwight's Journal of Music_1858-11_BIS_ms_2	"then, instead of stepping forw: urd as a reformer, he ought, as a true disciple of honored and to effect nothing but what Gluck and Mozart; Cimarosa and Pacsicllé, Méhul and Boieldieu, Chert ahint and Spontini, Beethoven and= Weber, Spohr.and Weigl, Meyerbeer and Lortzing, also tried to effect, and which they succeeded more or less in doing. metadata={sent_text:then instead of stepping forw: urd as a reformer he ought as a true disciple of honored and to effect nothing but what Gluck and Mozart; Cimarosa and Pacsicllé Méhul and Boieldieu Chert ahint and Spontini Beethoven and: ""Weber Spohr.and Weigl Meyerbeer and Lortzing also tried to effect and which they succeeded more or less in doing.""}"	Chert	NIL	person	given name	NIL	no	no	yes	
Dwight's Journal of Music_1858-11_BIS_ms_2	"then, instead of stepping forw: urd as a reformer, he ought, as a true disciple of honored and to effect nothing but what Gluck and Mozart; Cimarosa and Pacsicllé, Méhul and Boieldieu, Chert ahint and Spontini, Beethoven and= Weber, Spohr.and Weigl, Meyerbeer and Lortzing, also tried to effect, and which they succeeded more or less in doing. metadata={sent_text:then instead of stepping forw: urd as a reformer he ought as a true disciple of honored and to effect nothing but what Gluck and Mozart; Cimarosa and Pacsicllé Méhul and Boieldieu Chert ahint and Spontini Beethoven and: ""Weber Spohr.and Weigl Meyerbeer and Lortzing also tried to effect and which they succeeded more or less in doing.""}"	Chert	NIL	person	sex or gender	NIL	no	no	yes	
Dwight's Journal of Music_1858-11_BIS_ms_2	"then, instead of stepping forw: urd as a reformer, he ought, as a true disciple of honored and to effect nothing but what Gluck and Mozart; Cimarosa and Pacsicllé, Méhul and Boieldieu, Chert ahint and Spontini, Beethoven and= Weber, Spohr.and Weigl, Meyerbeer and Lortzing, also tried to effect, and which they succeeded more or less in doing. metadata={sent_text:then instead of stepping forw: urd as a reformer he ought as a true disciple of honored and to effect nothing but what Gluck and Mozart; Cimarosa and Pacsicllé Méhul and Boieldieu Chert ahint and Spontini Beethoven and: ""Weber Spohr.and Weigl Meyerbeer and Lortzing also tried to effect and which they succeeded more or less in doing.""}"	Chert	NIL	person	country of citizenship	NIL	no	no	yes	
Dwight's Journal of Music_1858-11_BIS_ms_2	"then, instead of stepping forw: urd as a reformer, he ought, as a true disciple of honored and to effect nothing but what Gluck and Mozart; Cimarosa and Pacsicllé, Méhul and Boieldieu, Chert ahint and Spontini, Beethoven and= Weber, Spohr.and Weigl, Meyerbeer and Lortzing, also tried to effect, and which they succeeded more or less in doing. metadata={sent_text:then instead of stepping forw: urd as a reformer he ought as a true disciple of honored and to effect nothing but what Gluck and Mozart; Cimarosa and Pacsicllé Méhul and Boieldieu Chert ahint and Spontini Beethoven and: ""Weber Spohr.and Weigl Meyerbeer and Lortzing also tried to effect and which they succeeded more or less in doing.""}"	Chert	NIL	person	occupation	NIL	no	no	yes	
Dwight's Journal of Music_1858-11_BIS_ms_2	"then, instead of stepping forw: urd as a reformer, he ought, as a true disciple of honored and to effect nothing but what Gluck and Mozart; Cimarosa and Pacsicllé, Méhul and Boieldieu, Chert ahint and Spontini, Beethoven and= Weber, Spohr.and Weigl, Meyerbeer and Lortzing, also tried to effect, and which they succeeded more or less in doing. metadata={sent_text:then instead of stepping forw: urd as a reformer he ought as a true disciple of honored and to effect nothing but what Gluck and Mozart; Cimarosa and Pacsicllé Méhul and Boieldieu Chert ahint and Spontini Beethoven and: ""Weber Spohr.and Weigl Meyerbeer and Lortzing also tried to effect and which they succeeded more or less in doing.""}"	Chert	NIL	person	date of birth	NIL	no	no	yes	
TheHarmonicon__1828-001.txt_1179	"The work is also graced with several of the elegant songs of Thomas Campbell, and Lord Byron; and it contains the best songs of the olden time, and of Ramsay, Hamilton; Thomson, Smollett, Skinner, Macneill, Hogg, Cunningham, and many others."	Cunningham	NIL	person	given name	NIL	no	no	yes	
TheHarmonicon__1828-001.txt_1179	"The work is also graced with several of the elegant songs of Thomas Campbell, and Lord Byron; and it contains the best songs of the olden time, and of Ramsay, Hamilton; Thomson, Smollett, Skinner, Macneill, Hogg, Cunningham, and many others."	Cunningham	NIL	person	sex or gender	NIL	no	no	yes	
TheHarmonicon__1828-001.txt_1179	"The work is also graced with several of the elegant songs of Thomas Campbell, and Lord Byron; and it contains the best songs of the olden time, and of Ramsay, Hamilton; Thomson, Smollett, Skinner, Macneill, Hogg, Cunningham, and many others."	Cunningham	NIL	person	country of citizenship	NIL	no	no	yes	
TheHarmonicon__1828-001.txt_1179	"The work is also graced with several of the elegant songs of Thomas Campbell, and Lord Byron; and it contains the best songs of the olden time, and of Ramsay, Hamilton; Thomson, Smollett, Skinner, Macneill, Hogg, Cunningham, and many others."	Cunningham	NIL	person	occupation	NIL	no	no	yes	
TheHarmonicon__1828-001.txt_1179	"The work is also graced with several of the elegant songs of Thomas Campbell, and Lord Byron; and it contains the best songs of the olden time, and of Ramsay, Hamilton; Thomson, Smollett, Skinner, Macneill, Hogg, Cunningham, and many others."	Cunningham	NIL	person	date of birth	NIL	no	no	yes	
the_Musical_Times_ms_1896-635_8_	At Bradford, too, there has. been more than ordinary musical activity. On November 22 the second of the Subscription Concerts took place, a miscellaneous programme of much more than average interest being sustained by Miss Esther Palliser, Madame Marian McKenzie, Messrs. Ben Davies and Douglas Powell, with Herr Rosenthal as pianist and Mr. W. H. Squire as violoncellist.	Douglas Powell	NIL	person	given name	Q463035	no	yes	yes	Corpus
the_Musical_Times_ms_1896-635_8_	At Bradford, too, there has. been more than ordinary musical activity. On November 22 the second of the Subscription Concerts took place, a miscellaneous programme of much more than average interest being sustained by Miss Esther Palliser, Madame Marian McKenzie, Messrs. Ben Davies and Douglas Powell, with Herr Rosenthal as pianist and Mr. W. H. Squire as violoncellist.	Douglas Powell	NIL	person	sex or gender	Q6581097	no	yes	yes	Corpus
the_Musical_Times_ms_1896-635_8_	At Bradford, too, there has. been more than ordinary musical activity. On November 22 the second of the Subscription Concerts took place, a miscellaneous programme of much more than average interest being sustained by Miss Esther Palliser, Madame Marian McKenzie, Messrs. Ben Davies and Douglas Powell, with Herr Rosenthal as pianist and Mr. W. H. Squire as violoncellist.	Douglas Powell	NIL	person	country of citizenship	Q145	no	yes	yes	Corpus
the_Musical_Times_ms_1896-635_8_	At Bradford, too, there has. been more than ordinary musical activity. On November 22 the second of the Subscription Concerts took place, a miscellaneous programme of much more than average interest being sustained by Miss Esther Palliser, Madame Marian McKenzie, Messrs. Ben Davies and Douglas Powell, with Herr Rosenthal as pianist and Mr. W. H. Squire as violoncellist.	Douglas Powell	NIL	person	occupation	Q3153559	no	yes	yes	Corpus
the_Musical_Times_ms_1896-635_8_	At Bradford, too, there has. been more than ordinary musical activity. On November 22 the second of the Subscription Concerts took place, a miscellaneous programme of much more than average interest being sustained by Miss Esther Palliser, Madame Marian McKenzie, Messrs. Ben Davies and Douglas Powell, with Herr Rosenthal as pianist and Mr. W. H. Squire as violoncellist.	Douglas Powell	NIL	person	date of birth	NIL				
TheHarmonicon__1824-016.txt_1268	"himself, abridged and continued to his death, by Dr. Kitchiner; from which we learn, that _"	Dr. Kitchiner	NIL	person	given name	Q12344159				https://www.wikidata.org/wiki/Q8014067
TheHarmonicon__1824-016.txt_1268	"himself, abridged and continued to his death, by Dr. Kitchiner; from which we learn, that _"	Dr. Kitchiner	NIL	person	sex or gender	Q6581097				https://www.wikidata.org/wiki/Q8014067
TheHarmonicon__1824-016.txt_1268	"himself, abridged and continued to his death, by Dr. Kitchiner; from which we learn, that _"	Dr. Kitchiner	NIL	person	country of citizenship	Q145				https://www.wikidata.org/wiki/Q8014067
TheHarmonicon__1824-016.txt_1268	"himself, abridged and continued to his death, by Dr. Kitchiner; from which we learn, that _"	Dr. Kitchiner	NIL	person	occupation	Q483501, Q205375				https://www.wikidata.org/wiki/Q8014067
TheHarmonicon__1824-016.txt_1268	"himself, abridged and continued to his death, by Dr. Kitchiner; from which we learn, that _"	Dr. Kitchiner	NIL	person	date of birth	1774				https://www.wikidata.org/wiki/Q8014067
The Harmonicon_1827-002_ms_3	After this, we had: Les Néces de Gamache, a comic opera, in three acts, by Mercadante, translated and arranged by Messrs. Sauvage and Dupin, and adapted to the stage by M. Guénée: we suppose it would be unpardonable to omit any of these important particulars, as the authors always show such marked anxiety te bring them befere the world.	Dupin	NIL	person	given name	NIL				
The Harmonicon_1827-002_ms_3	After this, we had: Les Néces de Gamache, a comic opera, in three acts, by Mercadante, translated and arranged by Messrs. Sauvage and Dupin, and adapted to the stage by M. Guénée: we suppose it would be unpardonable to omit any of these important particulars, as the authors always show such marked anxiety te bring them befere the world.	Dupin	NIL	person	sex or gender	NIL				
