Model,Retriever,CoC,DoB,FName,GName,Occ,Gender
Mixtral,Contr,0.09151193633952255,0.28857479387514723,0.6132075471698113,0.1388235294117647,0.7356051703877791,0.5017502917152858
Mixtral,GTR-X,0.10477453580901856,0.2791519434628975,0.6388140161725068,0.1623529411764706,0.7285546415981199,0.5320886814469078
Mixtral,GTR-L,0.123342175066313,0.2744405182567727,0.6132075471698113,0.16941176470588235,0.7144535840188014,0.5542590431738623
Phi-3,Boyer-M,0.3907815631262525,0.13392857142857142,0.8385744234800838,0.3048780487804878,0.34956521739130436,0.9741824440619621
Phi-3,-,0.1843501326259947,0.16164053075995174,0.8140161725067385,0.07882352941176471,0.4171562867215041,0.8109684947491248
Phi-3,BGE,0.27055702917771884,0.3910482921083628,0.8221024258760108,0.2752941176470588,0.7238542890716804,0.9276546091015169
Phi-3,BM25,0.27984084880636606,0.3839811542991755,0.807277628032345,0.26705882352941174,0.7191539365452408,0.9288214702450408
Phi-3,Inst,0.2838196286472148,0.375736160188457,0.8113207547169812,0.2741176470588235,0.7015276145710928,0.9299883313885647
Phi-3,Contr,0.29973474801061006,0.39693757361601884,0.8180592991913747,0.27294117647058824,0.7403055229142186,0.9218203033838973
Phi-3,GTR-X,0.2864721485411141,0.39693757361601884,0.8234501347708895,0.27647058823529413,0.7285546415981199,0.9381563593932322
Phi-3,GTR-L,0.29045092838196285,0.3875147232037691,0.8180592991913747,0.2752941176470588,0.7191539365452408,0.9299883313885647
Qwen,Boyer-M,0.46693386773547096,0.2375,0.8469601677148847,0.367595818815331,0.15478260869565216,0.9862306368330465
Qwen,-,0.35278514588859416,0.5512665862484921,0.8301886792452831,0.1623529411764706,0.6404230317273796,0.9626604434072346
Qwen,BGE,0.3687002652519894,0.5323910482921084,0.839622641509434,0.31882352941176473,0.6850763807285546,0.9813302217036173
Qwen,BM25,0.3594164456233422,0.5477031802120141,0.8409703504043127,0.32823529411764707,0.6592244418331374,0.9848308051341891
Qwen,Inst,0.3660477453580902,0.5512367491166078,0.8409703504043127,0.3388235294117647,0.6662749706227967,0.9848308051341891
Qwen,Contr,0.3647214854111406,0.5665488810365136,0.8423180592991913,0.3270588235294118,0.6839012925969448,0.9801633605600933
Qwen,GTR-X,0.3819628647214854,0.5512367491166078,0.8463611859838275,0.3588235294117647,0.6745005875440658,0.9883313885647608
Qwen,GTR-L,0.3819628647214854,0.5453474676089517,0.8409703504043127,0.34352941176470586,0.6874265569917744,0.9836639439906651
