Model,Retriever,CoC,DoB,FName,GName,Occ,Gender
Gemma,GTR-X,0.2988505747126437,0.11764705882352941,0.8571428571428571,0.5614035087719298,0.6476190476190476,0.9801980198019802
Gemma,GTR-L,0.3218390804597701,0.11764705882352941,0.8571428571428571,0.5614035087719298,0.6476190476190476,0.9405940594059405
LLAMA,Boyer-M,0.2289156626506024,0.17647058823529413,0.8586956521739131,0.6545454545454545,0.19801980198019803,0.9791666666666666
LLAMA,-,0.3218390804597701,0.17647058823529413,0.8469387755102041,0.5964912280701754,0.6,0.9702970297029703
LLAMA,BGE,0.22988505747126436,0.17647058823529413,0.8571428571428571,0.6491228070175439,0.7523809523809524,0.9702970297029703
LLAMA,BM25,0.21839080459770116,0.11764705882352941,0.8571428571428571,0.6140350877192983,0.7047619047619048,0.9801980198019802
LLAMA,Inst,0.2413793103448276,0.23529411764705882,0.8367346938775511,0.6140350877192983,0.7619047619047619,0.9801980198019802
LLAMA,Contr,0.21839080459770116,0.17647058823529413,0.8469387755102041,0.631578947368421,0.7428571428571429,0.9801980198019802
LLAMA,GTR-X,0.22988505747126436,0.11764705882352941,0.8469387755102041,0.6140350877192983,0.7142857142857143,0.9801980198019802
LLAMA,GTR-L,0.22988505747126436,0.23529411764705882,0.8367346938775511,0.6140350877192983,0.7523809523809524,0.9801980198019802
Mixtral,Boyer-M,0.18072289156626506,0.11764705882352941,0.8369565217391305,0.5818181818181818,0.27722772277227725,0.7708333333333334
Mixtral,-,0.10344827586206896,0.11764705882352941,0.7244897959183674,0.42105263157894735,0.4857142857142857,0.19801980198019803
Mixtral,BGE,0.10344827586206896,0.058823529411764705,0.7346938775510204,0.47368421052631576,0.5619047619047619,0.39603960396039606
Mixtral,BM25,0.05747126436781609,0.058823529411764705,0.7448979591836735,0.45614035087719296,0.5523809523809524,0.43564356435643564
Mixtral,Inst,0.08045977011494253,0.058823529411764705,0.6938775510204082,0.49122807017543857,0.5714285714285714,0.45544554455445546
Mixtral,Contr,0.04597701149425287,0.0,0.7448979591836735,0.49122807017543857,0.5619047619047619,0.5148514851485149
Mixtral,GTR-X,0.10344827586206896,0.0,0.6938775510204082,0.49122807017543857,0.49523809523809526,0.43564356435643564
Mixtral,GTR-L,0.10344827586206896,0.058823529411764705,0.7346938775510204,0.49122807017543857,0.4857142857142857,0.4752475247524752
Phi-3,Boyer-M,0.27710843373493976,0.058823529411764705,0.8478260869565217,0.6363636363636364,0.37623762376237624,0.96875
Phi-3,-,0.26436781609195403,0.058823529411764705,0.8571428571428571,0.19298245614035087,0.2571428571428571,0.801980198019802
Phi-3,BGE,0.3218390804597701,0.058823529411764705,0.826530612244898,0.5789473684210527,0.5333333333333333,0.9207920792079208
Phi-3,BM25,0.3218390804597701,0.11764705882352941,0.8367346938775511,0.5964912280701754,0.49523809523809526,0.9504950495049505
Phi-3,Inst,0.367816091954023,0.11764705882352941,0.8673469387755102,0.5789473684210527,0.4857142857142857,0.8910891089108911
Phi-3,Contr,0.3218390804597701,0.058823529411764705,0.8469387755102041,0.543859649122807,0.5333333333333333,0.9405940594059405
Phi-3,GTR-X,0.3448275862068966,0.058823529411764705,0.8469387755102041,0.5614035087719298,0.49523809523809526,0.9207920792079208
Phi-3,GTR-L,0.3448275862068966,0.11764705882352941,0.826530612244898,0.5964912280701754,0.5428571428571428,0.900990099009901
Qwen,Boyer-M,0.2289156626506024,0.058823529411764705,0.8478260869565217,0.6363636363636364,0.3465346534653465,0.96875
Qwen,-,0.2413793103448276,0.11764705882352941,0.8571428571428571,0.5964912280701754,0.4857142857142857,0.9108910891089109
Qwen,BGE,0.20689655172413793,0.11764705882352941,0.8469387755102041,0.6140350877192983,0.6,0.9504950495049505
Qwen,BM25,0.25287356321839083,0.11764705882352941,0.8367346938775511,0.631578947368421,0.6190476190476191,0.9603960396039604
Qwen,Inst,0.2413793103448276,0.17647058823529413,0.8367346938775511,0.5964912280701754,0.638095238095238,0.9603960396039604
Qwen,Contr,0.25287356321839083,0.17647058823529413,0.8571428571428571,0.5964912280701754,0.6190476190476191,0.9603960396039604
Qwen,GTR-X,0.22988505747126436,0.29411764705882354,0.8367346938775511,0.5964912280701754,0.638095238095238,0.9702970297029703
Qwen,GTR-L,0.2413793103448276,0.17647058823529413,0.8571428571428571,0.5964912280701754,0.6190476190476191,0.9504950495049505
