Model,Retriever,CoC,DoB,FName,GName,Occ,Gender
LLAMA,GTR-X,0.32667450058754405,0.6114421930870083,0.8295904887714664,0.7378223495702005,0.8612244897959184,0.9883449883449883
LLAMA,GTR-L,0.3388042203985932,0.6093189964157706,0.8267716535433071,0.7358490566037735,0.8478260869565217,0.9906759906759907
Mixtral,Boyer-M,0.27640449438202247,0.7030716723549488,0.7807377049180327,0.5148514851485149,0.5793650793650794,0.9878787878787879
Mixtral,-,0.23015873015873015,0.7983539094650206,0.8291814946619217,0.5119047619047619,0.7939481268011528,0.9826589595375722
Mixtral,BGE,0.2088888888888889,0.8641114982578397,0.8171846435100548,0.5527426160337553,0.8136729222520107,0.997737556561086
Mixtral,BM25,0.20504731861198738,0.9132231404958677,0.8220183486238533,0.5474137931034483,0.7936925098554534,0.9954337899543378
Mixtral,Inst,0.20954907161803712,0.8975409836065574,0.8260869565217391,0.58203125,0.7672301690507152,0.9954233409610984
Mixtral,Contr,0.19220055710306408,0.9245283018867925,0.8198198198198198,0.4957983193277311,0.7994891443167306,0.9976798143851509
Mixtral,GTR-X,0.2020460358056266,0.8943396226415095,0.8315789473684211,0.5948275862068966,0.7908163265306123,0.9956331877729258
Mixtral,GTR-L,0.22627737226277372,0.91015625,0.8198198198198198,0.5975103734439834,0.7896103896103897,0.9958071278825996
Phi-3,Boyer-M,0.3735632183908046,0.36585365853658536,0.7692307692307693,0.44416243654822335,0.804,0.9725085910652921
Phi-3,-,0.25181159420289856,0.5537190082644629,0.8217687074829932,0.44370860927152317,0.7785087719298246,0.967966573816156
Phi-3,BGE,0.24431137724550897,0.5171339563862928,0.8122503328894807,0.4895397489539749,0.7503045066991474,0.9498207885304659
Phi-3,BM25,0.2511904761904762,0.535303776683087,0.7944297082228117,0.4860813704496788,0.7391304347826086,0.961352657004831
Phi-3,Inst,0.25598086124401914,0.535234899328859,0.7984084880636605,0.4894957983193277,0.7334152334152334,0.9499404052443385
Phi-3,Contr,0.26745562130177514,0.5323854660347551,0.8104138851802403,0.4884210526315789,0.7692307692307693,0.9382422802850356
Phi-3,GTR-X,0.2577565632458234,0.5626043405676127,0.8103448275862069,0.4916317991631799,0.758873929008568,0.9548693586698337
Phi-3,GTR-L,0.26009501187648454,0.5375816993464052,0.8061088977423638,0.4775510204081633,0.7436208991494532,0.9533492822966507
Qwen,Boyer-M,0.40663176265270506,0.7556818181818182,0.7724665391969407,0.5396419437340153,0.6267605633802817,0.9845360824742269
Qwen,-,0.31932773109243695,0.6117804551539491,0.8180610889774237,0.6026200873362445,0.7374830852503383,0.985663082437276
Qwen,BGE,0.32667450058754405,0.5772669220945083,0.8251655629139073,0.6545893719806763,0.7711640211640212,0.9847775175644028
Qwen,BM25,0.31770222743259086,0.6110381077529566,0.8243064729194187,0.6297968397291196,0.7391304347826086,0.9848308051341891
Qwen,Inst,0.3250883392226148,0.6215139442231076,0.8156862745098039,0.6037735849056604,0.7470355731225297,0.9882903981264637
Qwen,Contr,0.3223915592028136,0.6263020833333334,0.8234519104084321,0.6556603773584906,0.751937984496124,0.9870740305522914
Qwen,GTR-X,0.3412322274881517,0.5679611650485437,0.8219895287958116,0.6421052631578947,0.7622841965471447,0.9883313885647608
Qwen,GTR-L,0.3368421052631579,0.6092105263157894,0.8167539267015707,0.6212765957446809,0.7637075718015666,0.9859649122807017
